item_code;sku_role_pre_filter;in_eligible_skus;in_jaccard_similarity_matrix;in_minimum_inventory;in_max_capacity;in_common_optimizer_universe;filter_status;missing_sources
10000001001;historical;1;1;1;1;1;kept;
10000002001;historical;1;1;1;1;1;kept;
10000003001;historical;1;1;1;1;1;kept;
10000004001;historical;1;1;1;1;1;kept;
10000005001;historical;1;1;1;1;1;kept;
10000007001;historical;1;1;1;1;1;kept;
10000008001;historical;1;1;1;1;1;kept;
10000010001;historical;1;1;1;1;1;kept;
10000011001;historical;1;1;1;1;1;kept;
10000012001;historical;1;1;1;1;1;kept;
10000022001;historical;1;1;1;1;1;kept;
10000023001;historical;1;1;1;1;1;kept;
10000027001;historical;1;1;1;1;1;kept;
10000998001;historical;1;1;1;1;1;kept;
10001001001;historical;1;1;1;1;1;kept;
10001004001;historical;1;1;1;1;1;kept;
10001005001;historical;1;1;1;1;1;kept;
10001006001;historical;1;1;1;1;1;kept;
10001007001;historical;1;1;1;1;1;kept;
10001008001;historical;1;1;1;1;1;kept;
10001009001;historical;1;1;1;1;1;kept;
10001010001;historical;1;1;1;1;1;kept;
10001012001;historical;1;1;1;1;1;kept;
10001015001;historical;1;1;1;1;1;kept;
10001020001;historical;1;1;1;1;1;kept;
10001022001;historical;1;1;1;1;1;kept;
10001025001;historical;1;1;1;1;1;kept;
10001035001;historical;1;1;1;1;1;kept;
10002001001;historical;1;1;1;1;1;kept;
10002003001;historical;1;1;1;1;1;kept;
10002005001;historical;1;1;1;1;1;kept;
10002007001;historical;1;1;1;1;1;kept;
10002008001;historical;1;1;1;1;1;kept;
10002009001;historical;1;1;1;1;1;kept;
10002011001;historical;1;1;1;1;1;kept;
10002012001;historical;1;1;1;1;1;kept;
10002013001;historical;1;1;1;1;1;kept;
10002014001;historical;1;1;1;1;1;kept;
10002017001;historical;1;1;1;1;1;kept;
10002018001;historical;1;1;1;1;1;kept;
10002019001;historical;1;1;1;1;1;kept;
10002021001;historical;1;1;1;1;1;kept;
10002025001;historical;1;1;1;1;1;kept;
10002026001;historical;1;1;1;1;1;kept;
10002035001;historical;1;1;1;1;1;kept;
10002037001;historical;1;1;1;1;1;kept;
10002038001;historical;1;1;1;1;1;kept;
10002039001;new;1;1;1;1;1;kept;
10002040001;historical;1;1;1;1;1;kept;
10002045001;historical;1;1;1;1;1;kept;
10002046001;historical;1;1;1;1;1;kept;
10002051001;new;1;1;1;1;1;kept;
10002069001;historical;1;1;1;1;1;kept;
10002071001;historical;1;1;1;1;1;kept;
10002072001;historical;1;1;1;1;1;kept;
10002073001;historical;1;1;1;1;1;kept;
10002074001;historical;1;1;1;1;1;kept;
10002078001;historical;1;1;1;1;1;kept;
10002102001;historical;1;1;1;1;1;kept;
10002899001;historical;1;1;1;1;1;kept;
10002906001;historical;1;1;1;1;1;kept;
10002911001;new;1;1;1;1;1;kept;
10002916001;historical;1;1;1;1;1;kept;
10002918001;historical;1;1;1;1;1;kept;
10002919001;historical;1;1;1;1;1;kept;
10002942001;historical;1;1;1;1;1;kept;
10002943001;historical;1;1;1;1;1;kept;
10002944001;historical;1;1;1;1;1;kept;
10010001001;new;1;1;1;1;1;kept;
10010002001;historical;1;1;1;1;1;kept;
10010004001;historical;1;1;1;1;1;kept;
10010007001;new;1;1;1;1;1;kept;
10010009001;historical;1;1;1;1;1;kept;
10010012001;historical;1;1;1;1;1;kept;
10010018001;historical;1;1;1;1;1;kept;
10010019001;historical;1;1;1;1;1;kept;
10010026001;historical;1;1;1;1;1;kept;
10010027001;new;1;1;1;1;1;kept;
10010035001;historical;1;1;1;1;1;kept;
10010042001;historical;1;1;1;1;1;kept;
10010043001;historical;1;1;1;1;1;kept;
10011001001;historical;1;1;1;1;1;kept;
10011003001;historical;1;1;1;1;1;kept;
10011004001;historical;1;1;1;1;1;kept;
10011007001;historical;1;1;1;1;1;kept;
10011016001;historical;1;1;1;1;1;kept;
10011021001;historical;1;1;1;1;1;kept;
10011023001;historical;1;1;1;1;1;kept;
10011028001;historical;1;1;1;1;1;kept;
10012002001;historical;1;1;1;1;1;kept;
10012004001;historical;1;1;1;1;1;kept;
10012006001;historical;1;1;1;1;1;kept;
10012009001;historical;1;1;1;1;1;kept;
10012899001;historical;1;1;1;1;1;kept;
10013003001;historical;1;1;1;1;1;kept;
10013004001;historical;1;1;1;1;1;kept;
10013005001;historical;1;1;1;1;1;kept;
10013007001;historical;1;1;1;1;1;kept;
10013011001;new;1;1;1;1;1;kept;
10013012001;historical;1;1;1;1;1;kept;
10014005001;new;1;1;1;1;1;kept;
10014006001;new;1;1;1;1;1;kept;
10014009001;historical;1;1;1;1;1;kept;
10014018001;historical;1;1;1;1;1;kept;
10014020001;historical;1;1;1;1;1;kept;
10014023001;historical;1;1;1;1;1;kept;
10014024001;historical;1;1;1;1;1;kept;
10014028001;historical;1;1;1;1;1;kept;
10014029001;historical;1;1;1;1;1;kept;
10014030001;historical;1;1;1;1;1;kept;
10014032001;historical;1;1;1;1;1;kept;
10014033001;historical;1;1;1;1;1;kept;
10014037001;historical;1;1;1;1;1;kept;
10014043001;historical;1;1;1;1;1;kept;
10014051001;historical;1;1;1;1;1;kept;
10014055001;historical;1;1;1;1;1;kept;
10014062001;historical;1;1;1;1;1;kept;
10014067001;historical;1;1;1;1;1;kept;
10014069001;historical;1;1;1;1;1;kept;
10014073001;historical;1;1;1;1;1;kept;
10014075001;new;1;1;1;1;1;kept;
10014080001;historical;1;1;1;1;1;kept;
10014081001;new;1;1;1;1;1;kept;
10014090001;historical;1;1;1;1;1;kept;
10014092001;historical;1;1;1;1;1;kept;
10014097001;historical;1;1;1;1;1;kept;
10014103001;new;1;1;1;1;1;kept;
10014106001;historical;1;1;1;1;1;kept;
10014110001;historical;1;1;1;1;1;kept;
10014111001;historical;1;1;1;1;1;kept;
10014113001;historical;1;1;1;1;1;kept;
10014116001;historical;1;1;0;1;0;dropped;minimum_inventory
10014126001;historical;1;1;1;1;1;kept;
10014130001;historical;1;1;1;1;1;kept;
10014898001;historical;1;1;1;1;1;kept;
10015007001;historical;1;1;1;1;1;kept;
10015011001;historical;1;1;1;1;1;kept;
10016002001;historical;1;1;1;1;1;kept;
10016006001;new;1;1;1;1;1;kept;
10016011001;historical;1;1;1;1;1;kept;
10016014001;historical;1;1;1;1;1;kept;
10016015001;historical;1;1;1;1;1;kept;
10016018001;new;1;1;1;1;1;kept;
10016020001;historical;1;1;1;1;1;kept;
10020002001;historical;1;1;1;1;1;kept;
10020003001;historical;1;1;1;1;1;kept;
10020004001;historical;1;1;1;1;1;kept;
10020006001;historical;1;1;1;1;1;kept;
10020007001;historical;1;1;1;1;1;kept;
10020011001;historical;1;1;1;1;1;kept;
10020012001;historical;1;1;1;1;1;kept;
10020015001;historical;1;1;1;1;1;kept;
10020016001;historical;1;1;1;1;1;kept;
10020017001;historical;1;1;1;1;1;kept;
10020018001;historical;1;1;1;1;1;kept;
10020019001;historical;1;1;1;1;1;kept;
10020024001;historical;1;1;1;1;1;kept;
10020025001;historical;1;1;1;1;1;kept;
10020027001;historical;1;1;1;1;1;kept;
10020028001;historical;1;1;1;1;1;kept;
10020033001;historical;1;1;1;1;1;kept;
10020034001;historical;1;1;1;1;1;kept;
10020036001;historical;1;1;1;1;1;kept;
10020037001;historical;1;1;1;1;1;kept;
10020041001;historical;1;1;1;1;1;kept;
10020042001;historical;1;1;1;1;1;kept;
10020046001;historical;1;1;1;1;1;kept;
10020093001;new;1;1;0;1;0;dropped;minimum_inventory
10020094001;historical;1;1;0;1;0;dropped;minimum_inventory
10021001001;historical;1;1;1;1;1;kept;
10021005001;historical;1;1;1;1;1;kept;
10021006001;historical;1;1;1;1;1;kept;
10021007001;historical;1;1;1;1;1;kept;
10021008001;historical;1;1;1;1;1;kept;
10021009001;historical;1;1;1;1;1;kept;
10021010001;historical;1;1;1;1;1;kept;
10021015001;historical;1;1;1;1;1;kept;
10021016001;historical;1;1;1;1;1;kept;
10021017001;historical;1;1;1;1;1;kept;
10021018001;historical;1;1;1;1;1;kept;
10021021001;historical;1;1;1;1;1;kept;
