title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton;inventory_quantity;is_new_product;item_role;log_capacity;log_price_per_piece;log_estimation_discount;log_shelf_life;Promo_normalized;log_capacity_normalized;log_price_per_piece_normalized;log_estimation_discount_normalized;log_shelf_life_normalized;cluster;distance_to_new_product;same_cluster_as_new;new_product_first
樹頂蘋果氣泡飲(320ml );飲料零食;114.0;樹頂 Tree Top;規格：320ml毫升x1x6Can罐;樹頂蘋果氣泡飲320ml;132.0;1;320.0;18.0;75;13.64%;0;10002911001;unique_master_match;1;1;ml;6;can;19.0;22.0;13.636364;volume;month;13.64;0.0;40.0;27.0;12.0;8.7;24.0;1979.0;1;new;5.771441123130016;2.995732273553991;2.6835091170308125;2.9444389791664403;-1.4935759876113537;-0.39987160819887896;-0.3283508176124438;0.7177818288812798;0.7656064438911788;74;0.0;0;0
健酪原味乳酸飲料 320ml;飲料零食;90.0;;規格：320ml毫升x1x6Can罐;健酪原味乳酸飲料;108.0;1;320.0;18.0;373;16.67%;0;10024001001;unique_master_match;1;1;ml;6;can;15.0;18.0;16.666667;volume;month;16.67;0.0;40.0;27.0;13.0;8.59;24.0;1223.0;0;historical;5.771441123130016;2.772588722239781;2.8716796437519365;2.9444389791664403;-1.4935759876113537;-0.39987160819887896;-0.6408330797982246;0.8618719947804132;0.7656064438911788;74;0.344103385757221;0;1
[限量]伯朗曼特寧咖啡Can240mlX24入;飲料零食;502.0;伯朗;規格：240ml毫升x1x24Bottle瓶;伯朗曼特寧咖啡Can240ml;624.0;1;240.0;24.0;238;19.55%;0;10020015001;unique_master_match;1;1;ml;24;bottle;20.916667;26.0;19.551282;volume;month;19.55;0.0;40.0;27.0;10.0;7.21;24.0;4542.0;0;historical;5.484796933490655;3.0872473975988894;3.02292332342464;3.2188758248682006;-1.4935759876113537;-0.6927629572329052;-0.2001963053384374;0.9776857052215436;1.5349737149444564;206;0.8727456353713967;1;1
黑松CC氣泡飲蘋果口味330ml;飲料零食;83.0;黑松汽水C&C氣泡飲;規格：330ml毫升x1x6Can罐;黑松CC氣泡飲蘋果口味330ml;120.0;1;330.0;15.0;85;30.83%;0;10002942001;unique_master_match;1;1;ml;6;can;13.833333;20.0;30.833333;volume;month;30.83;0.0;40.0;28.0;12.0;8.91;24.0;778.0;0;historical;5.802118375377063;2.6968768780321746;3.4605139483473706;2.772588722239781;-1.4935759876113537;-0.368525772071521;-0.7468572432253652;1.3127674358183228;0.28383453435264755;76;0.8730648515456747;1;1
貝思寶兒覆盆子果茶330ml;飲料零食;96.0;貝思寶兒 Bessie Byer;規格：330ml毫升x1x6Bottle瓶;貝思寶兒覆盆子果茶 330ml;109.0;1;330.0;13.0;533;11.93%;0;10034015001;unique_master_match;1;1;ml;6;bottle;16.0;18.166667;11.926606;volume;month;11.93;0.0;35.0;21.0;14.0;9.0;24.0;282.0;0;historical;5.802118375377063;2.833213344056216;2.559287667994589;2.6390573296152584;-1.4935759876113537;-0.368525772071521;-0.5559365239363806;0.6226601883579084;-0.09051273261425981;5;0.8914964868364297;1;1
午后時光重乳咖啡拿鐵TP330ml;飲料零食;109.0;光泉;規格：330ml毫升x1x6BOTTLE瓶;午后時光重乳咖啡拿鐵TP330ml;120.0;1;330.0;13.0;252;9.17%;0;10020034001;unique_master_match;1;1;ml;6;bottle;18.166667;20.0;9.166667;volume;month;9.17;0.0;35.0;20.0;14.0;8.73;24.0;998.0;0;historical;5.802118375377063;2.953172676526499;2.319114427732141;2.6390573296152584;-1.4935759876113537;-0.368525772071521;-0.38794975775003826;0.4387493355959514;-0.09051273261425981;5;0.9029583444419931;1;1
崇德發天然黑麥汁Btl330ml;飲料零食;169.0;崇德發;規格：330ml毫升x1x6Bottle瓶;崇德發天然黑麥汁Btl330ml;192.0;1;330.0;24.0;137;11.98%;0;10014009001;unique_master_match;1;1;ml;6;bottle;28.166667;32.0;11.979167;volume;month;11.98;0.0;40.0;27.0;17.0;12.08;24.0;4946.0;0;historical;5.802118375377063;3.3730265161240305;2.563345533561745;3.2188758248682006;-1.4935759876113537;-0.368525772071521;0.19999856884123063;0.625767468403069;1.5349737149444564;201;0.938364681725969;1;1
蘋果西打330ml;飲料零食;95.0;蘋果西打;規格：330ml毫升x1x6Bottle瓶;蘋果西打330ml;168.0;1;330.0;15.0;41;43.45%;0;10002005001;unique_master_match;1;1;ml;6;bottle;15.833333;28.0;43.452381;volume;month;43.45;0.0;40.0;27.0;13.0;9.56;24.0;9576.0;0;historical;5.802118375377063;2.823361027811224;3.7944185263295918;2.772588722239781;-1.4935759876113537;-0.368525772071521;-0.5697333558406542;1.5684523556317362;0.28383453435264755;76;1.007468415934871;1;1
悅氏礦泉氣泡水PET520ml;飲料零食;456.0;悅氏;規格：520ml毫升x1x24BOTTLE瓶;悅氏礦泉氣泡水PET520ml;600.0;1;520.0;13.0;693;24.00%;0;10041087001;unique_master_match;1;1;ml;24;bottle;19.0;25.0;24.0;volume;month;24.0;0.0;42.0;28.0;23.0;14.0;24.0;220.0;0;historical;6.255750041753367;2.995732273553991;3.2188758248682006;2.6390573296152584;-1.4935759876113537;0.09499239969631333;-0.3283508176124438;1.1277348597482668;-0.09051273261425981;53;1.0704634128299164;1;1
康貝特200P-180ml;飲料零食;96.0;葡萄王;規格：180ml毫升x1x6Bottle瓶;康貝特200P;132.0;1;180.0;24.0;304;27.27%;0;10022012001;unique_master_match;1;1;ml;6;bottle;16.0;22.0;27.272727;volume;month;27.27;0.0;33.0;22.0;16.0;7.84;24.0;1146.0;0;historical;5.198497031265826;2.833213344056216;3.3418976297345613;3.2188758248682006;-1.4935759876113537;-0.9853025154093366;-0.5559365239363806;1.2219378817692217;1.5349737149444564;13;1.1138329876026034;1;1
富維克礦泉水500ml;飲料零食;792.0;;規格：500ml毫升x1x24Bottle瓶;富維克礦泉水500 ml;935.0;1;500.0;24.0;612;15.29%;0;10040021001;unique_master_match;1;1;ml;24;bottle;33.0;38.958333;15.294118;volume;month;15.29;0.0;38.0;25.0;21.0;13.0;24.0;2064.0;0;historical;6.2166061010848646;3.5263605246161616;2.7908041837917716;3.2188758248682006;-1.4935759876113537;0.054995351078896616;0.4147220397255254;0.7999422194543357;1.5349737149444564;143;1.1652199575625661;1;1
