cluster;n_items;n_new_items;item_codes;contains_example_new_product
0;2;0;10040032001 | 10032064001;False
1;2;0;10021005001 | 10014033001;False
2;6;0;10030018001 | 10033044001 | 10033075001 | 10034046001 | 10035002001 | 10035011001;False
3;3;0;10035028001 | 10033068001 | 10031001001;False
4;6;0;10034016001 | 10020036001 | 10020042001 | 10033014001 | 10041032001 | 10030008001;False
5;1;0;10053901001;False
6;2;1;10014018001 | 10040044001;True
7;5;0;10040042001 | 10040037001 | 10040039001 | 10040049001 | 10040094001;False
8;5;0;10020003001 | 10020004001 | 10020019001 | 10020024001 | 10020025001;False
9;3;0;10040018001 | 10040033001 | 10002069001;False
10;1;0;10024011001;False
11;4;0;10031004001 | 10032020001 | 10001035001 | 10033023001;False
12;1;0;10041067001;False
13;1;0;10041009001;False
14;2;0;10023002001 | 10023027001;False
15;1;0;10022024001;False
16;2;0;10002014001 | 10014106001;False
17;2;0;10040008001 | 10040081001;False
18;2;0;10014028001 | 10032019001;False
19;3;0;10033033001 | 10052020001 | 10052025001;False
20;1;0;10035027001;False
21;4;0;10001010001 | 10012004001 | 10014092001 | 10030049001;False
22;1;0;10021001001;False
23;1;0;10040038001;False
24;6;0;10030046001 | 10030021001 | 10030022001 | 10010009001 | 10035013001 | 10031023001;False
25;2;0;10030017001 | 10030001001;False
26;2;0;10015007001 | 10010018001;False
27;2;0;10023017001 | 10023073001;False
28;3;0;10032055001 | 10010019001 | 10011021001;False
29;1;0;10040001001;False
30;1;0;10021009001;False
31;2;0;10002037001 | 10002038001;False
32;1;0;10002072001;False
33;6;0;10000008001 | 10000022001 | 10002074001 | 10032001001 | 10033026001 | 10021026001;False
34;1;0;10023106001;False
35;1;0;10010012001;False
36;2;0;10040026001 | 10040004001;False
37;3;0;10021025001 | 10010002001 | 10010035001;False
38;2;0;10001001001 | 10002078001;False
39;2;0;10023892001 | 10023005001;False
40;1;0;10052015001;False
41;2;0;10020002001 | 10020027001;False
42;1;0;10032014001;False
43;2;0;10023049001 | 10023063001;False
44;1;0;10002025001;False
45;3;0;10034050001 | 10002019001 | 10002944001;False
46;2;0;10052019001 | 10052017001;False
47;1;0;10040028001;False
48;4;0;10031012001 | 10034002001 | 10034007001 | 10035021001;False
49;2;0;10016014001 | 10014126001;False
50;1;0;10035003001;False
51;1;0;10002102001;False
52;2;0;10030020001 | 10033034001;False
53;3;0;10022915001 | 10022014001 | 10035006001;False
54;7;0;10034013001 | 10001006001 | 10002007001 | 10000005001 | 10001020001 | 10000003001 | 10001005001;False
55;6;0;10040111001 | 10040009001 | 10040035001 | 10040050001 | 10040062001 | 10040082001;False
56;3;0;10011023001 | 10012006001 | 10013012001;False
57;2;0;10034022001 | 10034041001;False
58;2;0;10022020001 | 10022908001;False
59;6;0;10040011001 | 10040016001 | 14222005001 | 10040010001 | 10040063001 | 10023035001;False
60;1;0;10041008001;False
61;6;0;10001015001 | 10030048001 | 10031033001 | 10033018001 | 10033070001 | 10033004001;False
62;2;0;10023114001 | 10023020001;False
63;4;0;10011007001 | 10012002001 | 10013004001 | 10012009001;False
64;2;0;10002942001 | 10002005001;False
65;5;0;10020011001 | 10034003001 | 10011001001 | 10000011001 | 10001012001;False
66;1;0;10002011001;False
67;2;0;10040066001 | 10040020001;False
68;1;0;10041003001;False
69;2;0;10040079001 | 10040025001;False
70;1;0;10023110001;False
71;1;0;10052035001;False
72;1;0;10030014001;False
73;1;0;10022008001;False
74;1;0;10014037001;False
75;1;0;10023051001;False
76;1;0;10023103001;False
77;1;0;10016002001;False
78;1;0;10022910001;False
79;1;0;10002918001;False
80;3;0;10014051001 | 10020007001 | 10020018001;False
81;1;0;10040019001;False
82;3;0;10031013001 | 10032013001 | 10033064001;False
83;1;0;10033013001;False
84;2;0;10035015001 | 10020033001;False
85;1;0;10040024001;False
86;2;0;10002012001 | 10002943001;False
87;2;0;10000004001 | 10034057001;False
88;6;0;10040022001 | 10000001001 | 10000027001 | 10030015001 | 10031007001 | 10022015001;False
89;1;0;10031026001;False
90;2;0;10001004001 | 10002040001;False
91;1;0;10023068001;False
92;3;0;10033028001 | 10033056001 | 10034023001;False
93;1;0;10040040001;False
94;3;0;10033012001 | 10041039001 | 10041040001;False
95;1;0;10040034001;False
96;2;0;10041001001 | 10040031001;False
97;1;0;10000998001;False
98;2;0;10024004001 | 10024007001;False
99;1;0;10040023001;False
100;1;0;10001008001;False
101;9;0;10021008001 | 10032006001 | 10031910001 | 10031017001 | 10013005001 | 10034999001 | 10002008001 | 10031911001 | 10034011001;False
102;2;0;10021018001 | 10033022001;False
103;2;0;10000002001 | 10000010001;False
104;1;0;10020094001;False
105;1;0;10010043001;False
106;1;0;10033029001;False
107;1;0;10032015001;False
108;4;0;10014030001 | 10035012001 | 10032048001 | 10031019001;False
109;1;0;10002018001;False
110;1;0;10033053001;False
111;2;0;10011016001 | 10013003001;False
112;1;0;10022006001;False
113;2;0;10021007001 | 10034026001;False
114;1;0;10021034001;False
115;2;0;10002035001 | 10002919001;False
116;3;0;10041004001 | 10031015001 | 10041007001;False
117;1;0;10032007001;False
118;1;0;10030019001;False
119;1;0;10020015001;False
120;1;0;10010026001;False
121;6;0;10021015001 | 10021016001 | 10033041001 | 10034033001 | 10021006001 | 10033057001;False
122;1;0;10034020001;False
123;5;0;10014023001 | 10021035001 | 10014090001 | 10016015001 | 10014024001;False
124;1;0;10024014001;False
125;3;0;10014113001 | 10014130001 | 10014111001;False
126;1;0;10041899001;False
127;1;0;10035034001;False
128;1;0;10014116001;False
129;1;0;10000007001;False
130;1;0;10010042001;False
131;1;0;10020041001;False
132;1;0;10040002001;False
133;2;0;10013007001 | 10011003001;False
134;1;0;10002046001;False
135;1;0;10014029001;False
136;2;0;10020034001 | 10034015001;False
137;1;0;10033015001;False
138;2;0;10041038001 | 10031916001;False
139;5;0;10001022001 | 10012899001 | 10014898001 | 10002906001 | 10041085001;False
140;1;0;10053904001;False
141;3;0;10002001001 | 10022030001 | 10020046001;False
142;1;0;10034049001;False
143;2;0;10021010001 | 10021017001;False
144;1;0;10021022001;False
145;3;0;10031901001 | 10033038001 | 10031011001;False
146;1;0;10024003001;False
147;1;0;10014097001;False
148;1;0;10021040001;False
149;1;0;10040027001;False
150;1;0;10014020001;False
151;1;0;10016020001;False
152;1;0;10033020001;False
153;1;0;10020012001;False
154;4;0;10002073001 | 10040041001 | 10014032001 | 10032023001;False
155;1;0;10040071001;False
156;1;0;10002916001;False
157;3;0;10015011001 | 10032011001 | 10034042001;False
158;1;0;10021021001;False
159;1;0;10032059001;False
160;1;0;10002021001;False
161;6;0;10010004001 | 10022011001 | 10030013001 | 10031031001 | 10032046001 | 10035035001;False
162;2;0;10032008001 | 10032047001;False
163;4;0;10034025001 | 10011004001 | 10001009001 | 10021027001;False
164;1;0;10014009001;False
165;1;0;10040005001;False
166;1;0;10031899001;False
167;1;0;10033031001;False
168;1;0;10020016001;False
169;1;0;10001025001;False
170;1;0;10022012001;False
171;1;0;10040048001;False
172;2;0;10000012001 | 10030007001;False
173;4;0;10041034001 | 10001007001 | 10002003001 | 10002009001;False
174;1;0;10022016001;False
175;2;0;10000023001 | 10035036001;False
176;1;0;10002071001;False
177;1;0;10033065001;False
178;1;0;10011028001;False
179;1;0;10014067001;False
180;3;0;10023078001 | 10023008001 | 10023031001;False
181;2;0;10030005001 | 10035001001;False
182;1;0;10040003001;False
183;2;0;10002017001 | 10002045001;False
184;1;0;10014080001;False
185;1;0;10033010001;False
186;2;0;10041033001 | 10033001001;False
187;1;0;10023058001;False
188;1;0;10016011001;False
189;1;0;10100132001;False
