title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton;inventory_quantity;is_new_product;item_role
七星白葡萄汽泡香檳飲料750 ml;飲料零食;65.0;七星;規格：750ml毫升x1x1Bottle瓶;七星白葡萄汽泡香檳飲料750 ml;69.0;1;750.0;24.0;60;5.80%;1;10002039001;unique_master_match;1;1;ml;1;bottle;65.0;69.0;5.797101;volume;month;5.8;1.0;35.0;27.0;32.0;17.13;12.0;171.666667;1;new
維他露P 2L;飲料零食;41.0;維他露;規格：2000ml毫升x1x1BOTTLE瓶;維他露P 2L;45.0;1;2000.0;10.0;64;8.89%;0;10002051001;unique_master_match;1;1;ml;1;bottle;41.0;45.0;8.888889;volume;month;8.89;0.0;34.0;23.0;31.0;13.23;6.0;783.0;1;new
樹頂蘋果氣泡飲(320ml );飲料零食;114.0;樹頂 Tree Top;規格：320ml毫升x1x6Can罐;樹頂蘋果氣泡飲320ml;132.0;1;320.0;18.0;75;13.64%;0;10002911001;unique_master_match;1;1;ml;6;can;19.0;22.0;13.636364;volume;month;13.64;0.0;40.0;27.0;12.0;8.7;24.0;1979.0;1;new
波蜜一日蔬果100蔬果汁 250ml;飲料零食;79.0;波蜜;規格：250ml毫升x1x6Bottle瓶;波蜜一日蔬果100蔬果汁 250ml;92.0;1;250.0;12.0;90;14.13%;1;10010001001;unique_master_match;1;1;ml;6;bottle;13.166667;15.333333;14.130435;volume;month;14.13;1.0;32.0;17.0;14.0;5.09;18.0;3405.0;1;new
波蜜100%紫色蔬果汁;飲料零食;79.0;波蜜;規格：250ml毫升x1x6Bottle瓶;100紫色蔬果汁TP250ml;88.0;1;250.0;12.0;94;10.23%;1;10010007001;unique_master_match;1;1;ml;6;bottle;13.166667;14.666667;10.227273;volume;month;10.23;1.0;32.0;17.0;14.0;5.09;18.0;1445.0;1;new
一日蔬果100蘋果柳橙蔬果 160ml;飲料零食;69.0;波蜜;規格：160ml毫升x1x6BOTTLE瓶;一日蔬果100蘋果柳橙蔬果 160ml;70.0;1;160.0;12.0;102;1.43%;1;10010027001;unique_master_match;1;1;ml;6;bottle;11.5;11.666667;1.428571;volume;month;1.43;1.0;33.0;16.0;10.0;4.34;24.0;2288.0;1;new
波蜜一日蔬果100蔬果汁 250ml;飲料零食;225.0;波蜜;規格：250ml毫升x1x18Bottle瓶;波蜜一日水果100葡萄綜合果汁250ml;274.0;1;250.0;12.0;132;17.88%;1;10013011001;unique_master_match;1;1;ml;18;bottle;12.5;15.222222;17.883212;volume;month;17.88;1.0;32.0;17.0;13.0;5.0;18.0;1954.0;1;new
【半天水】鮮剖100%純椰汁24瓶〈含果肉/520ml/瓶/易開罐〉免運;飲料零食;1050.0;半天水;規格：520ml/瓶;鮮剖100椰子汁含椰肉520ml;1440.0;1;520.0;24.0;135;27.08%;1;10014005001;unique_master_match;1;1;ml;1;;1050.0;1440.0;27.083333;volume;month;27.08;1.0;41.0;27.0;18.0;14.66;24.0;542.0;1;new
樹頂100蜜桃綜合果汁1L公升;飲料零食;87.0;樹頂 Tree Top;規格：1L公升x1x1Bottle瓶;樹頂100蜜桃綜合果汁 1L;99.0;1;1000.0;13.0;136;12.12%;1;10014006001;unique_master_match;1;1;ml;1;bottle;87.0;99.0;12.121212;volume;month;12.12;1.0;29.0;18.0;26.0;11.428;10.0;66.666667;1;new
台酒原味黑麥汁 330ml;飲料零食;572.0;台酒;規格：330ml毫升x1x24Can罐;卡麥隆石榴黑麥汁330ml;608.0;1;330.0;18.0;171;5.92%;1;10014075001;unique_master_match;1;1;ml;24;can;23.833333;25.333333;5.921053;volume;month;5.92;1.0;41.0;28.0;12.0;8.75;24.0;602.0;1;new
