item_code;order_date;daily_order_frequency
10000001001;2021-08-01;1
10000001001;2021-08-02;1
10000001001;2021-08-03;1
10000001001;2021-08-04;1
10000001001;2021-08-05;2
10000001001;2021-08-07;2
10000001001;2021-08-09;1
10000001001;2021-08-10;3
10000001001;2021-08-12;1
10000001001;2021-08-13;3
10000001001;2021-08-17;2
10000002001;2021-08-01;5
10000002001;2021-08-02;1
10000002001;2021-08-03;5
10000002001;2021-08-04;18
10000002001;2021-08-05;18
10000002001;2021-08-06;10
10000002001;2021-08-07;3
10000002001;2021-08-08;18
10000002001;2021-08-09;20
10000002001;2021-08-10;18
10000002001;2021-08-11;17
10000002001;2021-08-12;22
10000002001;2021-08-13;22
10000002001;2021-08-14;53
10000002001;2021-08-15;27
10000002001;2021-08-16;20
10000002001;2021-08-17;13
10000003001;2021-08-01;2
10000003001;2021-08-02;3
10000003001;2021-08-03;8
10000003001;2021-08-04;12
10000003001;2021-08-05;5
10000003001;2021-08-06;4
10000003001;2021-08-07;5
10000003001;2021-08-08;4
10000003001;2021-08-09;8
10000003001;2021-08-10;7
10000003001;2021-08-11;6
10000003001;2021-08-12;6
10000003001;2021-08-13;4
10000003001;2021-08-14;3
10000003001;2021-08-15;5
10000003001;2021-08-16;6
10000003001;2021-08-17;8
10000004001;2021-08-01;8
10000004001;2021-08-02;3
10000004001;2021-08-03;5
10000004001;2021-08-04;5
10000004001;2021-08-05;3
10000004001;2021-08-06;3
10000004001;2021-08-08;3
10000004001;2021-08-09;2
10000004001;2021-08-10;5
10000004001;2021-08-11;2
10000004001;2021-08-12;5
10000004001;2021-08-13;5
10000004001;2021-08-14;21
10000004001;2021-08-15;1
10000004001;2021-08-16;2
10000004001;2021-08-17;10
10000005001;2021-08-01;46
10000005001;2021-08-02;5
10000005001;2021-08-03;11
10000005001;2021-08-04;4
10000005001;2021-08-05;10
10000005001;2021-08-06;2
10000005001;2021-08-07;6
10000005001;2021-08-09;2
10000005001;2021-08-10;1
10000005001;2021-08-11;22
10000005001;2021-08-12;23
10000005001;2021-08-13;20
10000005001;2021-08-14;21
10000005001;2021-08-15;26
10000005001;2021-08-16;35
10000005001;2021-08-17;24
10000007001;2021-08-01;7
10000007001;2021-08-02;10
10000007001;2021-08-03;11
10000007001;2021-08-04;14
10000007001;2021-08-05;13
10000007001;2021-08-06;8
10000007001;2021-08-07;6
10000007001;2021-08-08;11
10000007001;2021-08-09;11
10000007001;2021-08-10;7
10000007001;2021-08-11;12
10000007001;2021-08-12;18
10000007001;2021-08-13;11
10000007001;2021-08-14;13
10000007001;2021-08-15;18
10000007001;2021-08-16;14
10000007001;2021-08-17;8
10000008001;2021-08-09;1
10000008001;2021-08-12;1
10000010001;2021-08-01;12
10000010001;2021-08-02;5
10000010001;2021-08-03;5
10000010001;2021-08-04;3
10000010001;2021-08-05;7
10000010001;2021-08-06;6
10000010001;2021-08-07;7
10000010001;2021-08-08;4
10000010001;2021-08-09;8
10000010001;2021-08-10;5
10000010001;2021-08-11;10
10000010001;2021-08-12;11
10000010001;2021-08-13;7
10000010001;2021-08-14;16
10000010001;2021-08-15;7
10000010001;2021-08-16;6
10000010001;2021-08-17;2
10000011001;2021-08-01;35
10000011001;2021-08-02;37
10000011001;2021-08-03;35
10000011001;2021-08-04;22
10000011001;2021-08-05;18
10000011001;2021-08-06;6
10000011001;2021-08-07;17
10000011001;2021-08-08;24
10000011001;2021-08-09;39
10000011001;2021-08-10;30
10000011001;2021-08-11;45
10000011001;2021-08-12;27
10000011001;2021-08-13;32
10000011001;2021-08-14;33
10000011001;2021-08-15;55
10000011001;2021-08-16;88
10000011001;2021-08-17;60
10000012001;2021-08-01;3
10000012001;2021-08-02;3
10000012001;2021-08-03;3
10000012001;2021-08-04;5
10000012001;2021-08-05;5
10000012001;2021-08-07;10
