item_code;2021-08-01;2021-08-02;2021-08-03;2021-08-04;2021-08-05;2021-08-06;2021-08-07;2021-08-08;2021-08-09;2021-08-10;2021-08-11;2021-08-12;2021-08-13;2021-08-14;2021-08-15;2021-08-16;2021-08-17;2021-08-18
10000001001;1.0;1.0;1.0;1.0;2.0;0.0;2.0;0.0;1.0;3.0;0.0;1.0;3.0;0.0;0.0;0.0;2.0;0.0
10000002001;5.0;1.0;5.0;18.0;18.0;10.0;3.0;18.0;20.0;18.0;17.0;22.0;22.0;53.0;27.0;20.0;13.0;0.0
10000003001;2.0;3.0;8.0;12.0;5.0;4.0;5.0;4.0;8.0;7.0;6.0;6.0;4.0;3.0;5.0;6.0;8.0;0.0
10000004001;8.0;3.0;5.0;5.0;3.0;3.0;0.0;3.0;2.0;5.0;2.0;5.0;5.0;21.0;1.0;2.0;10.0;0.0
10000005001;46.0;5.0;11.0;4.0;10.0;2.0;6.0;0.0;2.0;1.0;22.0;23.0;20.0;21.0;26.0;35.0;24.0;0.0
10000007001;7.0;10.0;11.0;14.0;13.0;8.0;6.0;11.0;11.0;7.0;12.0;18.0;11.0;13.0;18.0;14.0;8.0;0.0
10000008001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
10000010001;12.0;5.0;5.0;3.0;7.0;6.0;7.0;4.0;8.0;5.0;10.0;11.0;7.0;16.0;7.0;6.0;2.0;0.0
10000011001;35.0;37.0;35.0;22.0;18.0;6.0;17.0;24.0;39.0;30.0;45.0;27.0;32.0;33.0;55.0;88.0;60.0;0.0
10000012001;3.0;3.0;3.0;5.0;5.0;0.0;10.0;1.0;5.0;9.0;4.0;10.0;6.0;7.0;3.0;2.0;2.0;0.0
10000022001;3.0;2.0;2.0;1.0;1.0;2.0;2.0;3.0;3.0;1.0;3.0;3.0;1.0;3.0;4.0;0.0;4.0;0.0
10000023001;1.0;0.0;2.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0
10000027001;4.0;3.0;5.0;1.0;4.0;4.0;0.0;4.0;1.0;1.0;3.0;5.0;3.0;3.0;2.0;1.0;3.0;0.0
10000998001;13.0;8.0;15.0;19.0;26.0;7.0;8.0;23.0;20.0;11.0;24.0;26.0;22.0;8.0;57.0;14.0;33.0;0.0
10001001001;9.0;3.0;7.0;8.0;3.0;3.0;3.0;2.0;7.0;6.0;6.0;9.0;8.0;10.0;7.0;1.0;10.0;0.0
10001004001;7.0;2.0;5.0;14.0;11.0;10.0;1.0;8.0;14.0;17.0;15.0;22.0;16.0;21.0;48.0;13.0;19.0;0.0
10001005001;2.0;1.0;3.0;3.0;3.0;2.0;1.0;0.0;2.0;3.0;0.0;2.0;3.0;2.0;8.0;10.0;8.0;0.0
10001006001;14.0;9.0;16.0;15.0;18.0;6.0;12.0;21.0;17.0;26.0;24.0;29.0;23.0;13.0;41.0;29.0;28.0;0.0
10001007001;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;3.0;0.0
10001008001;1.0;1.0;5.0;2.0;1.0;4.0;0.0;1.0;1.0;2.0;3.0;3.0;1.0;3.0;1.0;1.0;2.0;0.0
10001009001;28.0;16.0;12.0;10.0;13.0;9.0;16.0;12.0;11.0;2.0;26.0;23.0;13.0;11.0;14.0;10.0;30.0;0.0
10001010001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10001012001;10.0;8.0;16.0;25.0;20.0;7.0;10.0;16.0;11.0;12.0;18.0;16.0;10.0;18.0;21.0;10.0;41.0;0.0
10001015001;0.0;2.0;4.0;1.0;5.0;4.0;0.0;1.0;3.0;2.0;3.0;1.0;3.0;0.0;1.0;1.0;2.0;0.0
10001020001;4.0;1.0;3.0;5.0;3.0;3.0;1.0;2.0;2.0;5.0;4.0;6.0;6.0;2.0;10.0;7.0;10.0;0.0
10001022001;6.0;1.0;1.0;1.0;6.0;5.0;2.0;1.0;3.0;4.0;5.0;10.0;2.0;4.0;4.0;2.0;5.0;0.0
10001025001;7.0;1.0;14.0;12.0;9.0;6.0;6.0;10.0;8.0;7.0;12.0;15.0;10.0;5.0;19.0;14.0;11.0;0.0
10001035001;3.0;1.0;0.0;5.0;3.0;5.0;1.0;1.0;3.0;1.0;7.0;5.0;4.0;3.0;4.0;2.0;6.0;0.0
10002001001;16.0;13.0;21.0;11.0;8.0;5.0;11.0;5.0;11.0;12.0;14.0;11.0;7.0;2.0;12.0;5.0;20.0;0.0
10002003001;6.0;4.0;7.0;13.0;6.0;5.0;4.0;4.0;1.0;3.0;12.0;4.0;10.0;7.0;10.0;4.0;10.0;0.0
10002005001;7.0;5.0;17.0;13.0;19.0;4.0;11.0;14.0;8.0;15.0;15.0;17.0;14.0;5.0;16.0;17.0;15.0;0.0
10002007001;6.0;5.0;5.0;5.0;9.0;5.0;0.0;8.0;5.0;7.0;10.0;7.0;4.0;5.0;8.0;6.0;14.0;0.0
10002008001;9.0;7.0;6.0;4.0;7.0;2.0;1.0;8.0;18.0;21.0;13.0;6.0;15.0;12.0;22.0;44.0;37.0;1.0
10002009001;5.0;3.0;14.0;11.0;10.0;15.0;3.0;7.0;11.0;8.0;12.0;6.0;14.0;9.0;4.0;4.0;4.0;0.0
10002011001;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10002012001;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;3.0;2.0;2.0;7.0;4.0;0.0
10002013001;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
10002014001;3.0;7.0;7.0;4.0;6.0;4.0;1.0;2.0;3.0;6.0;3.0;9.0;8.0;5.0;9.0;9.0;1.0;0.0
10002017001;5.0;7.0;4.0;3.0;6.0;4.0;3.0;6.0;4.0;3.0;0.0;3.0;10.0;12.0;23.0;7.0;6.0;0.0
10002018001;21.0;9.0;14.0;18.0;34.0;15.0;7.0;31.0;42.0;42.0;45.0;45.0;38.0;33.0;36.0;39.0;31.0;0.0
10002019001;16.0;28.0;30.0;18.0;11.0;8.0;7.0;10.0;10.0;11.0;13.0;17.0;12.0;12.0;17.0;8.0;8.0;0.0
10002021001;11.0;10.0;7.0;10.0;24.0;4.0;3.0;19.0;25.0;15.0;23.0;28.0;22.0;8.0;19.0;17.0;18.0;0.0
