title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;_query_key;item_code;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;is_new_product
洞洞網烤漆四層架-黑色<DIY組裝商品>;傢俱寢飾;2599;;規格：1set組x1x1set組;洞洞網烤漆四層架45*120*180;2690;1;1,0;999,0;9685;3.38%;1;洞洞網烤漆四層架45*120*180;31827008001;set;1;set;2599,0;2690,0;3,382899628252788;count;未拆封保存;1
C800彩瓷滑輪整理箱<摩登粉>;傢俱寢飾;199;好室喵;規格：1pc個x1x1pc個;C800彩瓷滑輪整理箱;299;1;1,0;999,0;9589;33.44%;1;C800彩瓷滑輪整理箱;31660005001;pc;1;pc;199,0;299,0;33,44481605351171;count;;0
KT-500 好運密封整理箱(顏色隨機出貨);傢俱寢飾;439;KEYWAY 聯府;規格：1set組x1x1set組;KT-500 好運密封整理箱;549;1;1,0;999,0;9590;20.04%;1;KT-500好運密封整理箱;31660016001;set;1;set;439,0;549,0;20,036429872495447;count;標示於包裝上;0
D300滑輪整理箱-SS;傢俱寢飾;109;好室喵;規格：1pc個x1x1pc個;D300滑輪整理箱;128;1;1,0;999,0;9591;14.84%;1;D300滑輪整理箱;31660018001;pc;1;pc;109,0;128,0;14,84375;count;標示於包裝上;0
CF400(小)滑輪整理箱;傢俱寢飾;159;KEYWAY 聯府;規格：1pc個x1x1pc個;CF400(小)滑輪整理箱;175;1;1,0;999,0;9592;9.14%;1;CF400(小)滑輪整理箱;31660025001;pc;1;pc;159,0;175,0;9,142857142857142;count;;0
CF601(中)滑輪整理箱;傢俱寢飾;165;KEYWAY 聯府;規格：1pc個x1x1pc個;CF601(中)滑輪整理箱;179;1;1,0;999,0;9593;7.82%;1;CF601(中)滑輪整理箱;31660026001;pc;1;pc;165,0;179,0;7,82122905027933;count;標示包裝上;0
CF801(大)滑輪整理箱;傢俱寢飾;199;KEYWAY 聯府;規格：1pc個x1x1pc個;CF801(大)滑輪整理箱;219;1;1,0;999,0;9594;9.13%;1;CF801(大)滑輪整理箱;31660027001;pc;1;pc;199,0;219,0;9,1324200913242;count;;0
A401透明滑輪整理箱附蓋-S;傢俱寢飾;189;好室喵;規格：1pc個x1x1pc個;A401透明滑輪整理箱附蓋-S;219;1;1,0;999,0;9595;13.70%;1;A401透明滑輪整理箱附蓋-S;31660038001;pc;1;pc;189,0;219,0;13,6986301369863;count;;0
A601透明滑輪整理箱附蓋-M;傢俱寢飾;309;好室喵;規格：1pc個x1x1pc個;A601透明滑輪整理箱附蓋-M;349;1;1,0;999,0;9596;11.46%;1;A601透明滑輪整理箱附蓋-M;31660039001;pc;1;pc;309,0;349,0;11,461318051575931;count;;0
CF1201(特大)滑輪整理箱;傢俱寢飾;239;KEYWAY 聯府;規格：1pc個x1x1pc個;CF1201(特大)滑輪整理箱;249;1;1,0;999,0;9598;4.02%;1;CF1201(特大)滑輪整理箱;31661009001;pc;1;pc;239,0;249,0;4,016064257028113;count;;0
CF1501(超大)滑輪整理箱;傢俱寢飾;359;KEYWAY 聯府;規格：1pc個x1x1pc個;CF1501(超大)滑輪整理箱;439;1;1,0;999,0;9599;18.22%;0;CF1501(超大)滑輪整理箱;31661010001;pc;1;pc;359,0;439,0;18,223234624145785;count;;0
Keyway耐久15型整理箱-15L;傢俱寢飾;329;KEYWAY 聯府;規格：1pc個x1x1pc個;CK-15 耐久15型整理箱;0;1;1,0;120,0;9600;0.00%;0;CK-15耐久15型整理箱;31662001001;pc;1;pc;329,0;0,0;0,0;count;月;0
超大桔子抽屜整理箱-65L;傢俱寢飾;599;好室喵;規格：1pc個x1x1pc個;超大桔子抽屜整理箱-65L;0;1;1,0;999,0;9601;0.00%;0;超大桔子抽屜整理箱-65L;31663001001;pc;1;pc;599,0;0,0;0,0;count;;0
微風單層抽屜式整理箱中-藍色;傢俱寢飾;329;好室喵;規格：1pc個x1x1pc個;微風抽屜式整理箱中;0;1;1,0;999,0;9604;0.00%;1;微風抽屜式整理箱中;31663009001;pc;1;pc;329,0;0,0;0,0;count;標示於包裝上;0
美好生活65L置物箱-無輪<藍色>;傢俱寢飾;389;好室喵;規格：1pc個x1x1pc個;美好生活65L置物箱;599;1;1,0;999,0;9607;35.06%;1;美好生活65L置物箱;31663012001;pc;1;pc;389,0;599,0;35,058430717863104;count;標示於包裝上;0
CK-72雙抽屜整理箱;傢俱寢飾;329;KEYWAY 聯府;規格：1pc個x1x1pc個;CK-72抽屜整理箱;399;1;1,0;999,0;9608;17.54%;1;CK-72抽屜整理箱;31663032001;pc;1;pc;329,0;399,0;17,543859649122805;count;;0
CK-71單抽屜整理箱;傢俱寢飾;329;KEYWAY 聯府;規格：1pc個x1x1pc個;CK-71抽屜整理箱;399;1;1,0;999,0;9609;17.54%;0;CK-71抽屜整理箱;31663037001;pc;1;pc;329,0;399,0;17,543859649122805;count;;0
KQ-969 摩登黑抽屜整理箱-顏色隨機出貨;傢俱寢飾;599;KEYWAY 聯府;規格：1pc個x1x1pc個;KQ-969 摩登黑抽屜整理箱;0;1;1,0;999,0;9610;0.00%;1;KQ-969摩登黑抽屜整理箱;31663044001;pc;1;pc;599,0;0,0;0,0;count;;0
米娜防潑水三門一抽廚房櫃<DIY組裝商品>;傢俱寢飾;2799;RICHOME;規格：1pc個x1x1pc個;大一抽收納櫃;2988;1;1,0;999,0;9611;6.33%;0;大一抽收納櫃;31663045001;pc;1;pc;2799,0;2988,0;6,325301204819277;count;未拆封保存;0
超大桔子抽屜整理箱-65L;傢俱寢飾;599;好室喵;規格：1pc個x1x1pc個;大珍珠65L置物箱;0;1;1,0;999,0;9615;0.00%;0;大珍珠65L置物箱;31663087001;pc;1;pc;599,0;0,0;0,0;count;;0
喬安納單抽屜整理箱;傢俱寢飾;399;KEYWAY 聯府;規格：1pc個x1x1pc個;喬安納單抽屜整理箱;0;1;1,0;120,0;9617;0.00%;0;喬安納單抽屜整理箱;31663093001;pc;1;pc;399,0;0,0;0,0;count;月;0
花田收納櫃四層(無輪)-粉色;傢俱寢飾;1299;好室喵;規格：1pc個x1x1pc個;花田收納櫃四層-無輪;0;1;1,0;60,0;9618;0.00%;1;花田收納櫃四層-無輪;31665001002;pc;1;pc;1299,0;0,0;0,0;count;月;0
大四抽收納櫃;傢俱寢飾;899;好室喵;規格：1set組x1x1set組;大四抽收納櫃;1199;1;1,0;999,0;9619;25.02%;0;大四抽收納櫃;31665011001;set;1;set;899,0;1199,0;25,0208507089241;count;;0
LF-520 直取式收納箱;傢俱寢飾;249;KEYWAY 聯府;規格：1pc個x1x1pc個;LF-520 直取式收納箱;305;1;1,0;999,0;9622;18.36%;1;LF-520直取式收納箱;31675003001;pc;1;pc;249,0;305,0;18,36065573770492;count;標示於包裝上;0
LF-607 (大)直取式收納箱;傢俱寢飾;349;KEYWAY 聯府;規格：1pc個x1x1pc個;LF-607 (大)直取式收納箱;449;1;1,0;999,0;9624;22.27%;0;LF-607(大)直取式收納箱;31675028001;pc;1;pc;349,0;449,0;22,271714922049;count;;0
童話下掀式整理箱 39L-藍色;傢俱寢飾;499;好室喵;規格：1pc個x1x1pc個;童話下掀式整理箱-39L;0;1;1,0;60,0;9627;0.00%;1;童話下掀式整理箱-39L;31675032001;pc;1;pc;499,0;0,0;0,0;count;月;0
純白牛奶附蓋收納盒-圓角3號;傢俱寢飾;79;好室喵;規格：1pc個x1x1pc個;純白牛奶附蓋收納盒-圓角1號;99;1;1,0;60,0;9628;20.20%;1;純白牛奶附蓋收納盒-圓角1號;31675044001;pc;1;pc;79,0;99,0;20,2020202020202;count;月;0
純白牛奶附蓋收納盒-直角5號;傢俱寢飾;89;好室喵;規格：1pc個x1x1pc個;純白牛奶附蓋收納盒-直角5號;99;1;1,0;60,0;9629;10.10%;0;純白牛奶附蓋收納盒-直角5號;31675047001;pc;1;pc;89,0;99,0;10,1010101010101;count;月;0
藤直取式整理箱 65L-顏色隨機出貨;傢俱寢飾;799;KEYWAY 聯府;規格：1pc個x1x1pc個;KGB-651藤直取式65L整理箱;0;1;1,0;999,0;9630;0.00%;1;KGB-651藤直取式65L整理箱;31675048001;pc;1;pc;799,0;0,0;0,0;count;標示於包裝上;0
純白牛奶附蓋收納盒-圓角4號;傢俱寢飾;99;好室喵;規格：1pc個x1x1pc個;純白牛奶附蓋收納盒-圓角4號;119;1;1,0;60,0;9631;16.81%;1;純白牛奶附蓋收納盒-圓角4號;31675052001;pc;1;pc;99,0;119,0;16,80672268907563;count;月;0
DT31總理萬用籃;傢俱寢飾;119;KEYWAY 聯府;規格：1pc個x1x1pc個;DT31總理萬用籃;139;1;1,0;999,0;9640;14.39%;1;DT31總理萬用籃;31677014001;pc;1;pc;119,0;139,0;14,388489208633093;count;;0
【收納】DT-38 深型特大總理萬用籃;傢俱寢飾;169;KEYWAY 聯府;規格：1pc個x1x1pc個;DT38總理萬用籃;199;1;1,0;999,0;9642;15.08%;1;DT38總理萬用籃;31677016001;pc;1;pc;169,0;199,0;15,07537688442211;count;標示於包裝上;0
DT41總理萬用籃;傢俱寢飾;199;KEYWAY 聯府;規格：1pc個x1x1pc個;DT41總理萬用籃;249;1;1,0;999,0;9643;20.08%;0;DT41總理萬用籃;31677017001;pc;1;pc;199,0;249,0;20,080321285140563;count;標示於包裝上;0
OPEN整理收納盒;傢俱寢飾;199;KEYWAY 聯府;規格：1pc個x1x1pc個;OPEN整理收納盒_RTS;0;1;1,0;120,0;9645;0.00%;1;OPEN整理收納盒_RTS;31677021001;pc;1;pc;199,0;0,0;0,0;count;月;0
【椅子】大四方椅27.5x27.5x47.5cm;傢俱寢飾;99;;規格：1pc張x1x1pc張;大四方椅;0;1;1,0;999,0;9674;0.00%;1;大四方椅;31801024001;pc;1;pc;99,0;0,0;0,0;count;;0
美好小折椅-藍色 CH00106-B;傢俱寢飾;139;好室喵;規格：1pc張x1x1pc張;美好小折椅;198;1;1,0;60,0;9675;29.80%;1;美好小折椅;31802032001;pc;1;pc;139,0;198,0;29,7979797979798;count;月;0
美背加厚板二層空櫥櫃;傢俱寢飾;295;;規格：1pc個x1x1pc個;美背加厚版二層空櫥;369;1;1,0;999,0;9678;20.05%;1;美背加厚版二層空櫥;31821064001;pc;1;pc;295,0;369,0;20,05420054200542;count;;0
美背二層空櫥;傢俱寢飾;255;;規格：1pc個x1x1pc個;美背二層空櫥;319;1;1,0;999,0;9679;20.06%;1;美背二層空櫥;31821065001;pc;1;pc;255,0;319,0;20,06269592476489;count;;0
美背加厚板三層空櫥櫃;傢俱寢飾;375;;規格：1pc個x1x1pc個;三層門櫥(白楓木);469;1;1,0;999,0;9680;20.04%;1;三層門櫥(白楓木);31822021001;pc;1;pc;375,0;469,0;20,042643923240934;count;;0
美背三層空櫥<DIY組裝商品>;傢俱寢飾;335;;規格：1pc個x1x1pc個;美背三層空櫥;419;1;1,0;999,0;9681;20.05%;1;美背三層空櫥;31822063001;pc;1;pc;335,0;419,0;20,047732696897373;count;;0
美背加厚板三層空櫥櫃;傢俱寢飾;375;;規格：1pc個x1x1pc個;美背加厚版三層空櫥;469;1;1,0;999,0;9682;20.04%;1;美背加厚版三層空櫥;31822064001;pc;1;pc;375,0;469,0;20,042643923240934;count;;0
美背加厚板四層空櫥櫃;傢俱寢飾;463;;規格：1pc個x1x1pc個;四層門櫥(白楓木);579;1;1,0;999,0;9683;20.03%;1;四層門櫥(白楓木);31823023001;pc;1;pc;463,0;579,0;20,03454231433506;count;;0
美背加厚板四層空櫥櫃;傢俱寢飾;463;;規格：1pc個x1x1pc個;美背加厚版四層空櫥;579;1;1,0;999,0;9684;20.03%;1;美背加厚版四層空櫥;31823049001;pc;1;pc;463,0;579,0;20,03454231433506;count;;0
波浪四層輕型鐵力士架;傢俱寢飾;749;;規格：1pc個x1x1pc個;波浪四層架輕型;799;1;1,0;999,0;9686;6.26%;0;波浪四層架輕型;31827020001;pc;1;pc;749,0;799,0;6,25782227784731;count;未拆封保存;0
波浪四層中型鐵力士架(實際出貨不含陳列佈置物);傢俱寢飾;1199;;規格：1pc個x1x1pc個;波浪四層架中型;0;1;1,0;999,0;9687;0.00%;0;波浪四層架中型;31827023001;pc;1;pc;1199,0;0,0;0,0;count;未拆封保存;0
波浪五層重型鐵力士架(實際出貨不含陳列佈置物);傢俱寢飾;2399;;規格：1pc個x1x1pc個;波浪五層架重型;0;1;1,0;999,0;9688;0.00%;0;波浪五層架重型;31827033001;pc;1;pc;2399,0;0,0;0,0;count;標示於包裝上;0
防蹣抗菌健康枕;傢俱寢飾;299;;規格：1pc個x1x1pc個;防蹣抗菌健康枕;0;1;1,0;999,0;10289;0.00%;0;防蹣抗菌健康枕;65031002001;pc;1;pc;299,0;0,0;0,0;count;標示於包裝上;0
英倫風抗菌可水洗枕;傢俱寢飾;398;;規格：1pc個x1x1pc個;英倫風抗菌可水洗枕;0;1;1,0;60,0;10290;0.00%;1;英倫風抗菌可水洗枕;65031011001;pc;1;pc;398,0;0,0;0,0;count;月;0
天然防蹣防蚊健康枕-支撐型;傢俱寢飾;399;;規格：1pc個x1x1pc個;天然防蹣防蚊健康枕-支撐型;449;1;1,0;60,0;10293;11.14%;1;天然防蹣防蚊健康枕-支撐型;65031047001;pc;1;pc;399,0;449,0;11,1358574610245;count;月;0
新型防蚊抑菌健康枕;傢俱寢飾;329;;規格：1pc個x1x1pc個;新型防蚊抑菌健康枕;398;1;1,0;60,0;10294;17.34%;1;新型防蚊抑菌健康枕;65031053001;pc;1;pc;329,0;398,0;17,33668341708543;count;月;0
3M Filtrete 健康防蹣枕心-竹炭型;傢俱寢飾;1149;3M台灣明尼蘇達礦業製造股份有限公司;規格：1pc個x1x1pc個;3M 健康防蹣枕心-竹炭型;1499;1;1,0;120,0;10297;23.35%;1;3M健康防蹣枕心-竹炭型;65031079001;pc;1;pc;1149,0;1499,0;23,34889926617745;count;月;0
