item_code;cluster;total_order_frequency;active_days
10000001001;19;18.0;11
10000002001;19;290.0;17
10000003001;19;96.0;17
10000004001;19;83.0;16
10000005001;19;258.0;16
10000007001;19;192.0;17
10000008001;17;2.0;2
10000010001;19;121.0;17
10000011001;19;603.0;17
10000012001;19;78.0;16
10000022001;19;38.0;16
10000023001;19;12.0;10
10000027001;19;47.0;16
10000998001;19;334.0;17
10001001001;19;102.0;17
10001004001;19;243.0;17
10001005001;19;53.0;15
10001006001;19;341.0;17
10001007001;19;10.0;7
10001008001;19;32.0;16
10001009001;19;256.0;17
10001010001;18;2.0;2
10001012001;19;269.0;17
10001015001;19;33.0;14
10001020001;19;74.0;17
10001022001;19;62.0;17
10001025001;19;166.0;17
10001035001;19;54.0;16
10002001001;19;184.0;17
10002003001;19;110.0;17
10002005001;19;212.0;17
10002007001;19;109.0;16
10002008001;19;233.0;18
10002009001;19;140.0;17
10002011001;18;2.0;2
10002012001;19;25.0;10
10002013001;19;4.0;4
10002014001;19;87.0;17
10002017001;19;106.0;16
10002018001;19;500.0;17
10002019001;19;236.0;17
10002021001;19;263.0;17
10002025001;19;53.0;15
10002026001;10;1.0;1
10002035001;19;120.0;16
10002037001;19;4.0;3
10002038001;19;4.0;4
10002040001;19;57.0;17
10002045001;19;162.0;17
10002046001;19;62.0;12
10002069001;19;38.0;15
10002071001;19;93.0;17
10002072001;19;27.0;13
10002073001;19;34.0;8
10002074001;19;65.0;16
10002078001;19;4.0;3
10002102001;19;231.0;17
10002899001;19;3.0;3
10002906001;19;56.0;15
10002916001;19;10.0;8
10002918001;15;3.0;2
10002919001;19;6.0;4
10002942001;19;21.0;12
10002943001;19;74.0;14
10002944001;19;63.0;15
10010002001;19;377.0;17
10010004001;19;200.0;17
10010009001;19;10.0;7
10010012001;19;14.0;9
10010018001;19;9.0;4
10010019001;19;13.0;7
10010026001;19;48.0;16
10010035001;19;280.0;17
10010042001;19;17.0;11
10010043001;19;23.0;12
10011001001;19;132.0;17
10011003001;19;156.0;17
10011004001;19;5.0;5
10011007001;19;9.0;6
10011016001;19;113.0;17
10011021001;19;24.0;12
10011023001;19;79.0;16
10011028001;19;9.0;5
10012002001;10;1.0;1
10012004001;19;89.0;16
10012006001;19;53.0;15
10012009001;19;4.0;3
10012899001;19;53.0;16
10013003001;19;152.0;17
10013004001;19;2.0;2
10013005001;19;97.0;16
10013007001;19;5.0;3
10013012001;19;79.0;16
10014009001;19;86.0;16
10014018001;1;1.0;1
10014020001;19;56.0;15
10014023001;19;124.0;17
10014024001;19;15.0;7
10014028001;19;139.0;17
10014029001;19;21.0;11
10014030001;19;11.0;7
10014032001;19;45.0;16
10014033001;19;98.0;17
10014037001;19;14.0;10
10014043001;4;1.0;1
10014051001;19;45.0;16
10014055001;3;1.0;1
10014062001;19;3.0;3
10014067001;19;4.0;4
10014069001;11;1.0;1
10014073001;6;1.0;1
10014080001;19;14.0;10
10014090001;19;205.0;17
10014092001;19;45.0;14
10014097001;19;3.0;3
10014106001;19;4.0;4
10014110001;19;3.0;2
10014111001;19;11.0;8
10014113001;19;56.0;16
10014126001;19;18.0;10
10014130001;19;12.0;6
10014898001;19;14.0;7
10015007001;19;132.0;17
10015011001;19;61.0;16
10016002001;19;7.0;6
10016011001;19;12.0;11
10016014001;19;15.0;8
10016015001;19;60.0;17
10016020001;19;38.0;14
10020002001;19;36.0;15
10020003001;19;8.0;8
10020004001;19;33.0;14
10020006001;11;1.0;1
10020007001;19;231.0;17
10020011001;19;54.0;15
10020012001;19;12.0;9
10020015001;19;32.0;15
10020016001;19;15.0;8
10020017001;17;2.0;2
10020018001;19;137.0;17
10020019001;19;12.0;7
10020024001;19;25.0;14
10020025001;19;16.0;9
10020027001;19;78.0;17
10020028001;17;3.0;3
10020033001;19;38.0;15
10020034001;19;15.0;9
10020036001;19;25.0;12
10020037001;8;1.0;1
10020041001;19;86.0;16
10020042001;19;21.0;9
10020046001;19;9.0;6
10021001001;19;202.0;18
10021005001;19;7.0;3
10021006001;19;276.0;17
10021007001;19;69.0;17
10021008001;19;433.0;17
10021009001;19;102.0;15
10021010001;19;32.0;16
10021015001;19;43.0;15
10021016001;19;177.0;17
10021017001;19;61.0;15
10021018001;19;10.0;8
10021021001;19;46.0;15
10021022001;19;16.0;10
10021023001;19;4.0;4
10021025001;19;1008.0;18
10021026001;19;1495.0;17
10021027001;19;151.0;16
10021034001;19;31.0;12
10021035001;19;409.0;17
10021040001;19;7.0;5
10022003001;19;3.0;3
10022006001;19;3.0;3
10022008001;19;16.0;8
10022011001;19;35.0;16
10022012001;19;3.0;3
10022014001;19;13.0;8
10022015001;19;5.0;5
10022016001;19;8.0;5
10022020001;19;10.0;7
10022024001;19;4.0;3
10022030001;19;83.0;17
10022908001;19;5.0;4
10022910001;19;2.0;2
10022915001;19;3.0;3
10022916001;19;5.0;5
10023002001;19;19.0;8
10023005001;19;12.0;7
10023008001;19;8.0;6
10023011001;19;7.0;5
10023017001;19;6.0;6
10023020001;19;90.0;17
10023027001;19;31.0;13
10023031001;17;4.0;3
10023032001;19;2.0;2
10023035001;19;9.0;7
10023044001;19;11.0;8
10023049001;19;12.0;7
10023051001;19;10.0;8
10023054001;19;4.0;4
10023055001;19;2.0;2
10023058001;19;3.0;3
10023063001;19;4.0;3
10023066001;19;7.0;6
10023068001;7;3.0;2
10023073001;8;2.0;1
10023075001;12;1.0;1
10023078001;19;5.0;5
10023083001;19;6.0;5
10023093001;19;6.0;4
10023103001;19;8.0;5
10023104001;17;2.0;2
10023106001;19;24.0;13
10023110001;15;4.0;4
10023114001;19;6.0;4
10023124001;19;4.0;3
10023892001;19;11.0;9
10023998001;19;3.0;3
10024001001;19;11.0;5
10024003001;19;11.0;8
10024004001;19;44.0;15
10024005001;19;8.0;5
10024006001;3;1.0;1
10024007001;19;113.0;17
10024011001;19;59.0;17
10024014001;19;16.0;9
10030001001;19;6.0;6
10030005001;19;37.0;16
10030007001;19;313.0;17
