requested_k;actual_n_clusters;silhouette_score;dtw_dispersion;elbow_distance;selected;clustering_method;dtw_window;feature_used;normalization_applied_to_clustering_input;auxiliary_matrix_export;distance_input;cluster_selection;silhouette_usage
2;2;0.4209621250393961;1046.669458120501;3.2667787728851637e-15;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
3;3;0.4070463101737266;1013.4113506447068;2.0836705556432618;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
4;4;0.3963815184867293;984.4962381144338;3.7652223362861723;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
5;5;0.3841707858903239;967.9702998479708;4.299657981468983;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
6;6;0.3770082253181643;931.6891618447726;6.663231541310285;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
7;7;0.3725453818804796;889.9239248374909;9.534578930309944;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
8;8;0.3730248825948883;845.9256116779181;12.61268728912554;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
9;9;0.3700459537449349;793.0469937152379;16.513024854709588;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
10;10;0.370962430661592;759.603612553954;18.613849938134585;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
11;11;0.3702983580854461;726.4207340806208;20.690555025318034;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
12;12;0.3678590894109756;698.8458952083785;22.24801059855267;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
13;13;0.3730378220761818;667.894642358004;24.11808902072261;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
14;14;0.3692350689485754;658.9787304311033;23.947910797417975;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
15;15;0.3671798883725221;628.2209420934623;25.80007630146522;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
16;16;0.36883391859583;604.9919788528374;26.9551463763948;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
17;17;0.364897238728904;588.8624754566187;27.452876037253496;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
18;18;0.3642926739332237;573.3425007555613;27.894169313704538;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
19;19;0.3326959880428109;560.559167422228;28.082076415819987;True;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
20;20;0.3189837953068132;558.8462403630231;27.24497237572829;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
21;21;0.3082882786888912;554.9912468561695;26.60620269860565;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
