cluster;n_sku;mean_total_order_frequency;median_total_order_frequency;mean_active_days;median_active_days;sku_percentage;pam_medoid_item_code;pam_medoid_total_distance;pam_medoid_mean_distance
1;60;1.6333333333333333;1.0;1.1666666666666667;1.0;1.4847809948032664;10020037001;2.631059146149249;0.04459422281608897
2;60;1.0666666666666667;1.0;1.0;1.0;1.4847809948032664;10023075001;35.35533905932738;0.5992430349038539
3;58;1.0517241379310345;1.0;1.0;1.0;1.435288294976491;11032011001;32.52691193458119;0.57064757779967
4;49;1.1224489795918366;1.0;1.0;1.0;1.212571145756001;10014055001;26.870057685088806;0.5597928684393502
5;46;1.391304347826087;1.0;1.1521739130434783;1.0;1.1383320960158376;11010038001;17.360890085452077;0.3857975574544906
6;68;1.3970588235294117;1.0;1.0735294117647058;1.0;1.682751794110369;10014073001;25.97438909558585;0.38767744918784847
7;46;1.0434782608695652;1.0;1.0;1.0;1.1383320960158376;11040029001;11.313708498984763;0.25141574442188364
8;65;1.9692307692307693;1.0;1.0769230769230769;1.0;1.6085127443702056;10002026001;40.095778219820474;0.6264965346846949
9;106;1.8773584905660377;1.0;1.150943396226415;1.0;2.6231130908191043;10904021001;81.27499745028014;0.7740475947645727
10;3483;37.798449612403104;10.0;8.366350846971002;7.0;86.19153674832963;14821003001;1232.8773282570423;0.35407160489863365
