cluster;2021-08-01;2021-08-02;2021-08-03;2021-08-04;2021-08-05;2021-08-06;2021-08-07;2021-08-08;2021-08-09;2021-08-10;2021-08-11;2021-08-12;2021-08-13;2021-08-14;2021-08-15;2021-08-16;2021-08-17;2021-08-18
1;0.9661507936507937;0.005714285714285714;0.0023809523809523807;0.0;0.0;0.0;0.012261904761904762;0.01111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0023809523809523807;0.0;0.0;0.0
2;0.0;0.5833333333333334;0.4166666666666667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.603448275862069;0.39655172413793105;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;0.0;0.0;0.04081632653061224;0.3469387755102041;0.6122448979591837;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;0.0;0.0;0.0;0.0;0.0;0.7228260869565217;0.2355072463768116;0.0;0.0;0.010869565217391304;0.019927536231884056;0.0;0.0;0.0;0.010869565217391304;0.0;0.0;0.0
6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003676470588235294;0.0;0.00980392156862745;0.0029411764705882353;0.0;0.0;0.2536764705882353;0.7299019607843137;0.0
7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8260869565217391;0.17391304347826086;0.0;0.0;0.0;0.0;0.0
8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5603349031920462;0.4303767660910518;0.0054421768707483;0.0;0.0;0.0;0.0;0.0038461538461538464;0.0
9;0.0;0.0004716981132075472;0.00034940600978336826;0.0;0.0010482180293501047;0.0004716981132075472;0.0;0.0008211041229909154;0.0;0.0009783368273934311;0.0004288164665523156;0.0004288164665523156;0.19811320754716982;0.4545168667810177;0.3400212820024141;0.0006289308176100629;0.0017216187027507782;0.0
10;0.06518492846431297;0.05230344258238988;0.059707076317509995;0.054606669087692315;0.058405057459157736;0.044111038275229414;0.03232206894969469;0.05506560851516585;0.062258947523840896;0.05586279767863683;0.06048434617939373;0.07084390786406465;0.0584710638715631;0.06927186368823252;0.08766162574800153;0.03940306091528401;0.0740311646106389;5.332269191003652e-06
