title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton
D300滑輪整理箱-SS;傢俱寢飾;109,0;好室喵;規格：1PC個x1x1PC個;D300滑輪整理箱;128,0;1;1,0;999,0;9591;14.84%;1;31660018001;unique_master_match;1;1;pc;1;pc;109,0;128,0;14,84375;count;month;14,84;1,0;;;;;
CF400(小)滑輪整理箱;傢俱寢飾;159,0;KEYWAY 聯府;規格：1PC個x1x1PC個;CF400(小)滑輪整理箱;175,0;1;1,0;999,0;9592;9.14%;1;31660025001;unique_master_match;1;1;pc;1;pc;159,0;175,0;9,142857142857142;count;month;9,14;1,0;;;;;
CF601(中)滑輪整理箱;傢俱寢飾;165,0;KEYWAY 聯府;規格：1PC個x1x1PC個;CF601(中)滑輪整理箱;179,0;1;1,0;999,0;9593;7.82%;1;31660026001;unique_master_match;1;1;pc;1;pc;165,0;179,0;7,82122905027933;count;month;7,82;1,0;;;;;
米娜防潑水三門一抽廚房櫃<DIY組裝商品>;傢俱寢飾;2799,0;RICHOME;規格：1PC個x1x1PC個;大一抽收納櫃;2988,0;1;1,0;5,0;9611;6.33%;0;31663045001;unique_master_match;1;1;pc;1;pc;2799,0;2988,0;6,325301204819277;count;month;6,33;0,0;;;;;
TLR-05 你可5號收納盒;傢俱寢飾;85,0;KEYWAY 聯府;規格：1PC個x1x1PC個;TLR-05 你可5號收納盒;0,0;1;1,0;999,0;9620;0.00%;1;31670002001;unique_master_match;1;1;pc;1;pc;85,0;0,0;0,0;count;month;0,0;1,0;;;;;
純白牛奶附蓋收納盒-直角5號;傢俱寢飾;89,0;好室喵;規格：1PC個x1x1PC個;純白牛奶附蓋收納盒-直角5號;99,0;1;1,0;60,0;9629;10.10%;0;31675047001;unique_master_match;1;1;pc;1;pc;89,0;99,0;10,1010101010101;count;month;10,1;0,0;;;;;
純白牛奶附蓋收納盒-圓角4號;傢俱寢飾;99,0;好室喵;規格：1PC個x1x1PC個;純白牛奶附蓋收納盒-圓角4號;119,0;1;1,0;60,0;9631;16.81%;1;31675052001;unique_master_match;1;1;pc;1;pc;99,0;119,0;16,80672268907563;count;month;16,81;1,0;;;;;
DT31總理萬用籃;傢俱寢飾;119,0;KEYWAY 聯府;規格：1PC個x1x1PC個;DT31總理萬用籃;139,0;1;1,0;999,0;9640;14.39%;1;31677014001;unique_master_match;1;1;pc;1;pc;119,0;139,0;14,388489208633093;count;month;14,39;1,0;;;;;
【收納】DT21總理萬用籃;傢俱寢飾;79,0;KEYWAY 聯府;規格：1PC個x1x1PC個;DT21總理萬用籃;99,0;1;1,0;999,0;9641;20.20%;1;31677015001;unique_master_match;1;1;pc;1;pc;79,0;99,0;20,2020202020202;count;month;20,2;1,0;;;;;
【收納】DT-38 深型特大總理萬用籃;傢俱寢飾;169,0;KEYWAY 聯府;規格：1PC個x1x1PC個;DT38總理萬用籃;199,0;1;1,0;999,0;9642;15.08%;1;31677016001;unique_master_match;1;1;pc;1;pc;169,0;199,0;15,07537688442211;count;month;15,08;1,0;;;;;
DT41總理萬用籃;傢俱寢飾;199,0;KEYWAY 聯府;規格：1PC個x1x1PC個;DT41總理萬用籃;249,0;1;1,0;999,0;9643;20.08%;0;31677017001;unique_master_match;1;1;pc;1;pc;199,0;249,0;20,080321285140563;count;month;20,08;0,0;;;;;
OPEN整理收納盒;傢俱寢飾;199,0;KEYWAY 聯府;規格：1PC個x1x1PC個;OPEN整理收納盒_RTS;0,0;1;1,0;120,0;9645;0.00%;1;31677021002;ambiguous_master_match_resolved_with_order_history;2;2;pc;1;pc;199,0;0,0;0,0;count;month;0,0;1,0;;;;;
DT-25 總理25萬用籃;傢俱寢飾;115,0;KEYWAY 聯府;規格：1PC個x1x1PC個;DT-25 總理25萬用籃;139,0;1;1,0;999,0;9646;17.27%;1;31677045001;unique_master_match;1;1;pc;1;pc;115,0;139,0;17,26618705035971;count;month;17,27;1,0;;;;;
厚珍珠椅-紅色;傢俱寢飾;129,0;;規格：1PC張x1x1PC張;厚珍珠椅;0,0;1;1,0;999,0;9673;0.00%;0;31801003001;unique_master_match;1;1;pc;1;pc;129,0;0,0;0,0;count;month;0,0;0,0;;;;;
【椅子】大四方椅27.5x27.5x47.5cm;傢俱寢飾;99,0;;規格：1PC張x1x1PC張;大四方椅;0,0;1;1,0;999,0;9674;0.00%;1;31801024001;unique_master_match;1;1;pc;1;pc;99,0;0,0;0,0;count;month;0,0;1,0;;;;;
美好小折椅-藍色 CH00106-B;傢俱寢飾;139,0;好室喵;規格：1PC張x1x1PC張;美好小折椅;198,0;1;1,0;60,0;9675;29.80%;1;31802032001;unique_master_match;1;1;pc;1;pc;139,0;198,0;29,797979797979796;count;month;29,8;1,0;;;;;
美背加厚板二層空櫥櫃;傢俱寢飾;295,0;;規格：1PC個x1x1PC個;美背加厚版二層空櫥;369,0;1;1,0;999,0;9678;20.05%;1;31821064001;unique_master_match;1;1;pc;1;pc;295,0;369,0;20,05420054200542;count;month;20,05;1,0;63,0;31,0;9,0;7,0;1,0
美背二層空櫥;傢俱寢飾;255,0;;規格：1PC個x1x1PC個;美背二層空櫥;319,0;1;1,0;999,0;9679;20.06%;1;31821065001;unique_master_match;1;1;pc;1;pc;255,0;319,0;20,06269592476489;count;month;20,06;1,0;63,0;31,0;7,0;5,0;1,0
美背三層空櫥<DIY組裝商品>;傢俱寢飾;335,0;;規格：1PC個x1x1PC個;美背三層空櫥;419,0;1;1,0;999,0;9681;20.05%;1;31822063001;unique_master_match;1;1;pc;1;pc;335,0;419,0;20,047732696897373;count;month;20,05;1,0;92,0;31,0;6,0;7,0;1,0
美背加厚板三層空櫥櫃;傢俱寢飾;375,0;;規格：1PC個x1x1PC個;美背加厚版三層空櫥;469,0;1;1,0;999,0;9682;20.04%;1;31822064001;unique_master_match;1;1;pc;1;pc;375,0;469,0;20,042643923240938;count;month;20,04;1,0;93,0;31,0;7,0;9,8;1,0
美背加厚板四層空櫥櫃;傢俱寢飾;463,0;;規格：1PC個x1x1PC個;美背加厚版四層空櫥;579,0;1;1,0;999,0;9684;20.03%;1;31823049001;unique_master_match;1;1;pc;1;pc;463,0;579,0;20,03454231433506;count;month;20,03;1,0;122,0;31,0;8,0;12,5;1,0
洞洞網烤漆四層架-黑色<DIY組裝商品>;傢俱寢飾;2599,0;;規格：1Set組x1x1Set組;洞洞網烤漆四層架45*120*180;2690,0;1;1,0;5,0;9685;3.38%;1;31827008001;unique_master_match;1;1;set;1;set;2599,0;2690,0;3,382899628252788;count;month;3,38;1,0;124,0;48,0;15,0;19,28;1,0
波浪四層輕型鐵力士架;傢俱寢飾;749,0;;規格：1PC個x1x1PC個;波浪四層架輕型;799,0;1;1,0;5,0;9686;6.26%;0;31827020001;unique_master_match;1;1;pc;1;pc;749,0;799,0;6,25782227784731;count;month;6,26;0,0;63,0;32,0;13,0;6,0;1,0
波浪四層中型鐵力士架(實際出貨不含陳列佈置物);傢俱寢飾;1199,0;;規格：1PC個x1x1PC個;波浪四層架中型;0,0;1;1,0;5,0;9687;0.00%;0;31827023001;unique_master_match;1;1;pc;1;pc;1199,0;0,0;0,0;count;month;0,0;0,0;95,0;47,0;14,0;12,0;1,0
超細纖柔絲綿雙人被套-花色隨機出貨;傢俱寢飾;549,0;;規格：1PC件x1x1PC件;超細纖柔絲綿雙人被套;599,0;1;1,0;999,0;10288;8.35%;0;65011150001;unique_master_match;1;1;pc;1;pc;549,0;599,0;8,347245409015025;count;month;8,35;0,0;50,0;32,0;22,0;7,46;10,0
英倫風抗菌可水洗枕;傢俱寢飾;398,0;;規格：1PC個x1x1PC個;英倫風抗菌可水洗枕;0,0;1;1,0;60,0;10290;0.00%;1;65031011001;unique_master_match;1;1;pc;1;pc;398,0;0,0;0,0;count;month;0,0;1,0;75,0;70,0;40,0;9,7;12,0
天然防蹣防蚊健康枕-支撐型;傢俱寢飾;399,0;;規格：1PC個x1x1PC個;天然防蹣防蚊健康枕-支撐型;449,0;1;1,0;60,0;10293;11.14%;1;65031047001;unique_master_match;1;1;pc;1;pc;399,0;449,0;11,1358574610245;count;month;11,14;1,0;85,0;65,0;72,0;8,0;10,0
新型防蚊抑菌健康枕;傢俱寢飾;329,0;;規格：1PC個x1x1PC個;新型防蚊抑菌健康枕;398,0;1;1,0;60,0;10294;17.34%;1;65031053001;unique_master_match;1;1;pc;1;pc;329,0;398,0;17,33668341708543;count;month;17,34;1,0;;;;;
緹花竹炭枕;傢俱寢飾;299,0;;規格：1PC個x1x1PC個;緹花竹炭枕;398,0;1;1,0;999,0;10300;24.87%;0;65031238001;unique_master_match;1;1;pc;1;pc;299,0;398,0;24,87437185929648;count;month;24,87;0,0;;;;;
防蹣抗菌潔淨保潔墊-雙人;傢俱寢飾;629,0;;規格：1PC個x1x1PC個;科技防水透氣保潔墊-雙人平單;690,0;1;1,0;999,0;10306;8.84%;1;65090016001;unique_master_match;1;1;pc;1;pc;629,0;690,0;8,840579710144928;count;month;8,84;1,0;50,0;10,0;23,0;1,6;5,0
