title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton
來復易漏尿專用棉墊多量型120cc16片;嬰童保健;109,0;來復易;規格：16PC片x1x1PC包;來復易瞬吸安心漏尿專用棉墊多量型;119,0;1;16,0;36,0;4408;8.40%;1;12120040001;unique_master_match;1;1;pc;1;pc;109,0;119,0;8,403361344537815;count;month;8,4;1,0;36,0;33,0;39,0;4,37;18,0
來復易漏尿專用棉墊中量型80cc20片;嬰童保健;90,0;來復易;規格：20PC片x1x1PC包;來復易瞬吸安心漏尿專用棉墊中量型;97,0;1;20,0;36,0;4409;7.22%;0;12120041001;unique_master_match;1;1;pc;1;pc;90,0;97,0;7,216494845360824;count;month;7,22;0,0;38,0;30,0;29,0;3,25;15,0
康乃馨替換式紙尿片32片;嬰童保健;129,0;康乃馨;規格：32PC片x1x1PacK包;康乃馨替換式紙尿片32片;139,0;1;32,0;36,0;4679;7.19%;1;12130001001;unique_master_match;1;1;pc;1;pack;129,0;139,0;7,194244604316546;count;month;7,19;1,0;50,0;25,0;48,0;7,28;6,0
來復易整夜一片安心成人紙尿片;嬰童保健;209,0;來復易;規格：33PC片x1x1PacK包;來復易整夜一片安心成人紙尿片;222,0;1;33,0;36,0;4682;5.86%;1;12130004001;unique_master_match;1;1;pc;1;pack;209,0;222,0;5,8558558558558556;count;month;5,86;1,0;46,0;33,0;41,0;7,56;6,0
安安床墊型看護墊超大尺寸160x70cm;嬰童保健;99,0;安安;規格：5PC片x1x1PacK包;安安床墊型看護墊-超大尺寸 安安床墊型;145,0;1;5,0;36,0;4684;31.72%;1;12130006001;unique_master_match;1;1;pc;1;pack;99,0;145,0;31,724137931034484;count;month;31,72;1,0;52,0;25,0;52,0;7,7;12,0
來復易防漏安心復健褲L;嬰童保健;329,0;來復易;規格：14PC片x1x1PacK包;來復易復健照護成人紙尿褲M;349,0;1;14,0;36,0;4686;5.73%;1;12130008001;unique_master_match;1;1;pc;1;pack;329,0;349,0;5,730659025787966;count;month;5,73;1,0;56,0;44,0;36,0;3,56;4,0
來復易防漏安心復健褲L;嬰童保健;329,0;來復易;規格：14PC片x1x1PacK包;來復易復健照護成人紙尿褲L;349,0;1;14,0;36,0;4688;5.73%;1;12130010001;unique_master_match;1;1;pc;1;pack;329,0;349,0;5,730659025787966;count;month;5,73;1,0;56,0;44,0;38,0;3,78;4,0
[安親]輕鬆好固定看護墊XXL號 60x90CM(8+1片x12包/箱);嬰童保健;1140,0;安親;規格：9片x12包;安親乾爽抑菌看護墊XXL 安親看護墊XXL;1620,0;1;9,0;36,0;4689;29.63%;1;12130011001;unique_master_match;1;1;pack;12;pack;95,0;135,0;29,629629629629626;count;month;29,63;1,0;45,0;31,0;53,0;10,1;12,0
安安看護墊XXL-60x90cm;嬰童保健;99,0;安安;規格：8PC片x1x1PacK包;安安看護墊XXL;107,0;1;8,0;36,0;4690;7.48%;1;12130012001;unique_master_match;1;1;pc;1;pack;99,0;107,0;7,476635514018691;count;month;7,48;1,0;59,0;44,0;33,0;10,2;12,0
來復易防漏安心復健褲M;嬰童保健;329,0;來復易;規格：16PC片x1x1PacK包;來復易防漏安心紙尿褲 M;349,0;1;16,0;36,0;4691;5.73%;1;12130014001;unique_master_match;1;1;pc;1;pack;329,0;349,0;5,730659025787966;count;month;5,73;1,0;62,0;37,0;52,0;12,6;6,0
安安立體抽換式尿片乾爽柔膚型;嬰童保健;139,0;安安;規格：30PC片x1x1BOX箱;安安立體抽換式尿片乾爽柔膚型;140,0;1;30,0;36,0;4692;0.71%;1;12130016001;unique_master_match;1;1;pc;1;box;139,0;140,0;0,7142857142857143;count;month;0,71;1,0;50,0;27,0;44,0;7,7;6,0
來復易防漏安心復健褲XL;嬰童保健;329,0;來復易;規格：12PC片x1x1Pack包;來復易復健照護成人紙尿褲XL;349,0;1;12,0;36,0;4696;5.73%;1;12130026001;unique_master_match;1;1;pc;1;pack;329,0;349,0;5,730659025787966;count;month;5,73;1,0;52,0;45,0;38,0;5,59;4,0
來復易輕薄安心活力褲大號16片;嬰童保健;329,0;來復易;規格：16PC片x1x1Pack包;來復易輕薄安心活力褲大號16片;349,0;1;16,0;36,0;4700;5.73%;1;12130031001;unique_master_match;1;1;pc;1;pack;329,0;349,0;5,730659025787966;count;month;5,73;1,0;48,0;37,0;39,0;4,42;4,0
日本利護樂長時間安心復健褲L號18片;嬰童保健;349,0;利護樂;規格：18PC片x1x1PC包;利清爽成人替換式尿片;450,0;1;18,0;60,0;4701;22.44%;1;12130032001;unique_master_match;1;1;pc;1;pc;349,0;450,0;22,444444444444443;count;month;22,44;1,0;;;;;6,0
來復易輕薄安心活力褲特大號14片;嬰童保健;329,0;來復易;規格：14PC片x1x1Pack包;來復易輕薄安心活力褲特大號14片;349,0;1;14,0;36,0;4703;5.73%;1;12130035001;unique_master_match;1;1;pc;1;pack;329,0;349,0;5,730659025787966;count;month;5,73;1,0;43,0;38,0;40,0;4,1;4,0
安親成人紙尿褲L(含漢方本草);嬰童保健;209,0;安親;規格：13PC片x1x1Pack包;安親成人紙尿褲L(含漢方本草);226,0;1;13,0;36,0;4704;7.52%;1;12130038001;unique_master_match;1;1;pc;1;pack;209,0;226,0;7,52212389380531;count;month;7,52;1,0;58,0;31,0;46,0;11,35;6,0
安親成人紙尿褲M(含漢方本草);嬰童保健;209,0;安親;規格：16PC片x1x1PacK包;安親成人紙尿褲M(含漢方本草);226,0;1;16,0;36,0;4705;7.52%;0;12130039001;unique_master_match;1;1;pc;1;pack;209,0;226,0;7,52212389380531;count;month;7,52;0,0;55,0;34,0;55,0;11,45;6,0
來復易復健褲長時間安心XL號;嬰童保健;379,0;來復易;規格：12PC片x1x1Pack包;來復易復健褲長時間安心XL號;0,0;1;12,0;36,0;4706;0.00%;1;12130041001;unique_master_match;1;1;pc;1;pack;379,0;0,0;0,0;count;month;0,0;1,0;53,0;46,0;39,0;4,4;4,0
來復易防漏安心復健褲L;嬰童保健;329,0;來復易;規格：14PC片x1x1PacK包;來復易防漏安心紙尿褲 L;349,0;1;14,0;36,0;4707;5.73%;1;12130042001;unique_master_match;1;1;pc;1;pack;329,0;349,0;5,730659025787966;count;month;5,73;1,0;62,0;29,0;60,0;12,2;6,0
來復易柔適安心紙尿片;嬰童保健;209,0;來復易;規格：45PC片x1x1PacK包;來復易柔適安心紙尿片;232,0;1;45,0;36,0;4708;9.91%;0;12130045001;unique_master_match;1;1;pc;1;pack;209,0;232,0;9,913793103448276;count;month;9,91;0,0;61,0;32,0;44,0;9,7;6,0
安安成人紙尿褲-淨爽型M;嬰童保健;263,0;安安;規格：15PC片x1x1PacK包;安安成人紙尿褲-淨爽型M;0,0;1;15,0;36,0;4709;0.00%;0;12130046001;unique_master_match;1;1;pc;1;pack;263,0;0,0;0,0;count;month;0,0;0,0;56,0;30,0;52,0;13,26;6,0
安安成人紙尿褲淨爽型L-XL;嬰童保健;263,0;安安;規格：13PC片x1x1PacK包;安安成人紙尿褲淨爽型L-XL;0,0;1;13,0;36,0;4710;0.00%;0;12130047001;unique_master_match;1;1;pc;1;pack;263,0;0,0;0,0;count;month;0,0;0,0;61,0;32,0;45,0;13,7;6,0
來復易復健褲長時間安心L號;嬰童保健;379,0;來復易;規格：14PC片x1x1PC片;來復易復健褲長時間安心M號;0,0;1;14,0;36,0;4711;0.00%;0;12130048001;unique_master_match;1;1;pc;1;pc;379,0;0,0;0,0;count;month;0,0;0,0;58,0;44,0;38,0;10,0;4,0
來復易復健褲長時間安心L號;嬰童保健;379,0;來復易;規格：14PC片x1x1PC片;來復易復健褲長時間安心L號;0,0;1;14,0;36,0;4712;0.00%;0;12130049001;unique_master_match;1;1;pc;1;pc;379,0;0,0;0,0;count;month;0,0;0,0;56,0;46,0;39,0;4,2;4,0
安爽特級乾爽成人紙尿褲M-L30P;嬰童保健;359,0;安爽;規格：30PC片x1x1PacK包;安爽特級乾爽成人紙尿褲M-L30P;0,0;1;30,0;36,0;4713;0.00%;0;12130051001;unique_master_match;1;1;pc;1;pack;359,0;0,0;0,0;count;month;0,0;0,0;54,0;44,0;29,0;10,18;3,0
安爽特級乾爽成人紙尿褲L-XL24;嬰童保健;359,0;安爽;規格：24PC片x1x1PacK包;安爽特級乾爽成人紙尿褲L-XL24;0,0;1;24,0;36,0;4714;0.00%;0;12130052001;unique_master_match;1;1;pc;1;pack;359,0;0,0;0,0;count;month;0,0;0,0;59,0;38,0;31,0;8,6;3,0
