title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton
嬌生嬰兒活力亮澤洗髮露;嬰童保健;169,0;嬌生;規格：500ml毫升x1x1PC瓶;嬌生嬰兒活力亮澤洗髮露;209,0;1;500,0;36,0;4739;19.14%;1;12150004001;unique_master_match;1;1;ml;1;pc;169,0;209,0;19,138755980861244;volume;month;19,14;1,0;29,0;22,0;23,0;7,24;12,0
嬌生嬰兒柔亮洗髮露500ml;嬰童保健;139,0;嬌生;規格：500ml毫升x1x1PC瓶;嬌生嬰兒柔亮洗髮露 柔亮;147,0;1;500,0;36,0;4740;5.44%;1;12150005001;unique_master_match;1;1;ml;1;pc;139,0;147,0;5,442176870748299;volume;month;5,44;1,0;29,0;22,0;24,0;7,24;12,0
嬌生嬰兒牛奶純米沐浴乳;嬰童保健;149,0;嬌生;規格：750ml毫升x1x1PC瓶;嬌生嬰兒溫和洗髮露;187,0;1;750,0;36,0;4742;20.32%;0;12150007001;unique_master_match;1;1;ml;1;pc;149,0;187,0;20,32085561497326;volume;month;20,32;0,0;29,0;22,0;24,0;7,8;12,0
花王兒童洗髮精;嬰童保健;109,0;花王;規格：750ml毫升x1x1Bottle瓶;花王兒童洗髮精;0,0;1;750,0;36,0;4744;0.00%;0;12150009001;unique_master_match;1;1;ml;1;bottle;109,0;0,0;0,0;volume;month;0,0;0,0;40,0;24,0;22,0;10,51;12,0
依必朗兒童抗菌洗髮乳;嬰童保健;125,0;依必朗;規格：700ml毫升x1x1Bottle瓶;依必朗兒童抗菌洗髮乳;0,0;1;700,0;60,0;4745;0.00%;1;12150016001;unique_master_match;1;1;ml;1;bottle;125,0;0,0;0,0;volume;month;0,0;1,0;43,0;21,0;23,0;9,75;12,0
嬌生嬰兒活力亮澤洗髮露;嬰童保健;169,0;嬌生;規格：500ml毫升x1x1PC瓶;嬌生嬰兒活力清新洗髮露 活力清新;209,0;1;500,0;36,0;4747;19.14%;0;12150039001;unique_master_match;1;1;ml;1;pc;169,0;209,0;19,138755980861244;volume;month;19,14;0,0;30,0;22,0;23,0;7,208;12,0
依必朗兒童抗菌洗髮乳;嬰童保健;125,0;依必朗;規格：700ml毫升x1x1Bottle瓶;依必朗嬰兒沐浴精 依必朗嬰兒沐浴;0,0;1;700,0;60,0;4750;0.00%;0;12151006001;unique_master_match;1;1;ml;1;bottle;125,0;0,0;0,0;volume;month;0,0;0,0;35,0;21,0;24,0;8,39;12,0
依必朗兒童抗菌洗髮乳;嬰童保健;125,0;依必朗;規格：700ml毫升x1x1Bottle瓶;依必朗兒童抗菌沐浴乳;0,0;1;700,0;60,0;4753;0.00%;1;12151015001;unique_master_match;1;1;ml;1;bottle;125,0;0,0;0,0;volume;month;0,0;1,0;43,0;22,0;23,0;12,0;12,0
嬌生嬰兒牛奶純米沐浴乳;嬰童保健;149,0;嬌生;規格：750ml毫升x1x1PC瓶;嬌生嬰兒牛奶純米沐浴乳 牛奶純米;187,0;1;750,0;36,0;4758;20.32%;1;12151088001;unique_master_match;1;1;ml;1;pc;149,0;187,0;20,32085561497326;volume;month;20,32;1,0;45,0;27,0;27,0;14,0;12,0
嬌生嬰兒甜夢沐浴露;嬰童保健;149,0;嬌生;規格：750ml毫升x1x1PC瓶;嬌生嬰兒甜夢沐浴露 甜夢;187,0;1;750,0;36,0;4759;20.32%;1;12151089001;unique_master_match;1;1;ml;1;pc;149,0;187,0;20,32085561497326;volume;month;20,32;1,0;45,0;27,0;27,0;14,0;12,0
嬌生嬰兒牛奶純米沐浴乳;嬰童保健;149,0;嬌生;規格：750ml毫升x1x1PC瓶;嬌生嬰兒牛奶純米沐浴乳;187,0;1;750,0;36,0;4761;20.32%;1;12151092001;unique_master_match;1;1;ml;1;pc;149,0;187,0;20,32085561497326;volume;month;20,32;1,0;35,0;24,0;25,0;10,5;12,0
嬌生嬰兒活力亮澤洗髮露;嬰童保健;169,0;嬌生;規格：500ml毫升x1x1PC瓶;嬌生嬰兒洗髮沐浴露;209,0;1;500,0;36,0;4762;19.14%;1;12151093001;unique_master_match;1;1;ml;1;pc;169,0;209,0;19,138755980861244;volume;month;19,14;1,0;26,0;22,0;23,0;7,6;12,0
嬌生嬰兒蜜桃水嫩沐浴露;嬰童保健;149,0;嬌生;規格：750ml毫升x1x1PC瓶;嬌生嬰兒溫和沐浴露;187,0;1;750,0;36,0;4763;20.32%;1;12151094001;ambiguous_master_match_resolved_with_order_history;2;2;ml;1;pc;149,0;187,0;20,32085561497326;volume;month;20,32;1,0;34,0;24,0;26,0;10,5;12,0
嬌生嬰兒甜夢沐浴露;嬰童保健;149,0;嬌生;規格：750ml毫升x1x1PC瓶;嬌生嬰兒甜夢沐浴露;187,0;1;750,0;36,0;4765;20.32%;1;12151096001;unique_master_match;1;1;ml;1;pc;149,0;187,0;20,32085561497326;volume;month;20,32;1,0;35,0;24,0;25,0;10,5;12,0
嬌生嬰兒蜜桃水嫩沐浴露;嬰童保健;149,0;嬌生;規格：750ml毫升x1x1PC瓶;嬌生嬰兒蜜桃水嫩沐浴露;187,0;1;750,0;36,0;4769;20.32%;0;12151110001;unique_master_match;1;1;ml;1;pc;149,0;187,0;20,32085561497326;volume;month;20,32;0,0;24,0;18,0;26,0;5,37;6,0
