title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton
台糖大豆卵磷脂200g;嬰童保健;173,0;台糖;規格：200g克x1x1PC盒;三多顆粒卵磷脂;275,0;1;200,0;12,0;5109;37.09%;1;12321040001;unique_master_match;1;1;g;1;pc;173,0;275,0;37,09090909090909;weight;month;37,09;1,0;42,0;33,0;27,0;10,76;24,0
三多魚膠原蛋白C-盒裝28入;嬰童保健;309,0;三多;規格：3g克x28x1Box盒;三多魚膠原蛋白C-盒裝28入 三多魚膠原蛋白;339,0;1;3,0;36,0;5119;8.85%;0;12323109001;unique_master_match;1;1;g;28;box;11,035714285714286;12,107142857142858;8,849557522123892;weight;month;8,85;0,0;40,0;28,0;13,0;1,95;6,0
台塑生醫-舒暢益生菌;嬰童保健;668,0;台塑生醫;規格：4g克x30x1Box盒;台塑生醫-舒暢益生菌 台塑舒暢益生菌;700,0;1;4,0;24,0;5128;4.57%;1;12325047001;unique_master_match;1;1;g;30;box;22,266666666666666;23,333333333333332;4,571428571428571;weight;month;4,57;1,0;25,0;24,0;20,0;1,2;6,0
紅牛聰勁即溶乳清蛋白-可可風味;嬰童保健;999,0;紅牛;規格：2LB磅x1x1Can桶;紅牛聰勁即溶乳清蛋白-可可風味 紅牛乳清可可;1188,0;1;907,184;24,0;5135;15.91%;1;12326005001;unique_master_match;1;1;g;1;can;999,0;1188,0;15,909090909090908;weight;month;15,91;1,0;46,0;16,0;26,0;3,8;3,0
【保健食品】三多補體健;嬰童保健;612,0;三多;規格：750g克x1x1Can罐;三多補體健;0,0;1;750,0;36,0;5149;0.00%;0;12327007001;unique_master_match;1;1;g;1;can;612,0;0,0;0,0;weight;month;0,0;0,0;54,0;40,0;30,0;15,2;12,0
愛基均衡及糖尿病配方營養素;嬰童保健;599,0;紅牛;規格：900g克x1x1Can罐;愛基均衡及糖尿病配方營養素;0,0;1;900,0;24,0;5154;0.00%;1;12327014001;unique_master_match;1;1;g;1;can;599,0;0,0;0,0;weight;month;0,0;1,0;41,0;29,0;19,0;6,9;6,0
亞培安素優能基升級配方(香草口味);嬰童保健;865,0;亞培;規格：800g克x1x1PC瓶;安素優能基配方(香草口味) 安素優能基配方;890,0;1;800,0;24,0;5155;2.81%;1;12327015001;unique_master_match;1;1;g;1;pc;865,0;890,0;2,8089887640449436;weight;month;2,81;1,0;53,0;40,0;17,0;12,85;12,0
桂格完膳營養素全新均衡營養配方;嬰童保健;650,0;桂格;規格：850g克x1x1CAN罐;桂格完膳營養素雙效營養配方;669,0;1;850,0;24,0;5164;2.84%;1;12327027001;unique_master_match;1;1;g;1;can;650,0;669,0;2,8400597907324365;weight;month;2,84;1,0;54,0;41,0;17,0;13,3;12,0
桂格完膳營養素糖尿病穩健配方900g;嬰童保健;790,0;桂格;規格：900g克x1x1Can罐;桂格完膳營養素50鉻配方;1057,0;1;900,0;24,0;5165;25.26%;0;12327028001;unique_master_match;1;1;g;1;can;790,0;1057,0;25,260170293282876;weight;month;25,26;0,0;42,0;28,0;11,0;7,498;24,0
桂格機能燕麥片700g;嬰童保健;199,0;桂格;規格：700g克x1x1CAN罐;桂格機能燕麥片700g;228,0;1;700,0;24,0;5168;12.72%;1;12327040001;unique_master_match;1;1;g;1;can;199,0;228,0;12,719298245614036;weight;month;12,72;1,0;53,0;41,0;19,0;11,0;12,0
