title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton
白博士廚房去污濕巾60入;日用生活;89,0;白博士;規格：60PC張x1x1PC包;白博士廚房去污濕巾60入;94,0;1;60,0;36,0;794;5.32%;1;11021002001;unique_master_match;1;1;pc;1;pc;89,0;94,0;5,319148936170213;count;month;5,32;1,0;39,0;33,0;22,0;10,19;24,0
台糖酒精擦隨身包10PC;日用生活;22,0;台糖;規格：10PC抽x1x1PACK包;台糖酒精擦隨身包;24,0;1;10,0;36,0;826;8.33%;0;11021047001;unique_master_match;1;1;pc;1;pack;22,0;24,0;8,333333333333332;count;month;8,33;0,0;47,0;27,0;35,0;13,71;240,0
高樂氏-居家殺菌濕紙巾(檸檬香)75片;日用生活;249,0;高樂氏;規格：75PC片x1x1PC盒;高樂氏居家殺菌濕紙巾;0,0;1;75,0;36,0;828;0.00%;1;11021051002;ambiguous_master_match_resolved_with_order_history;2;2;pc;1;pc;249,0;0,0;0,0;count;month;0,0;1,0;26,0;18,0;23,0;2,39;6,0
〔本野有限公司〕法國玫翠思亞麻油黑肥皂1L(檸檬馬鞭草 )-2入;日用生活;658,0;;逛逛專館：本野有限公司;法國玫翠思亞麻油黑肥皂1L 玫翠思黑皂馬鞭;998,0;1;;60,0;833;34.07%;0;11021059002;unique_master_match;1;1;pc;1;;658,0;998,0;34,06813627254509;count;month;34,07;0,0;36,0;27,0;28,0;13,6;12,0
立得清酒精瞬潔擦濕巾50抽;日用生活;75,0;立得清;規格：50PC片x1x1PC包;立得清酒精瞬潔擦濕巾50抽;0,0;1;50,0;36,0;843;0.00%;0;11021071001;unique_master_match;1;1;pc;1;pc;75,0;0,0;0,0;count;month;0,0;0,0;33,0;33,0;32,0;10,49;36,0
高樂氏-居家殺菌濕紙巾(檸檬香)75片;日用生活;249,0;高樂氏;規格：75PC片x1x1PC盒;高樂氏-居家殺菌濕紙巾(檸檬香)75片;0,0;1;75,0;36,0;846;0.00%;1;11021095001;unique_master_match;1;1;pc;1;pc;249,0;0,0;0,0;count;month;0,0;1,0;34,0;23,0;23,0;4,47;6,0
【清檜Hinoki Life】檜木柑橘浴廁清潔劑x2瓶(500ml/瓶);日用生活;460,0;;逛逛專館：主璿綠能有限公司;家福柑橘馬桶清潔劑 家福柑橘浴廁清;500,0;1;;36,0;1102;8.00%;0;11040057001;unique_master_match;1;1;pc;1;;460,0;500,0;8,0;count;month;8,0;0,0;27,0;23,0;27,0;10,27;12,0
優品水槽管路清潔錠;日用生活;65,0;優品;規格：3PC錠x1x1Box盒;優品水槽管路清潔錠;99,0;1;3,0;36,0;1149;34.34%;0;11042015001;unique_master_match;1;1;pc;1;box;65,0;99,0;34,34343434343434;count;month;34,34;0,0;37,0;26,0;17,0;2,87;24,0
檸檬酸500g;日用生活;99,0;H&K家居;規格：1PC個x1x1PC個;白象萬用檸檬酸;0,0;1;1,0;240,0;1298;0.00%;1;11051056001;unique_master_match;1;1;pc;1;pc;99,0;0,0;0,0;count;month;0,0;1,0;33,0;25,0;15,0;6,63;12,0
百利潔力豆海綿菜瓜布;日用生活;94,0;3M;規格：4PC片x1x1PC片;百利潔力豆海綿菜瓜布;0,0;1;4,0;120,0;1304;0.00%;0;11061001001;ambiguous_master_match_resolved_with_order_history;2;2;pc;1;pc;94,0;0,0;0,0;count;month;0,0;0,0;42,0;39,0;30,0;1,71;30,0
驅塵氏吸水膠棉拖補充包;日用生活;99,0;驅塵氏;規格：1PC支x1x1PC支;家福海綿3入 家福海綿3入;0,0;1;1,0;60,0;1307;0.00%;0;11061005001;unique_master_match;1;1;pc;1;pc;99,0;0,0;0,0;count;month;0,0;0,0;40,0;24,0;19,0;1,52;26,0
家樂福植物性彩色海綿;日用生活;75,0;家樂福自有品牌;規格：3PC片x1x1Pack包;家福植物性彩色海綿 植物性彩色海綿;0,0;1;3,0;120,0;1309;0.00%;1;11061008001;unique_master_match;1;1;pc;1;pack;75,0;0,0;0,0;count;month;0,0;1,0;39,0;22,0;12,0;1,09;15,0
OP茶樹抗菌海綿菜瓜布;日用生活;55,0;OP;規格：1PC包x1x1PC包;OP茶樹抗菌海綿菜瓜布;59,0;1;1,0;120,0;1311;6.78%;0;11061011001;unique_master_match;1;1;pc;1;pc;55,0;59,0;6,779661016949152;count;month;6,78;0,0;54,0;25,0;38,0;1,4;30,0
楓康三效海棉菜瓜布4入;日用生活;63,0;楓康;規格：1PC個x1x1PC個;家福木漿棉菜瓜布3入 木漿棉菜瓜布;0,0;1;1,0;120,0;1312;0.00%;1;11061015001;unique_master_match;1;1;pc;1;pc;63,0;0,0;0,0;count;month;0,0;1,0;40,0;23,0;12,0;1,2;16,0
3M百利爐具專用木漿棉菜瓜布3片;日用生活;99,0;3M;規格：3PC片x1x1PACK包;百利天然木漿棉菜瓜布-爐具;115,0;1;3,0;120,0;1313;13.91%;1;11061016001;unique_master_match;1;1;pc;1;pack;99,0;115,0;13,91304347826087;count;month;13,91;1,0;41,0;27,0;18,0;1,59;30,0
OP柑橘除油海綿菜瓜布;日用生活;55,0;OP;規格：1PC包x1x1PC包;OP柑橘除油海綿菜瓜布;59,0;1;1,0;120,0;1314;6.78%;1;11061023001;unique_master_match;1;1;pc;1;pc;55,0;59,0;6,779661016949152;count;month;6,78;1,0;54,0;25,0;38,0;1,4;30,0
3M百利不沾鍋專用木漿棉3片;日用生活;99,0;3M;規格：3PC片x1x1PACK包;百利天然木漿棉菜瓜布細緻鍋具;115,0;1;3,0;120,0;1315;13.91%;0;11061024001;unique_master_match;1;1;pc;1;pack;99,0;115,0;13,91304347826087;count;month;13,91;0,0;41,0;27,0;18,0;1,59;30,0
百利天然木漿棉菜瓜布衛浴專用;日用生活;79,0;3M;規格：2PC片x1x1Pack包;百利天然木漿棉菜瓜布衛浴專用 衛浴專用2片裝;0,0;1;2,0;120,0;1317;0.00%;0;11061027001;unique_master_match;1;1;pc;1;pack;79,0;0,0;0,0;count;month;0,0;0,0;27,0;22,0;24,0;1,24;18,0
百利衛浴專用海綿菜瓜布2片裝;日用生活;65,0;3M;規格：2PC片x1x1Pack包;家福海棉菜瓜布衛浴專用2入 浴室專用菜瓜布;0,0;1;2,0;120,0;1318;0.00%;1;11061028001;unique_master_match;1;1;pc;1;pack;65,0;0,0;0,0;count;month;0,0;1,0;40,0;16,0;12,0;1,2;16,0
3M百利細緻餐具專用木漿棉菜瓜布3片;日用生活;99,0;3M;規格：3PC片x1x1PACK包;百利天然木漿棉菜瓜布細緻餐具;115,0;1;3,0;120,0;1320;13.91%;0;11061030001;unique_master_match;1;1;pc;1;pack;99,0;115,0;13,91304347826087;count;month;13,91;0,0;41,0;28,0;17,0;1,59;30,0
百利衛浴專用海綿菜瓜布2片裝;日用生活;65,0;3M;規格：2PC片x1x1Pack包;百利衛浴專用海綿菜瓜布2片裝;0,0;1;2,0;120,0;1321;0.00%;1;11061031001;unique_master_match;1;1;pc;1;pack;65,0;0,0;0,0;count;month;0,0;1,0;38,0;29,0;24,0;2,0;28,0
百利天然木漿棉加大版(粉紅/萊姆綠/藍)隨機出貨;日用生活;69,0;3M;規格：2PC片x1x1Bag包;百利天然木漿棉加大版;75,0;1;2,0;120,0;1328;8.00%;0;11061049001;unique_master_match;1;1;pc;1;bag;69,0;75,0;8,0;count;month;8,0;0,0;42,0;28,0;28,0;1,5;24,0
百利隨手掛架組爐廚專用補充;日用生活;95,0;3M;規格：5PC片x1x1PACK包;百利隨手掛架組爐廚專用 爐廚專用;0,0;1;5,0;120,0;1329;0.00%;0;11061050001;unique_master_match;1;1;pc;1;pack;95,0;0,0;0,0;count;month;0,0;0,0;41,0;38,0;30,0;2,26;30,0
