title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton;inventory_quantity
威猛先生地板瓶裝-芬多精;日用生活;119,0;威猛先生;規格：2000ml毫升x1x1Bottle瓶;威猛先生地板瓶裝-芬多精;134,0;1;2000,0;36,0;741;11.19%;1;11010001001;unique_master_match;1;1;ml;1;bottle;119,0;134,0;11,19403;volume;month;11,19;1,0;38,0;25,0;29,0;14,08;6,0;21,666667
清淨海環保地板清潔劑;日用生活;190,0;清淨海;規格：2000ml毫升x1x1Bottle瓶;清淨海環保地板清潔劑;0,0;1;2000,0;36,0;744;0.00%;1;11010007001;unique_master_match;1;1;ml;1;bottle;190,0;0,0;0,0;volume;month;0,0;1,0;36,0;27,0;31,0;13,73;6,0;289,0
威猛先生地板清潔劑完美花香;日用生活;119,0;威猛先生;規格：2000ml毫升x1x1Bottle瓶;威猛先生地板清潔劑完美花香;157,0;1;2000,0;36,0;746;24.20%;1;11010012001;unique_master_match;1;1;ml;1;bottle;119,0;157,0;24,203822;volume;month;24,2;1,0;38,0;26,0;29,0;13,88;6,0;183,0
地板魔術靈除菌EX草本香補充包;日用生活;89,0;魔術靈;規格：1800ml毫升x1x1PC包;魔術靈地板清潔劑;109,0;1;1800,0;36,0;748;18.35%;1;11010013001;ambiguous_master_match_resolved_with_order_history;2;2;ml;1;pc;89,0;109,0;18,348624;volume;month;18,35;1,0;40,0;26,0;30,0;13,77;6,0;27,0
威猛先生地板清潔劑-清新早晨;日用生活;199,0;威猛先生;規格：3785ml毫升x1x1Bottle瓶;威猛先生地板清潔劑清新早晨;259,0;1;3785,0;36,0;753;23.17%;1;11010019001;unique_master_match;1;1;ml;1;bottle;199,0;259,0;23,166023;volume;month;23,17;1,0;38,0;26,0;29,0;13,88;6,0;43,0
威猛先生地板補充包完美花香;日用生活;82,0;威猛先生;規格：1800ml毫升x1x1PC包;威猛先生地板補充包完美花香;122,0;1;1800,0;36,0;754;32.79%;1;11010020001;unique_master_match;1;1;ml;1;pc;82,0;122,0;32,786885;volume;month;32,79;1,0;42,0;33,0;19,0;12,02;6,0;90,0
地板魔術靈除菌EX草本香補充包;日用生活;89,0;魔術靈;規格：1800ml毫升x1x1PC包;魔術靈地板清潔劑補充包;109,0;1;1800,0;36,0;756;18.35%;1;11010021001;ambiguous_master_match_resolved_with_order_history;2;2;ml;1;pc;89,0;109,0;18,348624;volume;month;18,35;1,0;36,0;24,0;31,0;11,8;6,0;128,666667
威猛先生地板補充包-芬多精;日用生活;82,0;威猛先生;規格：1800ml毫升x1x1Pack包;威猛先生地板補充包-芬多精;95,0;1;1800,0;36,0;757;13.68%;1;11010022001;unique_master_match;1;1;ml;1;pack;82,0;95,0;13,684211;volume;month;13,68;1,0;43,0;33,0;19,0;12,06;6,0;59,0
威猛先生地板補充包-檸檬;日用生活;82,0;威猛先生;規格：1800ml毫升x1x1Pack包;威猛先生地板補充包-檸檬;95,0;1;1800,0;36,0;758;13.68%;1;11010023001;unique_master_match;1;1;ml;1;pack;82,0;95,0;13,684211;volume;month;13,68;1,0;43,0;33,0;19,0;12,5;6,0;82,0
威猛先生地板瓶裝-檸檬;日用生活;119,0;威猛先生;規格：2000ml毫升x1x1Bottle瓶;威猛先生檸檬地板清潔 2000ML;134,0;1;2000,0;36,0;760;11.19%;1;11010025001;unique_master_match;1;1;ml;1;bottle;119,0;134,0;11,19403;volume;month;11,19;1,0;38,0;26,0;28,0;14,22;6,0;42,0
