title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton;inventory_quantity
香滿室薰衣草地板清潔劑補充包;日用生活;85,0;毛寶;規格：1800g克x1x1Bottle瓶;香滿室茶樹地板清潔劑補充包;95,0;1;1800,0;36,0;743;10.53%;0;11010005001;unique_master_match;1;1;g;1;bottle;85,0;95,0;10,526315789473683;weight;month;10,53;0,0;36,0;33,0;32,0;12,1;6,0;34,0
香滿室薰衣草地板清潔劑補充包;日用生活;85,0;毛寶;規格：1800g克x1x1Bottle瓶;香滿室薰衣草地板清潔劑補充包;95,0;1;1800,0;36,0;751;10.53%;0;11010016001;unique_master_match;1;1;g;1;bottle;85,0;95,0;10,526315789473683;weight;month;10,53;0,0;36,0;34,0;32,0;11,798;6,0;82,0
白帥帥防蟑地板清潔劑-2000g;日用生活;169,0;白帥帥;規格：2000g克x1x1Bottle瓶;白帥帥防蟑地板清潔劑;0,0;1;2000,0;36,0;752;0.00%;1;11010018001;unique_master_match;1;1;g;1;bottle;169,0;0,0;0,0;weight;month;0,0;1,0;38,0;24,0;27,0;13,48;6,0;21,0
毛寶香滿室檀木馨香地板清潔劑;日用生活;109,0;毛寶;規格：2000g克x1x1Bottle瓶;毛寶香滿室檀木馨香地板清潔劑;0,0;1;2000,0;36,0;764;0.00%;0;11010035001;unique_master_match;1;1;g;1;bottle;109,0;0,0;0,0;weight;month;0,0;0,0;31,0;31,0;32,0;13,45;6,0;96,0
毛寶香滿室海洋微風清潔補充包;日用生活;85,0;毛寶;規格：1800g克x1x1Bag袋;毛寶香滿室海洋微風地板清潔劑;95,0;1;1800,0;36,0;767;10.53%;0;11010040001;unique_master_match;1;1;g;1;bag;85,0;95,0;10,526315789473683;weight;month;10,53;0,0;32,0;30,0;31,0;13,4;6,0;146,0
家樂福超值地板清潔劑;日用生活;99,0;家樂福;規格：4000g克x1x1Bottle瓶;家福超值地板清潔劑;0,0;1;4000,0;60,0;768;0.00%;1;11010042001;unique_master_match;1;1;g;1;bottle;99,0;0,0;0,0;weight;month;0,0;1,0;37,0;25,0;32,0;17,21;4,0;330,0
毛寶香滿室檀木地板清潔補充包;日用生活;85,0;毛寶;規格：1800g克x1x1Bag袋;毛寶香滿室檀木地板清潔補充包;95,0;1;1800,0;36,0;769;10.53%;1;11010043001;unique_master_match;1;1;g;1;bag;85,0;95,0;10,526315789473683;weight;month;10,53;1,0;36,0;34,0;32,0;11,84;6,0;113,0
毛寶香滿室海洋微風清潔補充包;日用生活;85,0;毛寶;規格：1800g克x1x1Bag袋;毛寶香滿室海洋微風清潔補充包;95,0;1;1800,0;36,0;770;10.53%;1;11010045001;unique_master_match;1;1;g;1;bag;85,0;95,0;10,526315789473683;weight;month;10,53;1,0;36,0;34,0;32,0;11,92;6,0;46,33333333
妙管家公道先生地板清潔劑(檸檬清香)2000g;日用生活;85,0;妙管家;規格：2000g克x1x1Bottle瓶;公道先生地板清潔劑;95,0;1;2000,0;36,0;772;10.53%;1;11010051001;unique_master_match;1;1;g;1;bottle;85,0;95,0;10,526315789473683;weight;month;10,53;1,0;33,0;24,0;28,0;13,59;6,0;53,33333333
香滿室薰衣草地板清潔劑補充包;日用生活;85,0;毛寶;規格：1800g克x1x1Bottle瓶;毛寶香滿室薰衣草地板清潔劑;95,0;1;1800,0;36,0;781;10.53%;1;11010112001;unique_master_match;1;1;g;1;bottle;85,0;95,0;10,526315789473683;weight;month;10,53;1,0;31,0;30,0;31,0;13,392;6,0;32,66666667
