title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton;inventory_quantity
[ides愛蒂思] 情人送禮 輕珠寶設計款10分E/VS1八心八箭EX車工鑽石項鍊鎖骨鍊/經典六爪;服飾鞋包;5999,0;ides愛蒂思;規格：1件;青箭粒裝口香糖超值包-原味;9,5;1;1,0;240,0;6479;36.85%;1;14226046001;unique_master_match;1;1;pc;1;pc;5999,0;9,5;0,0;count;month;36,85;1,0;38,0;32,0;18,0;6,438;60,0;53,0
[ides愛蒂思] 情人送禮 輕珠寶設計款10分E/VS1八心八箭EX車工鑽石項鍊鎖骨鍊/經典六爪;服飾鞋包;5999,0;ides愛蒂思;規格：1件;青箭粒裝口香糖-原味;9,5;1;1,0;240,0;6480;36.85%;1;14226051001;unique_master_match;1;1;pc;1;pc;5999,0;9,5;0,0;count;month;36,85;1,0;42,0;19,0;15,0;2,4;60,0;59,0
台灣藍白拖-藍10.5~12;服飾鞋包;69,0;;規格：1Pair雙x1x1Pair雙;台灣藍白拖;75,0;1;1,0;999,0;10233;8.00%;1;60011899001;ambiguous_master_match_resolved_with_order_history;2;2;pair;1;pair;69,0;75,0;8,0;count;month;8,0;1,0;59,0;30,0;39,0;16,0;48,0;145,0
舒適便利室內拖鞋-灰XL;服飾鞋包;169,0;;規格：1Pair雙x1x1Pair雙;7926舒適便利室內拖鞋;199,0;1;1,0;999,0;10234;15.08%;1;60013027009;unique_master_match;1;1;pair;1;pair;169,0;199,0;15,07537688442211;count;month;15,08;1,0;;;;;;15,0
【安心價】606 網拖-3雙入-藍色-12;服飾鞋包;112,0;;規格：1PC包x1x1PC包;606 網拖(3雙入);129,0;1;1,0;60,0;10237;13.18%;1;60014001010;ambiguous_master_match_resolved_with_order_history;2;2;pc;1;pc;112,0;129,0;13,178294573643413;count;month;13,18;1,0;55,0;28,0;19,0;2,61;8,0;55,0
宜而爽新舒棉男前開口三角褲<M>;服飾鞋包;139,0;宜而爽;規格：1PC件x1x1PC件;宜而爽新舒棉三角褲;169,0;1;1,0;999,0;10246;17.75%;1;61062008001;ambiguous_master_match_resolved_with_order_history;3;3;pc;1;pc;139,0;169,0;17,75147928994083;count;month;17,75;1,0;26,0;13,0;18,0;1,0;12,0;25,0
宜而爽新舒棉男前開口平口褲-XL;服飾鞋包;139,0;宜而爽;規格：1PC件x1x1PC件;宜而爽新舒棉平口褲;169,0;1;1,0;999,0;10248;17.75%;1;61063005002;ambiguous_master_match_resolved_with_order_history;2;2;pc;1;pc;139,0;169,0;17,75147928994083;count;month;17,75;1,0;26,0;13,0;18,0;0,8;12,0;19,0
Hangten舒適涼感透氣平口褲-L(顏色隨機出貨);服飾鞋包;99,0;Hang Ten;規格：1PC件x1x1PC件;Hangten 舒適涼感透氣平口褲;119,0;1;1,0;999,0;10253;16.81%;1;61064012003;unique_master_match;1;1;pc;1;pc;99,0;119,0;16,80672268907563;count;month;16,81;1,0;18,0;30,0;12,0;1,2;12,0;29,0
Victoryh 100%棉針織平口褲-XL(顏色隨機出);服飾鞋包;99,0;Victoryh;規格：1PC件x1x1PC件;Victoryh 100棉針織平口褲;119,0;1;1,0;999,0;10261;16.81%;1;61064105002;ambiguous_master_match_resolved_with_order_history;3;2;pc;1;pc;99,0;119,0;16,80672268907563;count;month;16,81;1,0;28,0;24,0;8,0;1,1;12,0;35,0
Victoryh雙色紗針織平口褲-XL(顏色隨機出貨);服飾鞋包;99,0;Victoryh;規格：1PC件x1x1PC件;Victoryh雙色紗針織平口褲;119,0;1;1,0;999,0;10263;16.81%;1;61064195002;ambiguous_master_match_resolved_with_order_history;2;2;pc;1;pc;99,0;119,0;16,80672268907563;count;month;16,81;1,0;28,0;24,0;8,0;1,1;12,0;27,0
