title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton;inventory_quantity
東元XYFXJ066直立式手提吸塵器;生活家電;888,0;TECO東元;規格：1Set台x1x1Set台;東元XYFXJ066直立式手提吸塵器;988,0;1;1,0;999,0;9963;10.12%;1;41100017001;unique_master_match;1;1;set;1;set;888,0;988,0;10,121457;count;month;10,12;1,0;64,0;13,0;15,0;2,054;1,0;27,0
元山YS-9911DD 溫風式烘碗機;生活家電;1288,0;元山家電;規格：1Set台x1x1Set台;元山YS-9911DD 溫風式烘碗機;1388,0;1;1,0;999,0;9978;7.20%;0;41201002001;unique_master_match;1;1;set;1;set;1288,0;1388,0;7,204611;count;month;7,2;0,0;54,0;49,0;36,0;5,5;1,0;11,0
FOKI 小廚師 台灣製 四層紫外線烘碗機 FO-328;生活家電;3550,0;FOKI小廚師;規格：1台;小廚師四層紫外線烘碗機FO-328;0,0;1;1,0;12,0;9981;0.00%;0;41202003001;unique_master_match;1;1;pc;1;;3550,0;0,0;0,0;count;month;0,0;0,0;55,0;44,0;77,0;17,0;1,0;10,0
OSTER BLST-120隨我型果汁機;生活家電;999,0;OSTER;規格：1Set台x1x1Set台;OSTER BLST-120隨我型果汁機;1480,0;1;1,0;999,0;9997;32.50%;1;41212906001;unique_master_match;1;1;set;1;set;999,0;1480,0;32,5;count;month;32,5;1,0;26,0;17,0;25,0;1,56;1,0;30,0
飛利浦HR2601/02超活氧迷你果汁機;生活家電;1188,0;PHILIPS飛利浦;規格：1Set台x1x1Set台;飛利浦HR2601/02超活氧迷你果汁機;1488,0;1;1,0;999,0;9998;20.16%;1;41212916001;unique_master_match;1;1;set;1;set;1188,0;1488,0;20,16129;count;month;20,16;1,0;25,0;15,0;25,0;1,6;1,0;15,0
【大家源】3L 304不鏽鋼電動熱水瓶(TCY-2033);生活家電;1180,0;大家源;規格：1Set台x1x1Set台;大家源TCY-2033 電動熱水瓶;0,0;1;1,0;999,0;10006;0.00%;0;41220010001;unique_master_match;1;1;set;1;set;1180,0;0,0;0,0;count;month;0,0;0,0;25,0;25,0;38,0;2,62;1,0;11,333333
【TATUNG大同】1.8公升不鏽鋼電茶壺(TEK-1815S);生活家電;1190,0;TATUNG大同;規格：1Set台x1x1Set台;大同TEK-1815S(1.8L)電茶壺;0,0;1;1,0;999,0;10017;0.00%;0;41223010001;unique_master_match;1;1;set;1;set;1190,0;0,0;0,0;count;month;0,0;0,0;68,0;46,0;51,0;16,4;12,0;10,333333
大家源TCY-2788 不鏽鋼快煮壺;生活家電;499,0;大家源;規格：1Set台x1x1Set台;大家源TCY-2788 不鏽鋼快煮壺;0,0;1;1,0;999,0;10018;0.00%;1;41223020001;unique_master_match;1;1;set;1;set;499,0;0,0;0,0;count;month;0,0;1,0;56,0;42,0;26,0;6,84;6,0;100,0
【SAMPO 聲寶】1.5L雙層防燙快煮壺(KP-CD15D);生活家電;950,0;SAMPO聲寶;規格：1Set台x1x1Set台;聲寶KP-CD15D雙層防燙快煮壺1.5L;1088,0;1;1,0;999,0;10027;12.68%;0;41223066001;unique_master_match;1;1;set;1;set;950,0;1088,0;12,683824;count;month;12,68;0,0;63,0;24,0;52,0;8,73;6,0;9,0
晶工牌JD-3653溫熱全自動開飲機;生活家電;3490,0;JINKON晶工牌;規格：1Set台x1x1Set台;晶工牌JD-3653溫熱全自動開飲機;0,0;1;1,0;999,0;10028;0.00%;1;41232043001;unique_master_match;1;1;set;1;set;3490,0;0,0;0,0;count;month;0,0;1,0;41,0;38,0;59,0;6,72;1,0;11,0
【YENSUN 元山家電】6.9L全開水溫熱開飲機(YS-818DWE);生活家電;2488,0;元山家電;規格：1Set台x1x1Set台;元山YS-818DWE溫熱開飲機;2880,0;1;1,0;999,0;10032;13.61%;1;41232047001;unique_master_match;1;1;set;1;set;2488,0;2880,0;13,611111;count;month;13,61;1,0;43,0;31,0;64,0;7,8;1,0;1,0
晶工牌JD-3232溫熱全自動開飲機;生活家電;2980,0;JINKON晶工牌;規格：1Set台x1x1Set台;晶工牌JD-3232溫熱全自動開飲機;3090,0;1;1,0;999,0;10034;3.56%;0;41232052001;unique_master_match;1;1;set;1;set;2980,0;3090,0;3,559871;count;month;3,56;0,0;38,0;32,0;56,0;6,05;1,0;6,0
晶工牌感應式開飲機濾心 CF-2514-4入;生活家電;1300,0;JINKON晶工牌;規格：1Set台x1x1Set台;晶工CF-2514感應式開飲機濾心;0,0;1;1,0;999,0;10036;0.00%;0;41234002001;unique_master_match;1;1;set;1;set;1300,0;0,0;0,0;count;month;0,0;0,0;63,0;41,0;19,0;2,0;6,0;29,666667
