title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton;inventory_quantity
光泉低脂保久牛乳-200ml;生鮮冷凍;115,0;光泉;規格：200ml毫升x1x6Bottle瓶;光泉低脂保久牛乳;128,0;1;200,0;9,0;9014;10.16%;1;15020001001;unique_master_match;1;1;ml;6;bottle;19,166667;21,333333;10,15625;volume;month;10,16;1,0;32,0;15,0;13,0;5,28;24,0;6218,0
澳洲奶協會全脂牛奶1000ml;生鮮冷凍;99,0;澳洲奶協會;規格：1000ml毫升x1x1Bottle瓶;倍瑞100％全脂牛奶1000ml;129,0;1;1000,0;12,0;9015;23.26%;1;15020007001;unique_master_match;1;1;ml;1;bottle;99,0;129,0;23,255814;volume;month;23,26;1,0;37,0;20,0;22,0;13,12;12,0;959,0
光泉低脂高鈣牛乳-200ml;生鮮冷凍;268,0;光泉;規格：200ml毫升x1x24Bottle瓶;光泉低脂高鈣牛乳;312,0;1;200,0;9,0;9016;14.10%;1;15020010001;unique_master_match;1;1;ml;24;bottle;11,166667;13,0;14,102564;volume;month;14,1;1,0;32,0;16,0;13,0;5,26;24,0;9128,0
福樂低脂高鈣牛乳(保久乳)200ml;生鮮冷凍;258,0;福樂;規格：200ml毫升x1x24Bottle瓶;福樂低脂高鈣牛乳(保久乳)200m;312,0;1;200,0;6,0;9017;17.31%;1;15020046001;unique_master_match;1;1;ml;24;bottle;10,75;13,0;17,307692;volume;month;17,31;1,0;32,0;17,0;12,0;5,23;24,0;31147,0
光泉全脂保久牛乳-200ml;生鮮冷凍;460,0;光泉;規格：200ml毫升x1x24Bottle瓶;光泉全脂保久牛乳;480,0;1;200,0;9,0;9018;4.17%;1;15020047001;unique_master_match;1;1;ml;24;bottle;19,166667;20,0;4,166667;volume;month;4,17;1,0;32,0;15,0;13,0;5,25;24,0;66262,0
光泉高鈣牛乳-無加糖200ml;生鮮冷凍;300,0;光泉;規格：200ml毫升x1x24BOTTLE瓶;光泉高鈣牛乳;344,0;1;200,0;9,0;9019;12.79%;0;15020050001;unique_master_match;1;1;ml;24;bottle;12,5;14,333333;12,790698;volume;month;12,79;0,0;32,0;15,0;13,0;5,31;24,0;20696,0
光泉高鈣牛乳-無加糖200ml;生鮮冷凍;300,0;光泉;規格：200ml毫升x1x24BOTTLE瓶;光泉高鈣牛乳-無加糖200ml;344,0;1;200,0;9,0;9024;12.79%;1;15020920001;unique_master_match;1;1;ml;24;bottle;12,5;14,333333;12,790698;volume;month;12,79;1,0;32,0;16,0;13,0;5,26;24,0;8610,0
克寧國小生草莓優酪乳(198mlx6);生鮮冷凍;99,0;克寧;規格：198ml毫升x1x6BOTTLE瓶;克寧國小生牛奶198ML;109,0;1;198,0;6,0;9025;9.17%;1;15020922001;unique_master_match;1;1;ml;6;bottle;16,5;18,166667;9,174312;volume;month;9,17;1,0;33,0;16,0;13,0;5,35;24,0;4410,0
極品限定高鈣牛乳200ml*6入/組;生鮮冷凍;69,0;味全;規格：200ml毫升x1x6BOTTLE瓶;極品限定高鈣牛乳200ml;109,0;1;200,0;9,0;9027;36.70%;1;15020925001;unique_master_match;1;1;ml;6;bottle;11,5;18,166667;36,697248;volume;month;36,7;1,0;35,0;20,0;9,0;5,26;24,0;835,0
光泉果汁牛乳;生鮮冷凍;268,0;光泉;規格：200ml毫升x1x24Bottle瓶;光泉果汁牛乳;312,0;1;200,0;9,0;9028;14.10%;1;15021001001;unique_master_match;1;1;ml;24;bottle;11,166667;13,0;14,102564;volume;month;14,1;1,0;32,0;16,0;13,0;5,27;24,0;15640,0
福樂香蕉牛乳;生鮮冷凍;258,0;福樂;規格：200ml毫升x1x24Bottle瓶;福樂香蕉牛乳;312,0;1;200,0;9,0;9029;17.31%;0;15021003001;unique_master_match;1;1;ml;24;bottle;10,75;13,0;17,307692;volume;month;17,31;0,0;32,0;18,0;12,0;5,33;24,0;8090,0
福樂蘋果牛乳(保久乳)200ml;生鮮冷凍;258,0;福樂;規格：200ml毫升x1x24Bottle瓶;福樂蘋果牛乳(保久乳)200ml;312,0;1;200,0;9,0;9031;17.31%;1;15021035001;unique_master_match;1;1;ml;24;bottle;10,75;13,0;17,307692;volume;month;17,31;1,0;30,0;16,0;12,0;5,18;24,0;13458,0
愛之味純濃燕麥(天然原味);生鮮冷凍;408,0;;規格：290ml毫升x1x24BOTTLE瓶;愛之味純濃燕麥290ml;624,0;1;290,0;6,0;9032;34.62%;0;15021042001;unique_master_match;1;1;ml;24;bottle;17,0;26,0;34,615385;volume;month;34,62;0,0;39,0;26,0;17,0;8,25;24,0;4304,0
愛之味純濃燕麥-天然原味TPA250ml;生鮮冷凍;149,0;愛之味;規格：250ml毫升x1x6BOTTLE瓶;愛之味純濃燕麥-天然原味TPA250ml;0,0;1;250,0;6,0;9033;0.00%;1;15021047001;unique_master_match;1;1;ml;6;bottle;24,833333;0,0;0,0;volume;month;0,0;1,0;42,0;17,0;14,0;6,78;24,0;656,0
克寧國小生草莓優酪乳(198mlx6);生鮮冷凍;99,0;克寧;規格：198ml毫升x1x6BOTTLE瓶;克寧國小生草莓優酪乳198ML;109,0;1;198,0;6,0;9034;9.17%;1;15021057001;unique_master_match;1;1;ml;6;bottle;16,5;18,166667;9,174312;volume;month;9,17;1,0;33,0;16,0;13,0;5,32;24,0;1068,0
極品限定蘋果牛乳200ml;生鮮冷凍;268,0;味全;規格：200ml毫升x1x24BOTTLE瓶;極品限定蘋果牛乳200ml;348,0;1;200,0;9,0;9036;22.99%;1;15021060001;unique_master_match;1;1;ml;24;bottle;11,166667;14,5;22,988506;volume;month;22,99;1,0;35,0;20,0;9,0;5,3;24,0;1481,0
光泉巧克力牛乳-200ml;生鮮冷凍;268,0;光泉;規格：200ml毫升x1x24Bottle瓶;光泉巧克力牛乳;312,0;1;200,0;9,0;9037;14.10%;1;15022004001;unique_master_match;1;1;ml;24;bottle;11,166667;13,0;14,102564;volume;month;14,1;1,0;32,0;15,0;13,0;5,25;24,0;21678,0
福樂巧克力牛乳(保久乳)200ml;生鮮冷凍;258,0;福樂;規格：200ml毫升x1x24Bottle瓶;福樂巧克力牛乳(保久乳)200ml;312,0;1;200,0;9,0;9038;17.31%;1;15022005001;unique_master_match;1;1;ml;24;bottle;10,75;13,0;17,307692;volume;month;17,31;1,0;30,0;17,0;12,0;5,2;24,0;12842,0
雀巢美祿巧克力麥芽飲品TP;生鮮冷凍;89,0;雀巢;規格：198ml毫升x1x6Bottle瓶;雀巢美祿巧克力麥芽飲品TP;0,0;1;198,0;9,0;9041;0.00%;1;15022013001;unique_master_match;1;1;ml;6;bottle;14,833333;0,0;0,0;volume;month;0,0;1,0;33,0;17,0;13,0;5,35;24,0;4788,0
福樂堅果牛乳200ML;生鮮冷凍;258,0;;規格：200ml毫升x1x24BOTTLE瓶;福樂堅果牛乳(保久乳)200ml;304,0;1;200,0;9,0;9042;15.13%;1;15022014001;unique_master_match;1;1;ml;24;bottle;10,75;12,666667;15,131579;volume;month;15,13;1,0;30,0;17,0;12,0;5,2;24,0;4740,0
光泉保久乳飲品-珍穀堅果牛乳-200ml;生鮮冷凍;300,0;光泉;規格：200ml毫升x1x24BOX箱;光泉調味乳-珍穀堅果牛乳;324,0;1;200,0;9,0;9044;7.41%;1;15022017001;unique_master_match;1;1;ml;24;box;12,5;13,5;7,407407;volume;month;7,41;1,0;33,0;16,0;13,0;5,3;24,0;4526,0
福樂低脂高鈣牛乳(保久乳)200ml;生鮮冷凍;67,0;福樂;規格：200ml毫升x1x6Bottle瓶;台農牛乳麥芽保久乳飲品200ml;78,0;1;200,0;6,0;9046;14.10%;1;15022019001;unique_master_match;1;1;ml;6;bottle;11,166667;13,0;14,102564;volume;month;14,1;1,0;36,0;24,0;14,0;8,32;24,0;188,0
雀巢美祿巧克力飲品減糖配方198ml;生鮮冷凍;94,0;雀巢;規格：198ml毫升x1x6BoX盒;雀巢美祿極致濃巧克力飲品198ml;102,0;1;198,0;9,0;9048;7.84%;1;15022021001;unique_master_match;1;1;ml;6;box;15,666667;17,0;7,843137;volume;month;7,84;1,0;33,0;16,0;13,0;5,42;24,0;613,0
福樂巧克力牛乳(保久乳)200ml;生鮮冷凍;67,0;福樂;規格：200ml毫升x1x6Bottle瓶;福樂麥芽保久乳 200ml;78,0;1;200,0;9,0;9052;14.10%;0;15022026001;unique_master_match;1;1;ml;6;bottle;11,166667;13,0;14,102564;volume;month;14,1;0,0;30,0;17,0;12,0;5,2;24,0;10660,0
