title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton
【紅豆食府】桂花年糕 480g／盒;生鮮冷凍;178,0;紅豆食府;規格：480g／盒;健酪水蜜桃乳酸飲料;196,0;1;480,0;12,0;376;9.18%;1;10024005001;unique_master_match;1;1;g;1;;178,0;196,0;9,183673469387756;weight;month;9,18;1,0;40,0;27,0;13,0;8,85;24,0
【紅豆食府】桂花年糕 480g／盒;生鮮冷凍;178,0;紅豆食府;規格：480g／盒;健酪藍莓乳酸飲料;196,0;1;480,0;12,0;377;9.18%;1;10024006001;unique_master_match;1;1;g;1;;178,0;196,0;9,183673469387756;weight;month;9,18;1,0;40,0;27,0;13,0;8,59;24,0
統一布丁※實際到貨效期約4天以上;生鮮冷凍;30,0;統一布丁;規格：100g克x1x3Cup杯;高露潔特涼薄荷牙膏;0,0;1;100,0;1,0;3923;0.00%;0;12100018001;unique_master_match;1;1;g;3;cup;10,0;0,0;0,0;weight;month;0,0;0,0;59,0;25,0;24,0;17,1;72,0
統一布丁※實際到貨效期約4天以上;生鮮冷凍;30,0;統一布丁;規格：100g克x1x3Cup杯;高露潔清香薄荷牙膏;0,0;1;100,0;1,0;3924;0.00%;1;12100019001;unique_master_match;1;1;g;3;cup;10,0;0,0;0,0;weight;month;0,0;1,0;59,0;25,0;23,0;17,276;72,0
【一等鮮】懶人自煮黑胡椒牛肉料理包12包(300g/包〉免運;生鮮冷凍;948,0;一等鮮;規格：300g/包;樂雅樂馬鈴薯牛肉咖哩;1440,0;1;300,0;12,0;7966;34.17%;1;14523106001;unique_master_match;1;1;g;1;;948,0;1440,0;34,166666666666664;weight;month;34,17;1,0;;;;;18,0
良農新社黑皮厚肉香菇130g;生鮮冷凍;440,0;良農食品;規格：130g克x1x1Pack包;良農新社黑皮厚肉香菇130g;489,0;1;130,0;12,0;8561;10.02%;1;14710006001;unique_master_match;1;1;g;1;pack;440,0;489,0;10,020449897750511;weight;month;10,02;1,0;36,0;26,0;19,0;1,148;6,0
新泰皇新社高山香菇-100g;生鮮冷凍;342,0;;規格：100g克x1x1Pack包;新泰皇新社高山香菇100g;380,0;1;100,0;12,0;8562;10.00%;1;14710007001;unique_master_match;1;1;g;1;pack;342,0;380,0;10,0;weight;month;10,0;1,0;38,0;22,0;16,0;0,9;6,0
登豐 油蔥300g;生鮮冷凍;89,0;;規格：300g克x1x1Pack包;登豐 油蔥300g;99,0;1;300,0;12,0;8565;10.10%;1;14711001001;unique_master_match;1;1;g;1;pack;89,0;99,0;10,1010101010101;weight;month;10,1;1,0;36,0;26,0;19,0;4,0;12,0
【一等鮮】懶人自煮黑胡椒牛肉料理包12包(300g/包〉免運;生鮮冷凍;948,0;一等鮮;規格：300g/包;登豐高麗菜乾180g;1440,0;1;300,0;12,0;8566;34.17%;1;14711008001;unique_master_match;1;1;g;1;;948,0;1440,0;34,166666666666664;weight;month;34,17;1,0;38,0;21,0;16,0;2,493;12,0
日正油蔥酥;生鮮冷凍;49,0;日正;規格：120g克x1x1Pack包;日正油蔥酥;55,0;1;120,0;12,0;8567;10.91%;1;14711014001;unique_master_match;1;1;g;1;pack;49,0;55,0;10,909090909090908;weight;month;10,91;1,0;27,0;22,0;18,0;2,506;12,0
登豐海帶芽120g;生鮮冷凍;122,0;;規格：120g克x1x1Pack包;登豐海帶芽120g;135,0;1;120,0;12,0;8592;9.63%;0;14730041001;unique_master_match;1;1;g;1;pack;122,0;135,0;9,62962962962963;weight;month;9,63;0,0;38,0;26,0;19,0;1,76;12,0
橘平屋特選燒海苔20.8g;生鮮冷凍;79,0;橘平屋;規格：20.8g克x1x1Pack包;橘平屋特選燒海苔20.8g;0,0;1;20,8;10,0;8594;0.00%;0;14730898001;unique_master_match;1;1;g;1;pack;79,0;0,0;0,0;weight;month;0,0;0,0;43,0;28,0;27,0;2,56;30,0
惠昇寒天特級洋菜粉10g;生鮮冷凍;20,0;;規格：10g克x1x1PC包;惠昇寒天特級洋菜粉10g;0,0;1;10,0;24,0;8595;0.00%;0;14730900001;unique_master_match;1;1;g;1;pc;20,0;0,0;0,0;weight;month;0,0;0,0;20,0;10,0;10,0;0,3;24,0
【紅豆食府】桂花年糕 480g／盒;生鮮冷凍;178,0;紅豆食府;規格：480g／盒;國農巧克力調味牛乳;196,0;1;480,0;12,0;9040;9.18%;0;15022009001;unique_master_match;1;1;g;1;;178,0;196,0;9,183673469387756;weight;month;9,18;0,0;36,0;24,0;13,0;6,4;24,0
福記日式素豆乾原味;生鮮冷凍;105,0;福記;規格：152g克x1x1Pack包;福記日式素豆乾原味;110,0;1;152,0;13,0;9074;4.55%;1;15081020001;unique_master_match;1;1;g;1;pack;105,0;110,0;4,545454545454546;weight;month;4,55;1,0;50,0;35,0;26,0;9,74;40,0
