title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton
統一大豆沙拉油760ml;米油沖泡;75,0;統一;規格：760ml毫升x1x1Bottle瓶;統一沙拉油760ml;79,0;1;760,0;12,0;8133;5.06%;1;14610001001;unique_master_match;1;1;ml;1;bottle;75,0;79,0;5,063291139240507;volume;month;5,06;1,0;30,0;19,0;26,0;9,26;12,0
【限量】台糖大豆沙拉油2L;米油沖泡;128,0;台糖;規格：2L公升x1x1Bottle瓶;台糖大豆沙拉油2L;138,0;1;2000,0;12,0;8134;7.25%;1;14610002001;unique_master_match;1;1;ml;1;bottle;128,0;138,0;7,246376811594203;volume;month;7,25;1,0;44,0;31,0;28,0;18,25;9,0
福壽不飽和大豆沙拉油2L;米油沖泡;126,0;福壽;規格：2L公升x1x1Bottle瓶;福壽不飽和大豆沙拉油2L;138,0;1;2000,0;24,0;8137;8.70%;0;14610008001;unique_master_match;1;1;ml;1;bottle;126,0;138,0;8,695652173913043;volume;month;8,7;0,0;35,0;24,0;29,0;12,1;6,0
福壽大豆沙拉油 600cc;米油沖泡;50,0;福壽;規格：600ml毫升x1x1Bottle瓶;福壽大豆沙拉油600cc;0,0;1;600,0;12,0;8138;0.00%;0;14610009001;unique_master_match;1;1;ml;1;bottle;50,0;0,0;0,0;volume;month;0,0;0,0;29,0;23,0;26,0;7,4;12,0
泰山沙拉油600ml;米油沖泡;59,0;泰山;規格：600ml毫升x1x1Bottle瓶;泰山沙拉油600ml;0,0;1;600,0;12,0;8139;0.00%;1;14610010001;unique_master_match;1;1;ml;1;bottle;59,0;0,0;0,0;volume;month;0,0;1,0;25,0;23,0;25,0;7,45;12,0
【限量】台糖大豆沙拉油 3L;米油沖泡;169,0;台糖;規格：3L公升x1x1Bottle瓶;台糖大豆沙拉油 3L;189,0;1;3000,0;12,0;8140;10.58%;0;14610011001;unique_master_match;1;1;ml;1;bottle;169,0;189,0;10,582010582010582;volume;month;10,58;0,0;35,0;31,0;31,0;18,086;6,0
得意的一天100％葵花油1L;米油沖泡;143,0;得意的一天;規格：1L公升x1x1Bottle瓶;得意的一天100％葵花油1L;0,0;1;1000,0;24,0;8142;0.00%;0;14611002001;unique_master_match;1;1;ml;1;bottle;143,0;0,0;0,0;volume;month;0,0;0,0;29,0;27,0;29,0;12,6;12,0
得意的一天單元純葵花油;米油沖泡;341,0;得意的一天;規格：2.4L公升x1x1Bottle瓶;得意的一天單元純葵花油;0,0;1;2400,0;24,0;8144;0.00%;1;14611007001;unique_master_match;1;1;ml;1;bottle;341,0;0,0;0,0;volume;month;0,0;1,0;33,0;30,0;32,0;15,1;6,0
福壽100％純芥花油2L;米油沖泡;209,0;福壽;規格：2L公升x1x1Bottle瓶;福壽100％純葵花油2L;249,0;1;2000,0;24,0;8146;16.06%;1;14611009001;unique_master_match;1;1;ml;1;bottle;209,0;249,0;16,06425702811245;volume;month;16,06;1,0;35,0;25,0;29,0;12,03;6,0
得意的一天100％葵花油3.5L;米油沖泡;371,0;得意的一天;規格：3.5L公升x1x1Bottle瓶;得意的一天100％葵花油3.5L;434,0;1;3500,0;25,0;8147;14.52%;1;14611010001;unique_master_match;1;1;ml;1;bottle;371,0;434,0;14,516129032258066;volume;month;14,52;1,0;42,0;29,0;33,0;20,78;6,0
得意的一天三益葵花油1.58L;米油沖泡;238,0;得意的一天;規格：1.58L公升x1x1Can罐;得意的一天三益葵花油1.58L;267,0;1;1580,0;24,0;8148;10.86%;1;14611013001;unique_master_match;1;1;ml;1;can;238,0;267,0;10,861423220973784;volume;month;10,86;1,0;35,0;27,0;27,0;10,33;6,0
台糖100％葵花油 2L;米油沖泡;219,0;台糖;規格：2L公升x1x1Bottle瓶;台糖100％葵花油 2L;237,0;1;2000,0;18,0;8149;7.59%;1;14611014001;unique_master_match;1;1;ml;1;bottle;219,0;237,0;7,59493670886076;volume;month;7,59;1,0;45,0;31,0;28,0;18,27;9,0
奧利塔頂級葵花油750ml;米油沖泡;179,0;Olitalia 奧利塔;規格：750ml毫升x1x1Bottle瓶;奧利塔頂級葵花油750ml;209,0;1;750,0;30,0;8152;14.35%;1;14611020001;unique_master_match;1;1;ml;1;bottle;179,0;209,0;14,354066985645932;volume;month;14,35;1,0;35,0;20,0;30,0;12,86;12,0
得意的一天100％葵花油2.4L;米油沖泡;258,0;得意的一天;規格：2.4L公升x1x1Bottle瓶;得意的一天100％葵花油2.4L;305,0;1;2400,0;24,0;8153;15.41%;1;14611022001;unique_master_match;1;1;ml;1;bottle;258,0;305,0;15,40983606557377;volume;month;15,41;1,0;37,0;26,0;30,0;14,31;6,0
得意的一天100％葵花油2.4L;米油沖泡;258,0;得意的一天;規格：2.4L公升x1x1Bottle瓶;家福葵花油;305,0;1;2400,0;24,0;8155;15.41%;1;14611899001;unique_master_match;1;1;ml;1;bottle;258,0;305,0;15,40983606557377;volume;month;15,41;1,0;34,0;24,0;29,0;11,98;6,0
義美100％純葵花油-1500ml;米油沖泡;199,0;義美;規格：1500ml毫升x1x1BOTTLE瓶;義美100％純葵花油1.5L;215,0;1;1500,0;14,0;8156;7.44%;1;14611901001;unique_master_match;1;1;ml;1;bottle;199,0;215,0;7,441860465116279;volume;month;7,44;1,0;31,0;22,0;30,0;9,5;6,0
得意的一天清淡橄欖油 1L;米油沖泡;498,0;得意的一天;規格：1L公升x1x1Can罐;得意的一天清淡橄欖油 1L;499,0;1;1000,0;24,0;8157;0.20%;1;14612005001;unique_master_match;1;1;ml;1;can;498,0;499,0;0,2004008016032064;volume;month;0,2;1,0;33,0;25,0;28,0;17,662;12,0
瑪伊娜有機冷壓特級橄欖油;米油沖泡;329,0;瑪伊娜;規格：500ml毫升x1x1BOTTLE瓶;瑪伊娜有機冷壓特級橄欖油;377,0;1;500,0;36,0;8158;12.73%;1;14612012001;unique_master_match;1;1;ml;1;bottle;329,0;377,0;12,73209549071618;volume;month;12,73;1,0;20,0;13,0;30,0;5,0;6,0
得意的一天橄欖油 1000ml;米油沖泡;495,0;得意的一天;規格：1000ml毫升x1x1Bottle瓶;得意的一天橄欖油 1000ml;499,0;1;1000,0;24,0;8160;0.80%;1;14612018002;unique_master_match;1;1;ml;1;bottle;495,0;499,0;0,8016032064128256;volume;month;0,8;1,0;33,0;24,0;28,0;17,58;12,0
德麗莎特級初榨橄欖油750ML;米油沖泡;399,0;德麗莎;規格：750ml毫升x1x1BOTTLE瓶;德麗莎特級初榨橄欖油;580,0;1;750,0;24,0;8163;31.21%;1;14612031001;unique_master_match;1;1;ml;1;bottle;399,0;580,0;31,20689655172414;volume;month;31,21;1,0;19,0;13,0;28,0;5,05;6,0
[限量]奧利塔純橄欖油 1L;米油沖泡;568,0;Olitalia 奧利塔;規格：1L公升x1x1Bottle瓶;奧利塔冷壓純橄欖油 1L;698,0;1;1000,0;24,0;8164;18.62%;1;14612034001;unique_master_match;1;1;ml;1;bottle;568,0;698,0;18,624641833810887;volume;month;18,62;1,0;28,0;23,0;29,0;12,75;9,0
萊瑞100％初榨冷壓特級純橄欖油;米油沖泡;469,0;萊瑞;規格：1000ml毫升x1x1BOTTLE瓶;萊瑞100％初榨冷壓特級純橄欖油;695,0;1;1000,0;36,0;8165;32.52%;1;14612035001;unique_master_match;1;1;ml;1;bottle;469,0;695,0;32,51798561151079;volume;month;32,52;1,0;33,0;25,0;28,0;17,1;12,0
【橄欖油】囍瑞100%第一道冷壓特級純橄油;米油沖泡;469,0;囍瑞;規格：1L公升x1x1Bottle瓶;囍瑞100％第一道冷壓特級純橄油;695,0;1;1000,0;36,0;8169;32.52%;1;14612059001;unique_master_match;1;1;ml;1;bottle;469,0;695,0;32,51798561151079;volume;month;32,52;1,0;34,0;26,0;27,0;16,4;12,0
得意的一天100％純橄欖油2L;米油沖泡;919,0;得意的一天;規格：2L公升x1x1Bottle瓶;得意的一天100％純橄欖油2L;949,0;1;2000,0;25,0;8171;3.16%;1;14612075001;unique_master_match;1;1;ml;1;bottle;919,0;949,0;3,1612223393045316;volume;month;3,16;1,0;34,0;23,0;28,0;11,7;6,0
