title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton
立頓茗閒情100％台灣茶-蜜香紅茶50.4g;米油沖泡;149,0;立頓;規格：50.4g克x1x1Bag包;立頓茗閒情100台灣茶-蜜香紅茶50.4g;179,0;1;50,4;24,0;6692;16.76%;1;14300003001;unique_master_match;1;1;g;1;bag;149,0;179,0;16,75977653631285;weight;month;16,76;1,0;37,0;29,0;26,0;1,7;12,0
立頓黃牌精選紅茶 2g X100;米油沖泡;145,0;立頓;規格：2g克x100x1BOX盒;立頓紅茶包;155,0;1;2,0;24,0;6693;6.45%;0;14300008001;unique_master_match;1;1;g;100;box;1,45;1,55;6,451612903225811;weight;month;6,45;0,0;52,0;44,0;26,0;10,78;36,0
TWININGS唐寧 英倫早餐茶 2g x 25入;米油沖泡;238,0;唐寧;規格：2g克x25x1Box盒;唐寧英倫早餐茶;0,0;1;2,0;36,0;6694;0.00%;0;14300016001;unique_master_match;1;1;g;25;box;9,52;0,0;0,0;weight;month;0,0;0,0;37,0;30,0;8,0;1,162;12,0
TWININGS唐寧 英倫早餐茶 2g x 25入;米油沖泡;238,0;唐寧;規格：2g克x25x1Box盒;唐寧歐式大吉嶺茶;0,0;1;2,0;36,0;6695;0.00%;1;14300019001;unique_master_match;1;1;g;25;box;9,52;0,0;0,0;weight;month;0,0;1,0;38,0;30,0;8,0;1,152;12,0
天仁阿薩姆紅茶防潮包;米油沖泡;159,0;天仁;規格：2g克x100x1BOX盒;天仁阿薩姆紅茶防潮包;169,0;1;2,0;24,0;6697;5.92%;0;14300025001;unique_master_match;1;1;g;100;box;1,59;1,69;5,9171597633136015;weight;month;5,92;0,0;43,0;42,0;34,0;6,63;16,0
唐寧茶皇家伯爵茶【Mia C'bon 限定】;米油沖泡;275,0;唐寧;規格：2g克x25x1Box盒;唐寧皇家伯爵低咖啡因茶;0,0;1;2,0;37,0;6698;0.00%;1;14300029001;unique_master_match;1;1;g;25;box;11,0;0,0;0,0;weight;month;0,0;1,0;42,0;17,0;17,0;1,36;12,0
台灣茶人日月潭紅玉紅茶40g;米油沖泡;169,0;台灣茶人;規格：40g克x1x1Can罐;台灣農林原片紅玉紅茶;239,0;1;40,0;36,0;6700;29.29%;0;14300046001;unique_master_match;1;1;g;1;can;169,0;239,0;29,288702928870293;weight;month;29,29;0,0;62,0;27,0;18,0;2,0;12,0
帝瑪錫蘭紅茶-2gx50;米油沖泡;155,0;帝瑪;規格：2g克x50x1Box盒;帝瑪錫蘭紅茶;0,0;1;2,0;36,0;6701;0.00%;1;14300057001;unique_master_match;1;1;g;50;box;3,1;0,0;0,0;weight;month;0,0;1,0;44,0;34,0;14,0;3,64;24,0
天仁咖啡香紅茶-古早味紅茶-45g*6;米油沖泡;79,0;天仁;規格：45g克x6x1Pack包;天仁咖啡香紅茶-古早味紅茶;89,0;1;45,0;24,0;6702;11.24%;1;14300070001;unique_master_match;1;1;g;6;pack;13,166666666666666;14,833333333333334;11,235955056179783;weight;month;11,24;1,0;44,0;31,0;33,0;7,62;24,0
T世家精選錫蘭紅茶包-2g*100;米油沖泡;97,0;;規格：2g克x100x1Box盒;T世家精選錫蘭紅茶包;109,0;1;2,0;36,0;6703;11.01%;1;14300096001;unique_master_match;1;1;g;100;box;0,97;1,09;11,009174311926614;weight;month;11,01;1,0;52,0;33,0;25,0;7,34;24,0
天仁高山烏龍茶2gx100Bag袋;米油沖泡;159,0;天仁;規格：2g克x100x1Box盒;天仁高山烏龍茶;189,0;1;2,0;24,0;6705;15.87%;1;14301013001;unique_master_match;1;1;g;100;box;1,59;1,89;15,873015873015865;weight;month;15,87;1,0;43,0;43,0;34,0;8,0;16,0
天仁台灣茗品金萱烏龍茶;米油沖泡;439,0;天仁;規格：450g克x1x1Can罐;天仁台灣茗品金萱烏龍茶;499,0;1;450,0;24,0;6706;12.02%;1;14301018001;unique_master_match;1;1;g;1;can;439,0;499,0;12,024048096192384;weight;month;12,02;1,0;47,0;36,0;28,0;7,9;12,0
天仁原片高山烏龍茶;米油沖泡;143,0;天仁;規格：3g克x40x1Box盒;天仁原片高山烏龍茶;159,0;1;3,0;24,0;6708;10.06%;1;14301023001;unique_master_match;1;1;g;40;box;3,575;3,975;10,062893081761004;weight;month;10,06;1,0;52,0;37,0;36,0;5,2;18,0
天仁茗賞-茶王;米油沖泡;999,0;天仁;規格：600g克x1x1Can罐;天仁茗賞-茶王;1049,0;1;600,0;24,0;6710;4.77%;1;14301030001;unique_master_match;1;1;g;1;can;999,0;1049,0;4,7664442326024785;weight;month;4,77;1,0;51,0;40,0;29,0;10,15;12,0
