title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton;inventory_quantity
家樂福攜帶型牙間刷SSSS;美妝個清;89,0;家樂福;規格：12PC支x1x1Set組;家樂福蘋果醋;0,0;1;12,0;120,0;708;0.00%;0;10052024001;unique_master_match;1;1;pc;1;set;89,0;0,0;0,0;count;month;0,0;0,0;32,0;24,0;26,0;12,72;12,0;222,0
【Dr's Formula台塑生醫】髮根強健洗髮精(潤澤款) 580g 3入組 公司貨;美妝個清;896,0;;逛逛專館：美妝保養品專櫃;Drs Formula髮根強化洗髮精潤 潤澤感;1047,0;1;;11,0;2116;14.42%;1;12000126001;unique_master_match;1;1;pc;1;;896,0;1047,0;14,422158548233046;count;month;14,42;1,0;33,0;25,0;24,0;8,44;12,0;24,0
【海倫仙度絲】2025新版 去屑洗髮露-絲滑柔順680g 5入組 公司貨;美妝個清;1245,0;;逛逛專館：美妝保養品專櫃;海倫絲滑柔順去屑洗髮乳;1445,0;1;;36,0;2318;13.84%;1;12001047001;unique_master_match;1;1;pc;1;;1245,0;1445,0;13,84083044982699;count;month;13,84;1,0;26,0;22,0;24,0;7,16;6,0;107,0
【海倫仙度絲】2025新版 去屑洗髮露-絲滑柔順680g 5入組 公司貨;美妝個清;1245,0;;逛逛專館：美妝保養品專櫃;海倫仙度絲去屑絲柔順洗髮乳 海倫仙度絲去屑;1445,0;1;;36,0;2333;13.84%;1;12001063001;unique_master_match;1;1;pc;1;;1245,0;1445,0;13,84083044982699;count;month;13,84;1,0;22,0;19,0;23,0;5,25;6,0;12,0
【SHISEIDO資生堂】FINO高效滲透護髮膜(升級版) 230g 公司貨;美妝個清;253,0;;逛逛專館：美妝保養品專櫃;FINO高效滲透護髮膜;275,0;1;;36,0;2514;8.00%;0;12003130001;unique_master_match;1;1;pc;1;;253,0;275,0;8,0;count;month;8,0;0,0;37,0;29,0;25,0;10,5;24,0;13,66666667
Caravan基礎系隨身細齒梳-小;美妝個清;45,0;Caravan;規格：1PC件x1x1PC件;Caravan基礎系染髮梳 染髮梳;0,0;1;1,0;84,0;2713;0.00%;0;12006020001;unique_master_match;1;1;pc;1;pc;45,0;0,0;0,0;count;month;0,0;0,0;26,0;24,0;2,0;0,39;12,0;24,0
Caravan基礎系雙齒距梳-大;美妝個清;55,0;Caravan;規格：1PC件x1x1PC件;Caravan基礎系雙齒距梳-大 雙齒距梳-大;0,0;1;1,0;84,0;2715;0.00%;0;12006048001;unique_master_match;1;1;pc;1;pc;55,0;0,0;0,0;count;month;0,0;0,0;21,0;19,0;2,0;0,26;12,0;24,0
Caravan原木頭皮護理氣墊梳;美妝個清;149,0;;規格：1PC件x1x1PC件;Caravan原木頭皮護理氣墊梳 原木頭皮氣墊梳;0,0;1;1,0;84,0;2718;0.00%;0;12006067001;unique_master_match;1;1;pc;1;pc;149,0;0,0;0,0;count;month;0,0;0,0;38,0;25,0;6,0;0,712;6,0;12,0
Caravan直順抗靜電梳-大;美妝個清;125,0;;規格：1PC件x1x1PC件;Caravan直順抗靜電梳-大 抗靜電梳-大;0,0;1;1,0;84,0;2721;0.00%;0;12006135001;unique_master_match;1;1;pc;1;pc;125,0;0,0;0,0;count;month;0,0;0,0;38,0;24,0;5,0;0,6;6,0;12,0
Caravan理髮剪;美妝個清;239,0;;規格：1PC件x1x1PC件;Caravan理髮剪 理髮剪;0,0;1;1,0;120,0;2724;0.00%;0;12006144001;unique_master_match;1;1;pc;1;pc;239,0;0,0;0,0;count;month;0,0;0,0;23,0;17,0;1,0;0,14;3,0;6,0
大春煉皂-經典植萃皂;美妝個清;250,0;大春煉皂;規格：1件;家福蘆薈香氛精油皂;0,0;1;1,0;60,0;2799;0.00%;1;12010107001;unique_master_match;1;1;pc;1;pc;250,0;0,0;0,0;count;month;0,0;1,0;31,0;19,0;18,0;5,96;60,0;482,0
【SABON】玫瑰茶語沐浴油 500ml;美妝個清;750,0;SABON;規格：1pcs;家福香草沐浴露 500ML 家福香草沐浴露;1280,0;1;1,0;36,0;2959;41.41%;0;12011134001;unique_master_match;1;1;pc;1;;750,0;1280,0;41,40625;count;month;41,41;0,0;28,0;17,0;22,0;6,8;12,0;24,0
VGT喚醒系列沐浴巾-白;美妝個清;89,0;VGT;規格：1PC個x1x1PC個;VGT喚醒系列沐浴巾-白 沐浴巾-白;99,0;1;1,0;120,0;3262;10.10%;1;12014032001;unique_master_match;1;1;pc;1;pc;89,0;99,0;10,1010101010101;count;month;10,1;1,0;42,0;31,0;18,0;2,5;36,0;72,0
VGT喚醒系列沐浴巾-黑藍;美妝個清;89,0;VGT;規格：1PC個x1x1PC個;VGT喚醒系列沐浴巾-黑藍 沐浴巾-黑藍;99,0;1;1,0;120,0;3263;10.10%;1;12014035001;unique_master_match;1;1;pc;1;pc;89,0;99,0;10,1010101010101;count;month;10,1;1,0;42,0;31,0;18,0;2,5;36,0;72,0
【KOSE高絲】雪肌粹潔淨洗面乳120g 3入組 公司貨;美妝個清;768,0;;逛逛專館：美妝保養品專櫃;KOSE雪肌粹洗面乳;777,0;1;;60,0;3344;1.16%;1;12020009001;unique_master_match;1;1;pc;1;;768,0;777,0;1,1583011583011582;count;month;1,16;1,0;49,0;23,0;19,0;6,84;60,0;122,0
OLAY多元修護日霜2入優惠組;美妝個清;879,0;OLAY;規格：1Set組x1x1SET組;OLAY多元修護日霜2入優惠組 歐蕾多元修護組;0,0;1;1,0;36,0;3693;0.00%;0;12023093001;unique_master_match;1;1;set;1;set;879,0;0,0;0,0;count;month;0,0;0,0;48,0;36,0;16,0;4,21;12,0;24,0
我的心機 高效安瓶EX極致淨白面膜4入;美妝個清;298,0;我的心機;規格：4PC片x1x1PC盒;我的心機 高效安瓶EX極致淨白面膜4入;0,0;1;4,0;36,0;3724;0.00%;1;12023195001;unique_master_match;1;1;pc;1;pc;298,0;0,0;0,0;count;month;0,0;1,0;35,0;17,0;23,0;2,13;12,0;24,0
我的心機 高效安瓶EX保濕補水面膜4入;美妝個清;298,0;我的心機;規格：4PC片x1x1PC盒;我的心機 高效安瓶EX保濕補水面膜4入;0,0;1;4,0;36,0;3726;0.00%;1;12023202001;unique_master_match;1;1;pc;1;pc;298,0;0,0;0,0;count;month;0,0;1,0;35,0;17,0;23,0;2,15;12,0;24,0
惹我 清爽吸油蜜粉-3.5g;美妝個清;160,0;;規格：1PC個x1x1Box盒;惹我清爽吸油蜜粉 3.5g 惹我清爽吸油;0,0;1;1,0;60,0;3785;0.00%;1;12031016001;unique_master_match;1;1;pc;1;box;160,0;0,0;0,0;count;month;0,0;1,0;17,0;7,0;8,0;0,3;3,0;6,0
曼秀雷敦Lip Pure純淨植物潤脣;美妝個清;149,0;曼秀雷敦;規格：1PC支x1x1PC支;曼秀雷敦Lip Pure純淨植物潤脣 無香料;152,0;1;1,0;48,0;3816;1.97%;1;12032035001;unique_master_match;1;1;pc;1;pc;149,0;152,0;1,9736842105263157;count;month;1,97;1,0;14,0;11,0;14,0;0,268;12,0;24,0
