title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton;inventory_quantity
美吾髮琥珀檀香雪松精油洗髮露;美妝個清;139,0;美吾髮;規格：700ml毫升x1x1PC瓶;美吾髮琥珀檀香雪松精油洗髮露;150,0;1;700,0;36,0;2043;7.33%;1;12000011001;unique_master_match;1;1;ml;1;pc;139,0;150,0;7,333333333333333;volume;month;7,33;1,0;43,0;23,0;25,0;12,05;12,0;33,0
思波綺瞬亮修護洗髮乳N;美妝個清;255,0;思波綺;規格：450ml毫升x1x1PC瓶;思波綺瞬亮修護洗髮乳 思波綺瞬亮修洗;275,0;1;450,0;36,0;2064;7.27%;1;12000044001;unique_master_match;1;1;ml;1;pc;255,0;275,0;7,2727272727272725;volume;month;7,27;1,0;27,0;18,0;22,0;5,676;9,0;18,0
美吾髮白茶茉莉馨香洗髮露;美妝個清;139,0;美吾髮;規格：700ml毫升x1x1PC瓶;美吾髮白茶茉莉馨香洗髮露;150,0;1;700,0;36,0;2065;7.33%;1;12000045001;unique_master_match;1;1;ml;1;pc;139,0;150,0;7,333333333333333;volume;month;7,33;1,0;43,0;23,0;25,0;12,1;12,0;37,33333333
美吾髮鼠尾草海鹽沁香洗髮露;美妝個清;139,0;美吾髮;規格：700ml毫升x1x1PC瓶;美吾髮鼠尾草沁香洗髮露;150,0;1;700,0;36,0;2074;7.33%;0;12000057001;unique_master_match;1;1;ml;1;pc;139,0;150,0;7,333333333333333;volume;month;7,33;0,0;43,0;23,0;25,0;12,1;12,0;53,0
英國製皂-斑比液態皂 玫瑰與牡丹;美妝個清;560,0;英國製皂;規格：500ml毫升x1x1PC瓶;超值玫瑰洗髮乳;0,0;1;500,0;36,0;2076;0.00%;1;12000059001;unique_master_match;1;1;ml;1;pc;560,0;0,0;0,0;volume;month;0,0;1,0;32,0;32,0;27,0;13,362;6,0;201,3333333
Drs Formula髮根強化洗髮精-清爽(三代);美妝個清;289,0;Dr's Formula;規格：580ml毫升x1x1PC瓶;Drs Formula髮根強化洗髮精清;323,0;1;580,0;36,0;2081;10.53%;1;12000067001;unique_master_match;1;1;ml;1;pc;289,0;323,0;10,526315789473683;volume;month;10,53;1,0;33,0;25,0;24,0;8,44;12,0;64,0
美國箭牌馬洗髮精;美妝個清;355,0;箭牌馬;規格：946ml毫升x1x1Bottle瓶;美國箭牌馬洗髮精 箭牌馬洗髮精;359,0;1;946,0;60,0;2087;1.11%;1;12000075001;unique_master_match;1;1;ml;1;bottle;355,0;359,0;1,1142061281337048;volume;month;1,11;1,0;26,0;18,0;22,0;3,02;6,0;12,0
美國箭牌馬洗髮精;美妝個清;355,0;箭牌馬;規格：946ml毫升x1x1Bottle瓶;美國箭牌馬洗髮精;359,0;1;946,0;60,0;2088;1.11%;0;12000076001;unique_master_match;1;1;ml;1;bottle;355,0;359,0;1,1142061281337048;volume;month;1,11;0,0;26,0;18,0;27,0;7,9;6,0;45,0
Farcent香水奇蹟洗髮露-同名花語;美妝個清;369,0;Farcent 香水;規格：600ml毫升x1x1BOX箱;Farcent香水奇蹟洗髮露-同名花語;0,0;1;600,0;36,0;2090;0.00%;0;12000080001;unique_master_match;1;1;ml;1;box;369,0;0,0;0,0;volume;month;0,0;0,0;36,0;21,0;24,0;8,6;12,0;22,0
美吾髮藍風鈴奢香蓬鬆洗髮露;美妝個清;139,0;美吾髮;規格：700ml毫升x1x1PC瓶;美吾髮藍風鈴奢香蓬鬆洗髮露;150,0;1;700,0;36,0;2106;7.33%;1;12000108001;unique_master_match;1;1;ml;1;pc;139,0;150,0;7,333333333333333;volume;month;7,33;1,0;43,0;23,0;25,0;12,1;12,0;24,0
美吾髮晨霧玫瑰奢香柔順洗髮露;美妝個清;139,0;美吾髮;規格：700ml毫升x1x1PC瓶;美吾髮晨霧玫瑰奢香柔順洗髮露;150,0;1;700,0;36,0;2117;7.33%;0;12000128001;unique_master_match;1;1;ml;1;pc;139,0;150,0;7,333333333333333;volume;month;7,33;0,0;43,0;23,0;25,0;12,1;12,0;24,0
芙夏妮水水亮澤潤髮乳;美妝個清;149,0;芙夏妮;規格：550ml毫升x1x1Bottle瓶;芙夏妮水水亮澤洗髮乳;0,0;1;550,0;36,0;2129;0.00%;1;12000150001;unique_master_match;1;1;ml;1;bottle;149,0;0,0;0,0;volume;month;0,0;1,0;38,0;22,0;25,0;8,07;12,0;132,0
