title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton;inventory_quantity
566護色增亮洗髮乳700g;美妝個清;99,0;566;規格：700g克x1x1Bottle瓶;566 護色增亮洗髮乳;107,0;1;700,0;60,0;2046;7.48%;1;12000015001;unique_master_match;1;1;g;1;bottle;99,0;107,0;7,476636;weight;month;7,48;1,0;39,0;23,0;24,0;9,698;12,0;
566洗潤雙效洗髮乳800g;美妝個清;105,0;566;規格：800g克x1x1Bottle瓶;566洗潤雙效洗髮乳;124,0;1;800,0;60,0;2047;15.32%;0;12000016001;unique_master_match;1;1;g;1;bottle;105,0;124,0;15,322581;weight;month;15,32;0,0;38,0;24,0;21,0;10,068;12,0;59,0
飛柔控油止癢洗髮露;美妝個清;139,0;Pert飛柔;規格：750g克x1x1BOTTLE瓶;飛柔熱油滋潤洗髮乳;0,0;1;750,0;36,0;2050;0.00%;1;12000020001;unique_master_match;1;1;g;1;bottle;139,0;0,0;0,0;weight;month;0,0;1,0;26,0;22,0;23,0;7,03;6,0;30,666667
麗仕柔亮直順洗髮乳;美妝個清;189,0;Lux麗仕;規格：750g克x1x1PC瓶;麗仕柔亮直順洗髮乳 麗仕直順洗髮乳;0,0;1;750,0;36,0;2062;0.00%;1;12000042001;unique_master_match;1;1;g;1;pc;189,0;0,0;0,0;weight;month;0,0;1,0;25,0;17,0;26,0;5,31;6,0;14,0
麗仕柔亮清爽洗髮乳;美妝個清;189,0;Lux麗仕;規格：750g克x1x1PC瓶;麗仕柔亮清爽洗髮乳 麗仕清爽洗髮乳;0,0;1;750,0;36,0;2091;0.00%;1;12000081001;unique_master_match;1;1;g;1;pc;189,0;0,0;0,0;weight;month;0,0;1,0;25,0;17,0;26,0;5,31;6,0;19,0
566薄荷淨屑洗髮露800g;美妝個清;115,0;566;規格：800g克x1x1PC瓶;566 薄荷淨屑洗髮露;124,0;1;800,0;60,0;2096;7.26%;1;12000089001;unique_master_match;1;1;g;1;pc;115,0;124,0;7,258065;weight;month;7,26;1,0;44,0;23,0;23,0;11,1;12,0;39,0
566蛋黃素洗髮乳800g;美妝個清;105,0;566;規格：800g克x1x1Bottle瓶;566蛋黃素洗髮乳;124,0;1;800,0;60,0;2101;15.32%;0;12000097001;unique_master_match;1;1;g;1;bottle;105,0;124,0;15,322581;weight;month;15,32;0,0;38,0;25,0;22,0;11,0;12,0;38,0
飛柔控油去屑洗髮露組;美妝個清;215,0;飛柔;規格：1000g克x1x1SET組;超值薄荷洗髮乳;0,0;1;1000,0;36,0;2104;0.00%;1;12000101001;unique_master_match;1;1;g;1;set;215,0;0,0;0,0;weight;month;0,0;1,0;32,0;32,0;27,0;13,342;6,0;253,0
多芬深層修護洗髮乳;美妝個清;179,0;Dove 多芬;規格：700g克x1x1PC瓶;多芬深層修護洗髮乳;0,0;1;700,0;36,0;2273;0.00%;0;12000125001;ambiguous_master_match_resolved_with_order_history;2;2;g;1;pc;179,0;0,0;0,0;weight;month;0,0;0,0;25,0;17,0;25,0;4,9;6,0;0,0
麗仕柔亮修護洗髮乳;美妝個清;189,0;Lux麗仕;規格：750g克x1x1PC瓶;麗仕柔亮修護洗髮乳 麗仕修護洗髮乳;0,0;1;750,0;36,0;2118;0.00%;1;12000129001;unique_master_match;1;1;g;1;pc;189,0;0,0;0,0;weight;month;0,0;1,0;25,0;17,0;26,0;5,31;6,0;13,0
潘婷奇蹟系列柔亮護色護髮精華素;美妝個清;329,0;Pantene潘婷;規格：500g克x1x1PC瓶;潘婷奇蹟系列柔亮護色洗髮露 潘婷奇蹟護色洗;355,0;1;500,0;36,0;2121;7.32%;0;12000135001;unique_master_match;1;1;g;1;pc;329,0;355,0;7,323944;weight;month;7,32;0,0;22,0;23,0;24,0;5,78;9,0;18,0
花香5原效洗髮乳-茉莉花香;美妝個清;129,0;花香5;規格：1100g克x1x1Bottle瓶;花香5原效洗髮乳-茉莉花香;158,0;1;1100,0;36,0;2128;18.35%;0;12000149001;unique_master_match;1;1;g;1;bottle;129,0;158,0;18,35443;weight;month;18,35;0,0;47,0;28,0;25,0;15,032;12,0;40,0
