title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton
【限量】白蘭氏雙認證雞精禮盒68mlx12(獨立包裝);飲料零食;759,0;白蘭氏;規格：1Box盒x1x1Box盒;白蘭氏雙認證雞精 68mlX12;0,0;1;1,0;36,0;356;0.00%;1;10023083001;unique_master_match;1;1;box;1;box;759,0;0,0;0,0;count;month;0,0;1,0;35,0;24,0;25,0;13,83;6,0
桂格雙效活靈芝禮盒60ml*8;飲料零食;479,0;桂格;規格：1Box盒x1x1Box盒;桂格雙效活靈芝禮盒60ml*8;599,0;1;1,0;24,0;730;20.03%;1;10904008001;unique_master_match;1;1;box;1;box;479,0;599,0;20,03338898163606;count;month;20,03;1,0;47,0;31,0;17,0;10,32;6,0
桂格養氣人蔘禮盒60mlx8;飲料零食;478,0;桂格;規格：1Box盒x1x1Box盒;桂格養氣人蔘滋補大禮盒60ml*8;509,0;1;1,0;24,0;734;6.09%;0;10904021001;unique_master_match;1;1;box;1;box;478,0;509,0;6,090373280943026;count;month;6,09;0,0;48,0;31,0;19,0;10,53;6,0
桂格養氣人蔘禮盒60mlx8;飲料零食;478,0;桂格;規格：1Box盒x1x1Box盒;桂格養氣人蔘禮盒60mlx8;509,0;1;1,0;24,0;737;6.09%;0;10904899001;unique_master_match;1;1;box;1;box;478,0;509,0;6,090373280943026;count;month;6,09;0,0;47,0;31,0;6,0;8,81;6,0
[義美]義美純麥取向蘇打餅205g;飲料零食;43,0;義美;規格：純麥取向蘇打餅x1盒;義美健康取向原味蘇打;0,0;1;;12,0;5267;0.00%;1;14001001001;unique_master_match;1;1;box;1;box;43,0;0,0;0,0;count;month;0,0;1,0;36,0;24,0;38,0;4,01;8,0
【劉霸】蜂蜜銅鑼燒 (一箱);飲料零食;1125,0;;逛逛專館：劉霸食品行;好麗友烏龜玉米脆片 (韓國烤麻糬風味);0,0;1;;1,0;5504;0.00%;0;14011044001;unique_master_match;1;1;pc;1;;1125,0;0,0;0,0;count;month;0,0;0,0;36,0;36,0;25,0;1,55;12,0
【劉霸】蜂蜜銅鑼燒 (一箱);飲料零食;1125,0;;逛逛專館：劉霸食品行;上好佳蔬菜點心棒;0,0;1;;1,0;5549;0.00%;0;14014026001;unique_master_match;1;1;pc;1;;1125,0;0,0;0,0;count;month;0,0;0,0;48,0;31,0;39,0;2,26;12,0
[義美]義美消化餅156g(黑可可口味)，超級便宜👍;飲料零食;47,0;義美;規格：消化餅-黑可可x1盒;義美巧克力消化餅;0,0;1;;12,0;5741;0.00%;0;14102087001;unique_master_match;1;1;box;1;box;47,0;0,0;0,0;count;month;0,0;0,0;53,0;22,0;28,0;4,478;12,0
[義美]義美消化餅156g(黑可可口味)，超級便宜👍;飲料零食;47,0;義美;規格：消化餅-黑可可x1盒;義美黑可可消化餅;0,0;1;;12,0;5742;0.00%;0;14102115001;unique_master_match;1;1;box;1;box;47,0;0,0;0,0;count;month;0,0;0,0;53,0;22,0;28,0;4,478;12,0
[義美]義美消化餅156g(黑可可口味)，超級便宜👍;飲料零食;47,0;義美;規格：消化餅-黑可可x1盒;義美消化餅;0,0;1;;12,0;5776;0.00%;1;14104016001;unique_master_match;1;1;box;1;box;47,0;0,0;0,0;count;month;0,0;1,0;40,0;23,0;36,0;5,0;12,0
