title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton;inventory_quantity
UCC BLACK無糖黑咖啡飲料275g;飲料零食;41,0;UCC;規格：275g克x1x1Can罐;UCC BLACK無糖黑咖啡飲料275g;48,0;1;275,0;12,0;247;14.58%;1;10020028001;unique_master_match;1;1;g;1;can;41,0;48,0;14,583333;weight;month;14,58;1,0;41,0;27,0;14,0;7,24;24,0;413,0
白蘭氏葉黃素精華凍15Gx21入;飲料零食;895,0;白蘭氏;規格：15g克x21x1BOX盒;白蘭氏葉黃素精華凍15Gx21入;0,0;1;15,0;18,0;324;0.00%;0;10023011001;unique_master_match;1;1;g;21;box;42,619048;0,0;0,0;weight;month;0,0;0,0;27,0;20,0;20,0;2,69;6,0;242,0
天地合補純正官燕窩;飲料零食;1299,0;天地合補;規格：70g克x6x1Box盒;天地合補純正官燕窩;0,0;1;70,0;24,0;333;0.00%;0;10023032001;unique_master_match;1;1;g;6;box;216,5;0,0;0,0;weight;month;0,0;0,0;47,0;35,0;20,0;8,2;6,0;21,333333
白蘭氏冰糖燕窩禮盒70gx5;飲料零食;1049,0;白蘭氏;規格：70g克x5x1BOX盒;白蘭氏冰糖燕窩禮盒70gx5;0,0;1;70,0;24,0;360;0.00%;1;10023102001;unique_master_match;1;1;g;5;box;209,8;0,0;0,0;weight;month;0,0;1,0;48,0;36,0;22,0;8,95;6,0;27,0
泰山仙草凍255g;飲料零食;115,0;泰山;規格：255g克x1x6Can罐;泰山仙草凍255g;120,0;1;255,0;24,0;588;4.17%;1;10035041001;unique_master_match;1;1;g;6;can;19,166667;20,0;4,166667;weight;month;4,17;1,0;41,0;27,0;10,0;7,59;24,0;2074,0
旺旺厚燒鹽味;飲料零食;59,0;旺旺;規格：150g克x1x1Pack包;厚燒鹽味;0,0;1;150,0;6,0;5199;0.00%;1;14000002001;unique_master_match;1;1;g;1;pack;59,0;0,0;0,0;weight;month;0,0;1,0;34,0;27,0;35,0;2,75;12,0;814,0
旺旺仙貝經濟包;飲料零食;107,0;旺旺;規格：350g克x1x1Pack包;旺旺仙貝經濟包;112,0;1;350,0;6,0;5200;4.46%;0;14000003001;unique_master_match;1;1;g;1;pack;107,0;112,0;4,464286;weight;month;4,46;0,0;60,0;34,0;28,0;3,892;7,0;3433,0
旺仔雪餅;飲料零食;27,0;旺旺;規格：75g克x1x1Pack包;雪餅;30,0;1;75,0;6,0;5202;10.00%;1;14000006001;unique_master_match;1;1;g;1;pack;27,0;30,0;10,0;weight;month;10,0;1,0;60,0;34,0;29,0;4,77;9,0;2244,0
瑞花經濟包-輕辣;飲料零食;109,0;旺旺;規格：350g克x1x1Bag袋;瑞花經濟包-輕辣;135,0;1;350,0;6,0;5203;19.26%;1;14000008001;unique_master_match;1;1;g;1;bag;109,0;135,0;19,259259;weight;month;19,26;1,0;44,0;35,0;22,0;3,44;5,0;618,333333
波貝仙;飲料零食;109,0;旺旺;規格：350g克x1x1Pack包;波貝仙;135,0;1;350,0;6,0;5204;19.26%;1;14000010001;unique_master_match;1;1;g;1;pack;109,0;135,0;19,259259;weight;month;19,26;1,0;48,0;32,0;23,0;2,91;5,0;727,0
旺旺金澎派;飲料零食;109,0;旺旺;規格：343g克x1x1Pack包;旺旺金澎派;128,0;1;343,0;6,0;5205;14.84%;1;14000011001;unique_master_match;1;1;g;1;pack;109,0;128,0;14,84375;weight;month;14,84;1,0;65,0;36,0;20,0;3,46;5,0;841,0
米豆;飲料零食;109,0;旺旺;規格：350g克x1x1Pack包;米豆;135,0;1;350,0;9,0;5206;19.26%;1;14000014001;unique_master_match;1;1;g;1;pack;109,0;135,0;19,259259;weight;month;19,26;1,0;41,0;34,0;23,0;2,92;5,0;1014,0
旺旺岩塚仙貝經濟包;飲料零食;109,0;旺旺;規格：350g克x1x1Pack包;旺旺岩塚仙貝經濟包;112,0;1;350,0;6,0;5207;2.68%;0;14000015001;unique_master_match;1;1;g;1;pack;109,0;112,0;2,678571;weight;month;2,68;0,0;45,0;34,0;24,0;3,46;5,0;417,666667
旺旺起司米餅;飲料零食;66,0;旺旺;規格：105g克x1x1Pack包;旺旺起司米餅;0,0;1;105,0;6,0;5209;0.00%;1;14000018001;unique_master_match;1;1;g;1;pack;66,0;0,0;0,0;weight;month;0,0;1,0;53,0;29,0;19,0;1,268;12,0;485,0
厚燒海苔經濟包350g;飲料零食;109,0;旺旺;規格：350g克x1x1Pack包;厚燒海苔經濟包;128,0;1;350,0;6,0;5210;14.84%;1;14000020001;unique_master_match;1;1;g;1;pack;109,0;128,0;14,84375;weight;month;14,84;1,0;60,0;34,0;29,0;4,8;9,0;1606,0
北田蒟蒻糙米捲(綜合口味);飲料零食;77,0;北田;規格：320g克x1x1Bag袋;北田蒟蒻糙米捲 -巧克力口味;94,0;1;320,0;12,0;5211;18.09%;1;14000021001;unique_master_match;1;1;g;1;bag;77,0;94,0;18,085106;weight;month;18,09;1,0;46,0;28,0;14,0;2,69;12,0;326,0
旺旺仙貝經濟包;飲料零食;107,0;旺旺;規格：350g克x1x1Pack包;旺旺仙貝;112,0;1;350,0;6,0;5212;4.46%;1;14000022001;unique_master_match;1;1;g;1;pack;107,0;112,0;4,464286;weight;month;4,46;1,0;41,0;21,0;13,0;0,99;10,0;2748,0
旺仔雪餅;飲料零食;27,0;旺旺;規格：75g克x1x1Pack包;旺仔雪餅;30,0;1;75,0;6,0;5213;10.00%;1;14000023001;unique_master_match;1;1;g;1;pack;27,0;30,0;10,0;weight;month;10,0;1,0;40,0;27,0;26,0;2,44;20,0;1352,0
黑豆米果;飲料零食;73,0;旺旺;規格：160g克x1x1PACK包;黑豆米果;76,0;1;160,0;9,0;5214;3.95%;1;14000025001;unique_master_match;1;1;g;1;pack;73,0;76,0;3,947368;weight;month;3,95;1,0;41,0;29,0;22,0;2,53;10,0;170,0
旺旺米起司厚脆片經濟包;飲料零食;108,0;旺旺;規格：350g克x1x1Pack包;旺旺米起司厚脆片經濟包;112,0;1;350,0;6,0;5215;3.57%;1;14000027001;unique_master_match;1;1;g;1;pack;108,0;112,0;3,571429;weight;month;3,57;1,0;46,0;32,0;21,0;2,75;5,0;423,0
北田蒟蒻糙米捲(綜合口味);飲料零食;77,0;北田;規格：320g克x1x1Bag袋;北田蒟蒻糙米捲(綜合口味);94,0;1;320,0;12,0;5217;18.09%;0;14000032001;unique_master_match;1;1;g;1;bag;77,0;94,0;18,085106;weight;month;18,09;0,0;47,0;27,0;36,0;5,15;12,0;1573,0
北田蒟蒻糙米捲160g(芝士);飲料零食;42,0;北田;規格：160g克x1x1Bag袋;北田蒟蒻糙米捲(芝士口味);0,0;1;160,0;12,0;5218;0.00%;1;14000033001;unique_master_match;1;1;g;1;bag;42,0;0,0;0,0;weight;month;0,0;1,0;44,0;28,0;14,0;2,6;12,0;279,0
三幸 越後樽燒米果(醬油風味);飲料零食;66,0;三幸製菓;規格：81g克x1x1Pack包;三幸 越後樽燒醬油米果;75,0;1;81,0;6,0;5219;12.00%;1;14000036001;unique_master_match;1;1;g;1;pack;66,0;75,0;12,0;weight;month;12,0;1,0;45,0;25,0;19,0;1,75;12,0;82,0
北田蒟蒻糙米捲(綜合口味);飲料零食;77,0;北田;規格：320g克x1x1Bag袋;北田蒟蒻糙米捲-蛋黃;94,0;1;320,0;12,0;5220;18.09%;1;14000039001;unique_master_match;1;1;g;1;bag;77,0;94,0;18,085106;weight;month;18,09;1,0;46,0;28,0;14,0;2,8;12,0;2155,0
有田製果雪屋(原味);飲料零食;67,0;有田製菓;規格：190g克x1x1Pack包;有田製果雪屋 (原味);71,0;1;190,0;6,0;5221;5.63%;1;14000040001;unique_master_match;1;1;g;1;pack;67,0;71,0;5,633803;weight;month;5,63;1,0;40,0;27,0;35,0;3,43;12,0;773,0
