section,dataset,column,metric,value
profile,product_raw,,row_count,5748
profile,product_raw,,column_count,13
profile,product_raw,title,dtype,str
profile,product_raw,title,null_count,0
profile,product_raw,title,unique_count,5031
profile,product_raw,title,min_length,2
profile,product_raw,title,max_length,86
profile,product_raw,title,top_patterns,中:1016 | 中999a:527 | 中-中:278
profile,product_raw,category,dtype,str
profile,product_raw,category,null_count,0
profile,product_raw,category,unique_count,12
profile,product_raw,category,min_length,4
profile,product_raw,category,max_length,6
profile,product_raw,category,top_patterns,中:5744 | 中9a:4
profile,product_raw,price,dtype,str
profile,product_raw,price,null_count,0
profile,product_raw,price,unique_count,567
profile,product_raw,price,min_length,1
profile,product_raw,price,max_length,5
profile,product_raw,price,top_patterns,999:3212 | 99:2362 | 9999:164
profile,product_raw,price,numeric_min,6.0
profile,product_raw,price,numeric_max,27800.0
profile,product_raw,price,numeric_variance,529316.7374231735
profile,product_raw,brand,dtype,str
profile,product_raw,brand,null_count,517
profile,product_raw,brand,unique_count,839
profile,product_raw,brand,min_length,1
profile,product_raw,brand,max_length,23
profile,product_raw,brand,top_patterns,中:4033 | a 中:325 | a:291
profile,product_raw,brand,numeric_min,77.0
profile,product_raw,brand,numeric_max,1881.0
profile,product_raw,brand,numeric_variance,111875.14569160999
profile,product_raw,specification,dtype,str
profile,product_raw,specification,null_count,0
profile,product_raw,specification,unique_count,2215
profile,product_raw,specification,min_length,4
profile,product_raw,specification,max_length,23
profile,product_raw,specification,top_patterns,中：999a中a9a9a中:2694 | 中：9a中a9a9a中:955 | 中：99a中a9a9a中:823
profile,product_raw,query,dtype,str
profile,product_raw,query,null_count,0
profile,product_raw,query,unique_count,5748
profile,product_raw,query,min_length,2
profile,product_raw,query,max_length,25
profile,product_raw,query,top_patterns,中:1702 | 中999a:421 | 中 中:323
profile,product_raw,original_price,dtype,float64
profile,product_raw,original_price,null_count,2020
profile,product_raw,original_price,unique_count,551
profile,product_raw,original_price,min_length,3
profile,product_raw,original_price,max_length,5
profile,product_raw,original_price,top_patterns,999.9:2402 | 99.9:1165 | 9.999:78
profile,product_raw,original_price,numeric_min,1.0
profile,product_raw,original_price,numeric_max,999.0
profile,product_raw,original_price,numeric_variance,27325.613490685348
profile,product_raw,original_price_checked,dtype,int64
profile,product_raw,original_price_checked,null_count,0
profile,product_raw,original_price_checked,unique_count,1
profile,product_raw,original_price_checked,min_length,1
profile,product_raw,original_price_checked,max_length,1
profile,product_raw,original_price_checked,top_patterns,9:5748
profile,product_raw,original_price_checked,numeric_min,1.0
profile,product_raw,original_price_checked,numeric_max,1.0
profile,product_raw,original_price_checked,numeric_variance,0.0
profile,product_raw,capacity,dtype,str
profile,product_raw,capacity,null_count,123
profile,product_raw,capacity,unique_count,747
profile,product_raw,capacity,min_length,3
profile,product_raw,capacity,max_length,12
profile,product_raw,capacity,top_patterns,999a中:2896 | 9a中:1011 | 99a中:977
profile,product_raw,shelf_life,dtype,str
profile,product_raw,shelf_life,null_count,336
profile,product_raw,shelf_life,unique_count,103
profile,product_raw,shelf_life,min_length,2
profile,product_raw,shelf_life,max_length,20
profile,product_raw,shelf_life,top_patterns,9中:1982 | 999中:1451 | 99中:979
profile,product_raw,shelf_life,numeric_min,3636.0
profile,product_raw,shelf_life,numeric_max,9999.0
profile,product_raw,shelf_life,numeric_variance,10121942.25
profile,product_raw,order,dtype,int64
profile,product_raw,order,null_count,0
profile,product_raw,order,unique_count,5748
profile,product_raw,order,min_length,1
profile,product_raw,order,max_length,5
profile,product_raw,order,top_patterns,9999:5019 | 999:532 | 99999:121
profile,product_raw,order,numeric_min,2.0
profile,product_raw,order,numeric_max,10312.0
profile,product_raw,order,numeric_variance,8980086.126911439
profile,product_raw,Discount,dtype,str
profile,product_raw,Discount,null_count,0
profile,product_raw,Discount,unique_count,1180
profile,product_raw,Discount,min_length,5
profile,product_raw,Discount,max_length,10
profile,product_raw,Discount,top_patterns,9.99%:3519 | 99.99%:2225 | #a!:2
profile,product_raw,Promo,dtype,str
profile,product_raw,Promo,null_count,0
profile,product_raw,Promo,unique_count,3
profile,product_raw,Promo,min_length,1
profile,product_raw,Promo,max_length,7
profile,product_raw,Promo,top_patterns,9:5742 | #a!:6
profile,product_raw,Promo,numeric_min,0.0
profile,product_raw,Promo,numeric_max,1.0
profile,product_raw,Promo,numeric_variance,0.22995275422040093
profile,master_raw,,row_count,10321
profile,master_raw,,column_count,12
profile,master_raw,item_code,dtype,int64
profile,master_raw,item_code,null_count,0
profile,master_raw,item_code,unique_count,10320
profile,master_raw,item_code,min_length,11
profile,master_raw,item_code,max_length,11
profile,master_raw,item_code,top_patterns,99999999999:10321
profile,master_raw,item_code,numeric_min,10000001001.0
profile,master_raw,item_code,numeric_max,66511056001.0
profile,master_raw,item_code,numeric_variance,6.997143675349219e+19
profile,master_raw,註記,dtype,str
profile,master_raw,註記,null_count,0
profile,master_raw,註記,unique_count,10064
profile,master_raw,註記,min_length,2
profile,master_raw,註記,max_length,39
profile,master_raw,註記,top_patterns,中:2479 | 中 中:721 | 中999a:682
profile,master_raw,(箱)長cm,dtype,float64
profile,master_raw,(箱)長cm,null_count,675
profile,master_raw,(箱)長cm,unique_count,107
profile,master_raw,(箱)長cm,min_length,3
profile,master_raw,(箱)長cm,max_length,5
profile,master_raw,(箱)長cm,top_patterns,99.9:9566 | 9.9:69 | 999.9:11
profile,master_raw,(箱)長cm,numeric_min,0.0
profile,master_raw,(箱)長cm,numeric_max,157.0
profile,master_raw,(箱)長cm,numeric_variance,143.44446047310967
profile,master_raw,(箱)寬cm,dtype,float64
profile,master_raw,(箱)寬cm,null_count,675
profile,master_raw,(箱)寬cm,unique_count,76
profile,master_raw,(箱)寬cm,min_length,3
profile,master_raw,(箱)寬cm,max_length,5
profile,master_raw,(箱)寬cm,top_patterns,99.9:9320 | 9.9:325 | 999.9:1
profile,master_raw,(箱)寬cm,numeric_min,0.0
profile,master_raw,(箱)寬cm,numeric_max,100.0
profile,master_raw,(箱)寬cm,numeric_variance,69.77203594429193
profile,master_raw,(箱)高cm,dtype,float64
profile,master_raw,(箱)高cm,null_count,675
profile,master_raw,(箱)高cm,unique_count,83
profile,master_raw,(箱)高cm,min_length,3
profile,master_raw,(箱)高cm,max_length,4
profile,master_raw,(箱)高cm,top_patterns,99.9:9275 | 9.9:371
profile,master_raw,(箱)高cm,numeric_min,0.0
profile,master_raw,(箱)高cm,numeric_max,91.0
profile,master_raw,(箱)高cm,numeric_variance,76.02517563807295
profile,master_raw,(箱)重量,dtype,float64
profile,master_raw,(箱)重量,null_count,675
profile,master_raw,(箱)重量,unique_count,2489
profile,master_raw,(箱)重量,min_length,3
profile,master_raw,(箱)重量,max_length,6
profile,master_raw,(箱)重量,top_patterns,9.99:4026 | 9.9:2481 | 99.99:1235
profile,master_raw,(箱)重量,numeric_min,0.0
profile,master_raw,(箱)重量,numeric_max,37.25
profile,master_raw,(箱)重量,numeric_variance,23.882155453829753
profile,master_raw,箱入數,dtype,float64
profile,master_raw,箱入數,null_count,266
profile,master_raw,箱入數,unique_count,52
profile,master_raw,箱入數,min_length,3
profile,master_raw,箱入數,max_length,5
profile,master_raw,箱入數,top_patterns,99.9:7132 | 9.9:2887 | 999.9:36
profile,master_raw,箱入數,numeric_min,1.0
