section,dataset,column,metric,value
verification,product_final,,row_count,4833
verification,order_final,,row_count,249870
verification,alignment,,product_unique_item_codes,4833
verification,alignment,,order_unique_item_codes,4833
verification,alignment,,product_only_item_codes,0
verification,alignment,,order_only_item_codes,0
verification,product_final,item_code,missing_item_code_rows,0
verification,product_final,item_code,duplicate_item_code_rows,0
verification,order_final,item_code,missing_item_code_rows,0
verification,order_final,,exact_duplicate_rows,0
verification,order_final,created_at,invalid_timestamps,0
verification,order_final,quantity,nonpositive_quantities,0
