metric;value
cutoff_ratio;0.8095238095238095
cutoff_timestamp;2021-08-18 00:05:11.428571
source_order_rows;220081
source_unique_orders;49278
source_unique_item_codes;4810
threshold_skus_available;3149
inventory_threshold_blocked_lines;0
inventory_threshold_blocked_unique_orders;0
inventory_threshold_blocked_unique_item_codes;0
remaining_order_rows;220081
remaining_unique_orders;49278
remaining_unique_item_codes;4810
train_order_rows;171099
test_order_rows;48982
train_unique_orders;32614
test_unique_orders;16664
train_unique_item_codes;4607
test_unique_item_codes;3487
product_overlap_item_codes;3284
