item_code;sample_count;q1;q3;iqr;upper_bound;max_quantity;outlier_order_line_count;threshold_status
10000001001;25;2,0;8,0;6,0;26,0;24,0;0;iqr_rule
10000002001;686;2,0;24,0;22,0;90,0;60,0;0;iqr_rule
10000003001;153;6,0;24,0;18,0;78,0;96,0;2;iqr_rule
10000004001;146;6,0;18,0;12,0;54,0;48,0;0;iqr_rule
10000005001;516;6,0;24,0;18,0;78,0;108,0;10;iqr_rule
10000007001;301;6,0;24,0;18,0;78,0;96,0;3;iqr_rule
10000008001;4;12,0;15,0;3,0;24,0;24,0;0;iqr_rule
10000010001;181;3,0;12,0;9,0;39,0;72,0;2;iqr_rule
10000011001;1119;24,0;48,0;24,0;120,0;480,0;56;iqr_rule
10000012001;118;4,0;24,0;20,0;84,0;52,0;0;iqr_rule
10000022001;65;1,0;4,0;3,0;13,0;24,0;5;iqr_rule
10000023001;24;4,0;4,0;0,0;;24,0;0;zero_iqr_no_outlier_rule
10000027001;65;8,0;24,0;16,0;72,0;48,0;0;iqr_rule
10000998001;645;1,0;2,0;1,0;5,0;4,0;0;iqr_rule
10001001001;158;1,0;6,0;5,0;21,0;51,0;8;iqr_rule
10001004001;440;1,0;6,0;5,0;21,0;48,0;29;iqr_rule
10001005001;94;6,0;24,0;18,0;78,0;48,0;0;iqr_rule
10001006001;572;6,0;24,0;18,0;78,0;264,0;4;iqr_rule
10001007001;18;4,0;12,0;8,0;36,0;24,0;0;iqr_rule
10001008001;61;6,0;6,0;0,0;;30,0;0;zero_iqr_no_outlier_rule
10001009001;571;24,0;48,0;24,0;120,0;240,0;1;iqr_rule
10001010001;5;12,0;12,0;0,0;;24,0;0;zero_iqr_no_outlier_rule
10001012001;473;24,0;48,0;24,0;120,0;168,0;7;iqr_rule
10001015001;62;4,0;8,0;4,0;20,0;48,0;13;iqr_rule
10001020001;110;6,0;24,0;18,0;78,0;54,0;0;iqr_rule
10001022001;128;4,0;8,0;4,0;20,0;48,0;21;iqr_rule
10001025001;295;24,0;36,0;12,0;72,0;192,0;1;iqr_rule
10001035001;89;4,0;8,0;4,0;20,0;48,0;11;iqr_rule
10002001001;317;24,0;48,0;24,0;120,0;72,0;0;iqr_rule
10002003001;171;4,0;24,0;20,0;84,0;48,0;0;iqr_rule
10002005001;363;6,0;24,0;18,0;78,0;168,0;1;iqr_rule
10002007001;200;6,0;24,0;18,0;78,0;48,0;0;iqr_rule
10002008001;404;24,0;48,0;24,0;120,0;192,0;8;iqr_rule
10002009001;240;4,0;24,0;20,0;84,0;96,0;8;iqr_rule
10002011001;8;4,0;8,0;4,0;20,0;12,0;0;iqr_rule
10002012001;66;6,0;24,0;18,0;78,0;90,0;4;iqr_rule
10002013001;4;24,0;30,0;6,0;48,0;48,0;0;iqr_rule
10002014001;144;6,0;24,0;18,0;78,0;96,0;1;iqr_rule
10002017001;205;6,0;12,0;6,0;30,0;48,0;14;iqr_rule
10002018001;817;6,0;24,0;18,0;78,0;120,0;1;iqr_rule
10002019001;390;12,0;24,0;12,0;60,0;120,0;8;iqr_rule
10002021001;477;24,0;24,0;0,0;;144,0;0;zero_iqr_no_outlier_rule
10002025001;97;1,0;2,0;1,0;5,0;24,0;15;iqr_rule
10002026001;4;12,0;15,0;3,0;24,0;24,0;0;iqr_rule
10002035001;185;1,0;3,0;2,0;9,0;48,0;13;iqr_rule
10002037001;7;1,0;1,5;0,5;3,0;6,0;1;iqr_rule
10002038001;8;1,0;5,25;4,25;18,0;6,0;0;iqr_rule
10002039001;2;12,0;12,0;0,0;;12,0;0;insufficient_samples
10002040001;84;1,0;6,0;5,0;21,0;48,0;4;iqr_rule
10002045001;259;1,0;3,0;2,0;9,0;24,0;23;iqr_rule
10002046001;144;12,0;24,0;12,0;60,0;96,0;1;iqr_rule
10002051001;10;3,0;6,0;3,0;15,0;6,0;0;iqr_rule
10002069001;62;1,0;3,0;2,0;9,0;15,0;4;iqr_rule
10002071001;147;4,0;8,0;4,0;20,0;32,0;5;iqr_rule
10002072001;66;1,0;2,0;1,0;5,0;36,0;13;iqr_rule
10002073001;64;6,0;24,0;18,0;78,0;48,0;0;iqr_rule
10002074001;105;1,0;3,0;2,0;9,0;24,0;13;iqr_rule
10002078001;8;6,0;6,0;0,0;;6,0;0;zero_iqr_no_outlier_rule
10002102001;401;12,0;24,0;12,0;60,0;120,0;27;iqr_rule
10002899001;3;6,0;15,0;9,0;;24,0;0;insufficient_samples
10002906001;96;4,0;8,0;4,0;20,0;24,0;14;iqr_rule
10002911001;1;6,0;6,0;0,0;;6,0;0;insufficient_samples
