scenario;replication;replications_total;order_mode;bootstrap_seed;pod_location_mode;pod_location_seed;ticks_elapsed;steps_elapsed;stopped_cleanly_before_horizon;arrived_orders_by_horizon;fulfilled_orders;fulfilled_over_arrived;throughput_orders_per_hour;on_hold_orders;unfinished_orders;job_queue_length;sku_queue_length;pod_visits;delivered_order_lines;picked_units;delivered_order_lines_per_pod_visit;picked_units_per_pod_visit;replenishment_count;replenishment_trips;health_status_final;health_consistency_violations;health_zombie_orders;health_pending_replenishment_count;health_aged_pending_replenishment_count;health_oldest_pending_replenishment_age;health_last_progress_tick;health_progress_gap;health_stalled_tick_count;stop_and_go;total_energy;total_fixed_load_energy;variable_energy;energy_per_fulfilled_order;fixed_energy_per_fulfilled_order;variable_energy_per_delivered_line;energy_per_pod_visit;variable_energy_per_pod_visit;wall_clock_seconds
Scenario 4 (Sij);1;12;fixed_actual;;shuffle;42;1.05;7;0;76;0;0.0;0.0;0;76;0;5;18;0;0;0.0;0.0;0;0;healthy;0;0;0;0;0;0;1;0;0;1038.6043596580394;492.2736;546.3307596580394;0.0;0.0;0.0;57.700242203224406;30.351708869891077;1.758192777633667
Scenario 4 (Sij);2;12;fixed_actual;;shuffle;42;1.05;7;0;76;0;0.0;0.0;0;76;0;5;18;0;0;0.0;0.0;0;0;healthy;0;0;0;0;0;0;1;0;0;1038.6043596580394;492.2736;546.3307596580394;0.0;0.0;0.0;57.700242203224406;30.351708869891077;0.254608154296875
Scenario 4 (Sij);3;12;fixed_actual;;shuffle;42;1.05;7;0;76;0;0.0;0.0;0;76;0;5;18;0;0;0.0;0.0;0;0;healthy;0;0;0;0;0;0;1;0;0;1038.6043596580394;492.2736;546.3307596580394;0.0;0.0;0.0;57.700242203224406;30.351708869891077;0.29544782638549805
Scenario 4 (Sij);4;12;fixed_actual;;shuffle;42;1.05;7;0;76;0;0.0;0.0;0;76;0;5;18;0;0;0.0;0.0;0;0;healthy;0;0;0;0;0;0;1;0;0;1038.6043596580394;492.2736;546.3307596580394;0.0;0.0;0.0;57.700242203224406;30.351708869891077;0.24218535423278809
Scenario 4 (Sij);5;12;fixed_actual;;shuffle;42;1.05;7;0;76;0;0.0;0.0;0;76;0;5;18;0;0;0.0;0.0;0;0;healthy;0;0;0;0;0;0;1;0;0;1038.6043596580394;492.2736;546.3307596580394;0.0;0.0;0.0;57.700242203224406;30.351708869891077;0.3110172748565674
Scenario 4 (Sij);6;12;fixed_actual;;shuffle;42;1.05;7;0;76;0;0.0;0.0;0;76;0;5;18;0;0;0.0;0.0;0;0;healthy;0;0;0;0;0;0;1;0;0;1038.6043596580394;492.2736;546.3307596580394;0.0;0.0;0.0;57.700242203224406;30.351708869891077;0.23716282844543457
Scenario 4 (Sij);7;12;fixed_actual;;shuffle;42;1.05;7;0;76;0;0.0;0.0;0;76;0;5;18;0;0;0.0;0.0;0;0;healthy;0;0;0;0;0;0;1;0;0;1038.6043596580394;492.2736;546.3307596580394;0.0;0.0;0.0;57.700242203224406;30.351708869891077;0.30416035652160645
Scenario 4 (Sij);8;12;fixed_actual;;shuffle;42;1.05;7;0;76;0;0.0;0.0;0;76;0;5;18;0;0;0.0;0.0;0;0;healthy;0;0;0;0;0;0;1;0;0;1038.6043596580394;492.2736;546.3307596580394;0.0;0.0;0.0;57.700242203224406;30.351708869891077;0.2478325366973877
Scenario 4 (Sij);9;12;fixed_actual;;shuffle;42;1.05;7;0;76;0;0.0;0.0;0;76;0;5;18;0;0;0.0;0.0;0;0;healthy;0;0;0;0;0;0;1;0;0;1038.6043596580394;492.2736;546.3307596580394;0.0;0.0;0.0;57.700242203224406;30.351708869891077;0.3130836486816406
Scenario 4 (Sij);10;12;fixed_actual;;shuffle;42;1.05;7;0;76;0;0.0;0.0;0;76;0;5;18;0;0;0.0;0.0;0;0;healthy;0;0;0;0;0;0;1;0;0;1038.6043596580394;492.2736;546.3307596580394;0.0;0.0;0.0;57.700242203224406;30.351708869891077;0.24050617218017578
Scenario 4 (Sij);11;12;fixed_actual;;shuffle;43;1.05;7;0;76;0;0.0;0.0;0;76;0;5;18;0;0;0.0;0.0;0;0;healthy;0;0;0;0;0;0;1;0;0;901.3429036012853;0.0;901.3429036012853;0.0;0.0;0.0;50.07460575562696;50.07460575562696;0.22235321998596191
Scenario 4 (Sij);12;12;fixed_actual;;shuffle;43;1.05;7;0;76;0;0.0;0.0;0;76;0;5;18;0;0;0.0;0.0;0;0;healthy;0;0;0;0;0;0;1;0;0;901.3429036012853;0.0;901.3429036012853;0.0;0.0;0.0;50.07460575562696;50.07460575562696;0.16783666610717773
