item_code,box_length,box_width,box_height,box_weight,item_weight,box_volume,item_volume,number_of_item_in_box,slot_type,l_c,w_c,h_c,slot_volume,orientation,max_box_in_slot,max_item_in_slot,max_item_in_slot_volume,max_item_in_slot_weight
10000001001,45.0,30.0,24.0,15.7,0.6541666666666667,32400.0,1350.0,24,3.0,60.0,25.0,43.0,64500.0,1,1,24,32400.0,15.7
10000001001,45.0,30.0,24.0,15.7,0.6541666666666667,32400.0,1350.0,24,4.0,120.0,25.0,43.0,129000.0,1,2,48,64800.0,31.4
10000002001,34.0,23.0,31.0,13.31,2.2183333333333333,24242.0,4040.3,6,0.0,40.0,25.0,43.0,43000.0,0,1,6,24242.0,13.31
10000002001,34.0,23.0,31.0,13.31,2.2183333333333333,24242.0,4040.3,6,0.0,40.0,25.0,43.0,43000.0,3,1,6,24242.0,13.31
10000002001,34.0,23.0,31.0,13.31,2.2183333333333333,24242.0,4040.3,6,1.0,40.0,25.0,31.0,31000.0,0,1,6,24242.0,13.31
10000002001,34.0,23.0,31.0,13.31,2.2183333333333333,24242.0,4040.3,6,3.0,60.0,25.0,43.0,64500.0,0,1,6,24242.0,13.31
10000002001,34.0,23.0,31.0,13.31,2.2183333333333333,24242.0,4040.3,6,3.0,60.0,25.0,43.0,64500.0,3,1,6,24242.0,13.31
10000002001,34.0,23.0,31.0,13.31,2.2183333333333333,24242.0,4040.3,6,4.0,120.0,25.0,43.0,129000.0,0,3,18,72726.0,39.93
10000002001,34.0,23.0,31.0,13.31,2.2183333333333333,24242.0,4040.3,6,4.0,120.0,25.0,43.0,129000.0,3,3,18,72726.0,39.93
10000003001,40.0,27.0,12.0,9.11,0.37958333333333333,12960.0,540.0,24,0.0,40.0,25.0,43.0,43000.0,1,2,48,25920.0,18.22
10000003001,40.0,27.0,12.0,9.11,0.37958333333333333,12960.0,540.0,24,0.0,40.0,25.0,43.0,43000.0,4,2,48,25920.0,18.22
10000003001,40.0,27.0,12.0,9.11,0.37958333333333333,12960.0,540.0,24,1.0,40.0,25.0,31.0,31000.0,1,2,48,25920.0,18.22
