cluster;2021-08-01;2021-08-02;2021-08-03;2021-08-04;2021-08-05;2021-08-06;2021-08-07;2021-08-08;2021-08-09;2021-08-10;2021-08-11;2021-08-12;2021-08-13;2021-08-14;2021-08-15;2021-08-16;2021-08-17;2021-08-18
1;1.4666666666666666;0.03333333333333333;0.016666666666666666;0.0;0.0;0.0;0.06666666666666667;0.03333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.016666666666666666;0.0;0.0;0.0
2;0.0;0.5833333333333334;0.48333333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6551724137931034;0.39655172413793105;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;0.0;0.0;0.04081632653061224;0.3673469387755102;0.7142857142857143;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;0.0;0.0;0.0;0.0;0.0;0.8913043478260869;0.34782608695652173;0.0;0.0;0.043478260869565216;0.06521739130434782;0.0;0.0;0.0;0.043478260869565216;0.0;0.0;0.0
6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014705882352941176;0.0;0.029411764705882353;0.014705882352941176;0.0;0.0;0.2647058823529412;1.0735294117647058;0.0
7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8695652173913043;0.17391304347826086;0.0;0.0;0.0;0.0;0.0
8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2153846153846153;0.7076923076923077;0.03076923076923077;0.0;0.0;0.0;0.0;0.015384615384615385;0.0
9;0.0;0.009433962264150943;0.009433962264150943;0.0;0.02830188679245283;0.009433962264150943;0.0;0.018867924528301886;0.0;0.018867924528301886;0.009433962264150943;0.009433962264150943;0.20754716981132076;0.49056603773584906;1.0188679245283019;0.009433962264150943;0.03773584905660377;0.0
10;2.0284237726098193;1.756244616709733;2.3089290841228824;2.146138386448464;2.295722078667815;1.3766867642836635;1.2107378696525983;1.87022681596325;2.100488084984209;2.037037037037037;2.3637668676428367;2.905828308929084;2.2299741602067185;2.1002009761699685;3.888888888888889;2.012919896640827;3.164800459374103;0.001435544071202986
