[START] scenario=My scenario horizon_tick=1000 run_dir=D:\ITB\Tugas Akhir\_full_postt_parallel_runs\four_scenario_1000_shared_latest\my_scenario\netlogo-rmfs
[PROGRESS] scenario=My scenario tick=100.05/1000.00 step=667 elapsed_s=12.3
[PROGRESS] scenario=My scenario tick=200.10/1000.00 step=1334 elapsed_s=26.8
[PROGRESS] scenario=My scenario tick=270.15/1000.00 step=1801 elapsed_s=47.0
[PROGRESS] scenario=My scenario tick=289.20/1000.00 step=1928 elapsed_s=67.0
[PROGRESS] scenario=My scenario tick=301.35/1000.00 step=2009 elapsed_s=87.1
[PROGRESS] scenario=My scenario tick=310.20/1000.00 step=2068 elapsed_s=107.2
[PROGRESS] scenario=My scenario tick=318.90/1000.00 step=2126 elapsed_s=127.3
[PROGRESS] scenario=My scenario tick=328.05/1000.00 step=2187 elapsed_s=147.4
[PROGRESS] scenario=My scenario tick=337.20/1000.00 step=2248 elapsed_s=168.0
[PROGRESS] scenario=My scenario tick=345.90/1000.00 step=2306 elapsed_s=188.1
[PROGRESS] scenario=My scenario tick=354.30/1000.00 step=2362 elapsed_s=208.9
[PROGRESS] scenario=My scenario tick=362.40/1000.00 step=2416 elapsed_s=229.1
[PROGRESS] scenario=My scenario tick=370.65/1000.00 step=2471 elapsed_s=249.3
[PROGRESS] scenario=My scenario tick=379.05/1000.00 step=2527 elapsed_s=269.3
[PROGRESS] scenario=My scenario tick=387.30/1000.00 step=2582 elapsed_s=290.0
[PROGRESS] scenario=My scenario tick=395.40/1000.00 step=2636 elapsed_s=310.3
[PROGRESS] scenario=My scenario tick=403.35/1000.00 step=2689 elapsed_s=330.3
[PROGRESS] scenario=My scenario tick=411.45/1000.00 step=2743 elapsed_s=350.4
[PROGRESS] scenario=My scenario tick=419.25/1000.00 step=2795 elapsed_s=370.4
[PROGRESS] scenario=My scenario tick=427.20/1000.00 step=2848 elapsed_s=391.1
[PROGRESS] scenario=My scenario tick=435.45/1000.00 step=2903 elapsed_s=411.2
[PROGRESS] scenario=My scenario tick=443.55/1000.00 step=2957 elapsed_s=431.4
[PROGRESS] scenario=My scenario tick=450.75/1000.00 step=3005 elapsed_s=451.6
[PROGRESS] scenario=My scenario tick=457.95/1000.00 step=3053 elapsed_s=471.6
[PROGRESS] scenario=My scenario tick=465.30/1000.00 step=3102 elapsed_s=491.9
[PROGRESS] scenario=My scenario tick=472.35/1000.00 step=3149 elapsed_s=512.1
[PROGRESS] scenario=My scenario tick=479.25/1000.00 step=3195 elapsed_s=532.5
[PROGRESS] scenario=My scenario tick=486.30/1000.00 step=3242 elapsed_s=552.9
[PROGRESS] scenario=My scenario tick=493.50/1000.00 step=3290 elapsed_s=573.0
[PROGRESS] scenario=My scenario tick=501.00/1000.00 step=3340 elapsed_s=593.2
[PROGRESS] scenario=My scenario tick=508.65/1000.00 step=3391 elapsed_s=613.5
[PROGRESS] scenario=My scenario tick=516.30/1000.00 step=3442 elapsed_s=633.8
[PROGRESS] scenario=My scenario tick=523.20/1000.00 step=3488 elapsed_s=654.5
[PROGRESS] scenario=My scenario tick=530.85/1000.00 step=3539 elapsed_s=674.7
[PROGRESS] scenario=My scenario tick=538.20/1000.00 step=3588 elapsed_s=695.4
[PROGRESS] scenario=My scenario tick=545.85/1000.00 step=3639 elapsed_s=715.6
[PROGRESS] scenario=My scenario tick=552.90/1000.00 step=3686 elapsed_s=735.7
[PROGRESS] scenario=My scenario tick=560.25/1000.00 step=3735 elapsed_s=756.3
[PROGRESS] scenario=My scenario tick=567.60/1000.00 step=3784 elapsed_s=776.5
[PROGRESS] scenario=My scenario tick=575.10/1000.00 step=3834 elapsed_s=796.7
[PROGRESS] scenario=My scenario tick=581.85/1000.00 step=3879 elapsed_s=816.8
[PROGRESS] scenario=My scenario tick=588.15/1000.00 step=3921 elapsed_s=836.9
[PROGRESS] scenario=My scenario tick=594.30/1000.00 step=3962 elapsed_s=857.0
[PROGRESS] scenario=My scenario tick=601.20/1000.00 step=4008 elapsed_s=877.4
[PROGRESS] scenario=My scenario tick=607.35/1000.00 step=4049 elapsed_s=897.7
[PROGRESS] scenario=My scenario tick=614.10/1000.00 step=4094 elapsed_s=918.0
[PROGRESS] scenario=My scenario tick=621.00/1000.00 step=4140 elapsed_s=938.0
[PROGRESS] scenario=My scenario tick=628.20/1000.00 step=4188 elapsed_s=958.7
[PROGRESS] scenario=My scenario tick=635.70/1000.00 step=4238 elapsed_s=978.9
[PROGRESS] scenario=My scenario tick=642.60/1000.00 step=4284 elapsed_s=998.9
[PROGRESS] scenario=My scenario tick=649.65/1000.00 step=4331 elapsed_s=1019.1
[PROGRESS] scenario=My scenario tick=656.40/1000.00 step=4376 elapsed_s=1039.4
[PROGRESS] scenario=My scenario tick=662.55/1000.00 step=4417 elapsed_s=1059.4
[PROGRESS] scenario=My scenario tick=667.95/1000.00 step=4453 elapsed_s=1080.1
[PROGRESS] scenario=My scenario tick=673.05/1000.00 step=4487 elapsed_s=1100.1
[PROGRESS] scenario=My scenario tick=678.90/1000.00 step=4526 elapsed_s=1120.5
[PROGRESS] scenario=My scenario tick=684.75/1000.00 step=4565 elapsed_s=1140.6
[PROGRESS] scenario=My scenario tick=690.75/1000.00 step=4605 elapsed_s=1160.7
[PROGRESS] scenario=My scenario tick=697.20/1000.00 step=4648 elapsed_s=1181.7
[PROGRESS] scenario=My scenario tick=703.50/1000.00 step=4690 elapsed_s=1201.7
[PROGRESS] scenario=My scenario tick=709.65/1000.00 step=4731 elapsed_s=1221.9
[PROGRESS] scenario=My scenario tick=716.10/1000.00 step=4774 elapsed_s=1242.0
[PROGRESS] scenario=My scenario tick=722.70/1000.00 step=4818 elapsed_s=1262.1
[PROGRESS] scenario=My scenario tick=729.30/1000.00 step=4862 elapsed_s=1282.4
[PROGRESS] scenario=My scenario tick=735.75/1000.00 step=4905 elapsed_s=1302.7
[PROGRESS] scenario=My scenario tick=741.90/1000.00 step=4946 elapsed_s=1323.0
[PROGRESS] scenario=My scenario tick=748.20/1000.00 step=4988 elapsed_s=1343.5
[PROGRESS] scenario=My scenario tick=755.10/1000.00 step=5034 elapsed_s=1363.7
[PROGRESS] scenario=My scenario tick=761.70/1000.00 step=5078 elapsed_s=1383.7
[PROGRESS] scenario=My scenario tick=767.85/1000.00 step=5119 elapsed_s=1404.1
[PROGRESS] scenario=My scenario tick=772.35/1000.00 step=5149 elapsed_s=1424.4
[PROGRESS] scenario=My scenario tick=776.85/1000.00 step=5179 elapsed_s=1445.0
[PROGRESS] scenario=My scenario tick=781.50/1000.00 step=5210 elapsed_s=1465.0
[PROGRESS] scenario=My scenario tick=786.30/1000.00 step=5242 elapsed_s=1486.1
[PROGRESS] scenario=My scenario tick=791.25/1000.00 step=5275 elapsed_s=1506.9
[PROGRESS] scenario=My scenario tick=796.50/1000.00 step=5310 elapsed_s=1527.1
[PROGRESS] scenario=My scenario tick=801.90/1000.00 step=5346 elapsed_s=1547.6
[PROGRESS] scenario=My scenario tick=807.30/1000.00 step=5382 elapsed_s=1568.8
[PROGRESS] scenario=My scenario tick=812.55/1000.00 step=5417 elapsed_s=1589.2
