item_id,item_code,item_class,item_order_frequency,item_initial_quantity_inventory,box_length,box_width,box_height,box_volume,box_weight,number_of_item_in_a_box,item_volume,item_weight,item_unit,max_fit,item_pod_inventory_level,item_warehouse_inventory_level
0,10000001001,B,21,40,45.0,30.0,24.0,32400.0,15.7,24.0,1350.0,0.6541666666666667,PCS,40,0.4,0.4
1,10000002001,A,320,2856,34.0,23.0,31.0,24242.0,13.31,6.0,4040.3333333333335,2.2183333333333333,PCS,40,0.4,0.4
2,10000003001,A,108,186,40.0,27.0,12.0,12960.0,9.11,24.0,540.0,0.37958333333333333,PCS,40,0.4,0.4
3,10000004001,A,90,327,34.0,23.0,31.0,24242.0,14.0,6.0,4040.3333333333335,2.3333333333333335,PCS,40,0.4,0.4
4,10000005001,A,288,1533,40.0,28.0,12.0,13440.0,8.89,24.0,560.0,0.37041666666666667,PCS,40,0.4,0.4
5,10000007001,A,217,357,40.0,28.0,12.0,13440.0,8.58,24.0,560.0,0.3575,PCS,40,0.4,0.4
6,10000008001,C,2,24,37.0,26.0,28.0,26936.0,16.14,12.0,2244.6666666666665,1.345,PCS,40,0.4,0.4
7,10000010001,A,128,194,34.0,23.0,31.0,24242.0,12.52,6.0,4040.3333333333335,2.0866666666666664,PCS,40,0.4,0.4
8,10000011001,A,656,4383,40.0,27.0,10.0,10800.0,6.76,24.0,450.0,0.2816666666666667,PCS,40,0.4,0.4
9,10000012001,A,86,183,45.0,30.0,25.0,33750.0,15.88,24.0,1406.25,0.6616666666666667,PCS,40,0.4,0.4
10,10000022001,A,44,19,37.0,27.0,29.0,28971.0,15.12,12.0,2414.25,1.26,PCS,40,0.4,0.4
11,10000023001,B,17,26,43.0,28.0,25.0,30100.0,16.27,24.0,1254.1666666666667,0.6779166666666666,PCS,40,0.4,0.4
12,10000027001,A,51,143,45.0,30.0,25.0,33750.0,15.41,24.0,1406.25,0.6420833333333333,PCS,40,0.4,0.4
13,10000998001,A,422,82,28.0,20.0,19.0,10640.0,4.8,1.0,10640.0,4.8,PCS,40,0.4,0.4
14,10001001001,A,111,91,34.0,24.0,31.0,25296.0,13.34,6.0,4216.0,2.223333333333333,PCS,40,0.4,0.4
15,10001004001,A,270,211,34.0,23.0,31.0,24242.0,12.52,6.0,4040.3333333333335,2.0866666666666664,PCS,40,0.4,0.4
16,10001005001,A,63,293,40.0,27.0,12.0,12960.0,9.11,24.0,540.0,0.37958333333333333,PCS,40,0.4,0.4
17,10001006001,A,384,737,40.0,28.0,12.0,13440.0,8.95,24.0,560.0,0.3729166666666666,PCS,40,0.4,0.4
18,10001007001,B,12,51,42.0,28.0,24.0,28224.0,15.97,24.0,1176.0,0.6654166666666667,PCS,40,0.4,0.4
19,10001008001,B,35,54,34.0,22.0,31.0,23188.0,13.02,6.0,3864.6666666666665,2.17,PCS,40,0.4,0.4
20,10001009001,A,290,2852,40.0,27.0,10.0,10800.0,6.77,24.0,450.0,0.2820833333333333,PCS,40,0.4,0.4
21,10001010001,C,2,24,37.0,28.0,29.0,30044.0,11.02,12.0,2503.6666666666665,0.9183333333333333,PCS,40,0.4,0.4
22,10001012001,A,290,1577,40.0,27.0,10.0,10800.0,6.79,24.0,450.0,0.28291666666666665,PCS,40,0.4,0.4
23,10001015001,A,41,24,45.0,30.0,24.0,32400.0,15.6,24.0,1350.0,0.65,PCS,40,0.4,0.4
24,10001020001,A,85,240,41.0,27.0,12.0,13284.0,8.58,24.0,553.5,0.3575,PCS,40,0.4,0.4
25,10001022001,A,76,52,42.0,28.0,23.0,27048.0,13.81,24.0,1127.0,0.5754166666666667,PCS,40,0.4,0.4
26,10001025001,A,181,622,40.0,27.0,10.0,10800.0,6.8,24.0,450.0,0.2833333333333333,PCS,40,0.4,0.4
27,10001035001,A,62,36,42.0,28.0,23.0,27048.0,13.682,24.0,1127.0,0.5700833333333334,PCS,40,0.4,0.4
28,10002001001,A,208,706,41.0,28.0,10.0,11480.0,6.82,24.0,478.3333333333333,0.2841666666666667,PCS,40,0.4,0.4
29,10002003001,A,128,198,43.0,28.0,24.0,28896.0,16.03,24.0,1204.0,0.6679166666666667,PCS,40,0.4,0.4
30,10002005001,A,237,345,40.0,27.0,13.0,14040.0,9.56,24.0,585.0,0.3983333333333334,PCS,40,0.4,0.4
31,10002007001,A,132,225,40.0,28.0,12.0,13440.0,8.89,24.0,560.0,0.37041666666666667,PCS,40,0.4,0.4
32,10002008001,A,253,2333,40.0,27.0,10.0,10800.0,6.8,24.0,450.0,0.2833333333333333,PCS,40,0.4,0.4
33,10002009001,A,153,282,43.0,28.0,24.0,28896.0,16.02,24.0,1204.0,0.6675,PCS,40,0.4,0.4
