item_code;carton_length_cm;carton_width_cm;carton_height_cm;units_per_carton;cartons_per_slot;max_fit;item_initial_inventory;item_initial_inventory/max_fit
10000001001;45;30;24;24;7;168;40;0.238095238
10000002001;34;23;31;6;10;60;2856;47.6
10000003001;40;27;12;24;19;456;186;0.407894737
10000004001;34;23;31;6;10;60;327;5.45
10000005001;40;28;12;24;18;432;1533;3.548611111
10000007001;40;28;12;24;18;432;357;0.826388889
10000008001;37;26;28;12;9;108;24;0.222222222
10000010001;34;23;31;6;10;60;194;3.233333333
10000011001;40;27;10;24;23;552;4383;7.940217391
10000012001;45;30;25;24;7;168;183;1.089285714
10000022001;37;27;29;12;8;96;19;0.197916667
10000023001;43;28;25;24;8;192;26;0.135416667
10000027001;45;30;25;24;7;168;143;0.851190476
10000998001;28;20;19;1;23;23;82;3.565217391
10001001001;34;24;31;6;10;60;91;1.516666667
10001004001;34;23;31;6;10;60;211;3.516666667
10001005001;40;27;12;24;19;456;293;0.64254386
10001006001;40;28;12;24;18;432;737;1.706018519
10001007001;42;28;24;24;9;216;51;0.236111111
10001008001;34;22;31;6;10;60;54;0.9
10001009001;40;27;10;24;23;552;2852;5.166666667
10001010001;37;28;29;12;8;96;24;0.25
10001012001;40;27;10;24;23;552;1577;2.856884058
10001015001;45;30;24;24;7;168;24;0.142857143
10001020001;41;27;12;24;19;456;240;0.526315789
10001022001;42;28;23;24;9;216;52;0.240740741
10001025001;40;27;10;24;23;552;622;1.126811594
10001035001;42;28;23;24;9;216;36;0.166666667
10002001001;41;28;10;24;22;528;706;1.337121212
10002003001;43;28;24;24;8;192;198;1.03125
10002005001;40;27;13;24;18;432;345;0.798611111
10002007001;40;28;12;24;18;432;225;0.520833333
10002008001;40;27;10;24;23;552;2333;4.226449275
10002009001;43;28;24;24;8;192;282;1.46875
10002011001;42;28;24;24;9;216;12;0.055555556
10002012001;41;27;13;24;17;408;308;0.754901961
10002013001;40;13;13;12;37;444;48;0.108108108
10002014001;41;27;13;24;17;408;180;0.441176471
10002017001;34;22;31;6;10;60;325;5.416666667
10002018001;41;27;12;24;19;456;980;2.149122807
10002019001;41;27;13;24;17;408;594;1.455882353
10002021001;40;27;9;24;26;624;1984;3.179487179
10002025001;38;28;30;12;7;84;12;0.142857143
10002026001;31;22;24;12;15;180;12;0.066666667
10002035001;34;23;31;6;10;60;40;0.666666667
10002037001;35;27;32;12;8;96;2;0.020833333
10002038001;35;27;32;12;8;96;7;0.072916667
10002039001;35;27;32;12;8;96;24;0.25
10002040001;34;23;31;6;10;60;36;0.6
10002045001;34;22;30;6;11;66;49;0.742424242
10002046001;43;29;12;24;17;408;287;0.703431373
10002051001;34;23;31;6;10;60;21;0.35
10002069001;34;23;30;6;10;60;16;0.266666667
10002071001;42;28;25;24;8;192;56;0.291666667
10002072001;34;23;30;6;10;60;9;0.15
10002073001;41;27;12;24;19;456;168;0.368421053
10002074001;36;27;28;12;9;108;16;0.148148148
10002078001;34;23;30;6;10;60;18;0.3
10002102001;40;27;12;24;19;456;512;1.122807018
10002899001;41;27;12;24;19;456;24;0.052631579
10002906001;42;29;22;24;9;216;36;0.166666667
10002911001;40;27;12;24;19;456;6;0.013157895
10002916001;27;27;30;12;11;132;23;0.174242424
10002918001;35;23;31;6;10;60;18;0.3
10002919001;35;23;31;6;10;60;54;0.9
10002942001;40;28;12;24;18;432;83;0.19212963
10002943001;44;27;12;24;17;408;228;0.558823529
10002944001;44;27;12;24;17;408;192;0.470588235
10010001001;32;17;14;18;33;594;6;0.01010101
10010002001;35;20;11;24;33;792;2309;2.91540404
10010004001;35;20;11;24;33;792;533;0.672979798
10010007001;32;17;14;18;33;594;30;0.050505051
10010009001;42;28;24;24;9;216;40;0.185185185
10010012001;42;28;24;24;9;216;76;0.351851852
10010018001;40;27;10;24;23;552;168;0.304347826
10010019001;32;17;14;18;33;594;72;0.121212121
10010026001;33;16;10;24;48;1152;308;0.267361111
10010027001;33;16;10;24;48;1152;912;0.791666667
10010035001;34;20;11;24;34;816;652;0.799019608
10010042001;28;16;9;24;63;1512;48;0.031746032
10010043001;28;16;9;24;63;1512;80;0.052910053
10011001001;34;20;11;24;34;816;432;0.529411765
10011003001;33;16;13;24;37;888;144;0.162162162
10011004001;31;17;13;18;37;666;24;0.036036036
10011007001;36;20;20;12;17;204;25;0.12254902
10011016001;35;20;13;24;28;672;648;0.964285714
10011021001;33;16;13;24;37;888;108;0.121621622
10011023001;27;16;9;24;65;1560;137;0.087820513
10011028001;40;27;16;24;14;336;22;0.06547619
10012002001;36;20;20;12;17;204;24;0.117647059
10012004001;36;27;30;12;8;96;395;4.114583333
10012006001;28;16;9;24;63;1512;113;0.07473545
10012009001;29;18;26;10;18;180;2;0.011111111
10012899001;40;27;22;24;10;240;294;1.225
10013003001;35;20;13;24;28;672;564;0.839285714
10013004001;36;20;20;12;17;204;6;0.029411765
10013005001;34;20;11;24;34;816;446;0.546568627
10013007001;33;16;13;24;37;888;96;0.108108108
10013011001;32;17;13;18;36;648;6;0.009259259
10013012001;27;16;9;24;65;1560;159;0.101923077
10014005001;41;27;18;24;12;288;18;0.0625
10014006001;29;18;26;10;18;180;8;0.044444444
10014009001;40;27;17;24;13;312;258;0.826923077
10014018001;38;30;26;12;8;96;6;0.0625
10014020001;41;17;13;24;28;672;177;0.263392857
10014023001;35;21;11;24;31;744;432;0.580645161
10014024001;35;18;14;24;28;672;42;0.0625
10014027001;39;27;12;24;20;480;42;0.0875
10014028001;34;20;11;24;34;816;468;0.573529412
10014029001;41;28;18;24;12;288;94;0.326388889
10014030001;42;29;24;24;8;192;47;0.244791667
10014032001;35;20;13;24;28;672;353;0.525297619
10014033001;35;20;13;24;28;672;548;0.81547619
10014037001;40;27;13;24;18;432;15;0.034722222
10014043001;36;20;20;12;17;204;12;0.058823529
10014051001;33;22;13;24;27;648;239;0.36882716
10014055001;39;26;23;24;10;240;24;0.1
10014062001;33;15;13;24;39;936;12;0.012820513
10014067001;41;17;14;24;26;624;30;0.048076923
10014069001;35;20;13;24;28;672;6;0.008928571
10014073001;41;27;13;24;17;408;36;0.088235294
10014075001;41;28;12;24;18;432;6;0.013888889
10014080001;41;27;16;24;14;336;24;0.071428571
10014081001;41;27;16;24;14;336;12;0.035714286
10014090001;35;20;11;24;33;792;743;0.938131313
10014092001;37;26;28;12;9;108;14;0.12962963
10014097001;30;23;24;12;15;180;2;0.011111111
10014103001;39;17;26;10;14;140;3;0.021428571
10014106001;39;26;20;24;12;288;36;0.125
10014110001;40;27;19;24;12;288;12;0.041666667
10014111001;41;28;12;24;18;432;60;0.138888889
10014113001;41;28;12;24;18;432;108;0.25
10014116001;25;16;26;6;24;144;102;0.708333333
10014126001;41;27;13;24;17;408;123;0.301470588
10014130001;40;27;17;24;13;312;68;0.217948718
10014898001;40;27;22;24;10;240;778;3.241666667
10015007001;33;22;14;24;25;600;267;0.445
10015011001;34;20;11;24;34;816;48;0.058823529
10016002001;36;24;16;24;18;432;12;0.027777778
