item_code;minimum_inventory;inventory_basis_source;paired_historical_product;pre_t_order_count
10000001001;40;historical_empirical_quantile;;19
10000002001;1438;historical_empirical_quantile;;295
10000003001;210;historical_empirical_quantile;;107
10000004001;324;historical_empirical_quantile;;87
10000005001;1530;historical_empirical_quantile;;247
10000007001;450;historical_empirical_quantile;;211
10000008001;24;historical_empirical_quantile;;2
10000010001;238;historical_empirical_quantile;;131
10000011001;1872;historical_empirical_quantile;;560
10000012001;188;historical_empirical_quantile;;93
10000023001;12;historical_empirical_quantile;;14
10000998001;48;historical_empirical_quantile;;373
10001001001;222;historical_empirical_quantile;;110
10001004001;191;historical_empirical_quantile;;233
10001005001;156;historical_empirical_quantile;;49
10001006001;630;historical_empirical_quantile;;347
10001007001;28;historical_empirical_quantile;;7
10001008001;66;historical_empirical_quantile;;39
10001009001;1176;historical_empirical_quantile;;295
10001012001;984;historical_empirical_quantile;;277
10001015001;108;historical_empirical_quantile;;51
10001020001;204;historical_empirical_quantile;;65
10001022001;120;historical_empirical_quantile;;87
10001025001;720;historical_empirical_quantile;;194
10001035001;96;historical_empirical_quantile;;68
10002001001;744;historical_empirical_quantile;;221
10002003001;200;historical_empirical_quantile;;118
10002005001;498;historical_empirical_quantile;;225
10002007001;216;historical_empirical_quantile;;120
10002008001;768;historical_empirical_quantile;;185
10002011001;12;historical_empirical_quantile;;3
10002012001;402;historical_empirical_quantile;;28
10002013001;48;historical_empirical_quantile;;4
10002014001;312;historical_empirical_quantile;;89
10002017001;295;historical_empirical_quantile;;119
10002018001;1104;historical_empirical_quantile;;530
10002019001;804;historical_empirical_quantile;;286
10002025001;15;historical_empirical_quantile;;63
10002026001;60;historical_empirical_quantile;;4
10002035001;84;historical_empirical_quantile;;118
10002037001;8;historical_empirical_quantile;;6
10002038001;6;historical_empirical_quantile;;6
10002040001;105;historical_empirical_quantile;;66
10002045001;63;historical_empirical_quantile;;180
10002046001;354;historical_empirical_quantile;;64
