item_code;minimum_inventory;minimum_inventory_ceiling
10000001001;116;116
10000002001;767;767
10000003001;300;300
10000004001;432;432
10000005001;534;534
10000007001;351;351
10000008001;122;122
10000010001;219;219
10000011001;4891;4891
10000012001;201;201
10000022001;106;106
10000023001;65;65
10000027001;294;294
10000998001;29;29
10001001001;199;199
10001004001;321;321
10001005001;306;306
10001006001;464;464
10001007001;217;217
10001008001;98;98
10001009001;848;848
10001010001;113;113
10001012001;1008;1008
10001015001;195;195
10001020001;267;267
10001022001;166;166
10001025001;567;567
10001035001;134;134
10002001001;557;557
10002003001;255;255
10002005001;287;287
10002007001;225;225
10002008001;1240;1240
10002009001;570;570
10002011001;102;102
10002012001;620;620
10002013001;244;244
10002014001;277;277
10002017001;327;327
10002018001;430;430
10002019001;597;597
10002021001;654;654
10002025001;74;74
10002026001;144;144
10002035001;79;79
10002037001;27;27
10002038001;37;37
10002039001;48;48
10002040001;121;121
10002045001;85;85
10002046001;253;253
10002051001;39;39
10002069001;45;45
10002071001;101;101
10002072001;66;66
10002073001;197;197
10002074001;62;62
10002078001;108;108
10002102001;689;689
10002899001;156;156
10002906001;129;129
10002911001;24;24
10002916001;74;74
10002918001;44;44
10002919001;165;165
10002942001;206;206
10002943001;242;242
10002944001;448;448
10010001001;48;48
10010002001;723;723
10010004001;763;763
10010007001;98;98
10010009001;137;137
10010012001;210;210
10010018001;386;386
10010019001;139;139
10010026001;412;412
10010027001;3789;3789
10010035001;473;473
10010042001;187;187
10010043001;143;143
10011001001;340;340
10011003001;205;205
10011004001;116;116
10011007001;116;116
10011016001;402;402
10011021001;170;170
10011023001;192;192
10011028001;48;48
10012002001;144;144
10012004001;383;383
10012006001;217;217
10012009001;12;12
10012899001;463;463
10013003001;267;267
10013004001;62;62
10013005001;425;425
10013007001;369;369
10013011001;24;24
10013012001;177;177
10014005001;51;51
10014006001;29;29
10014009001;308;308
10014018001;36;36
10014020001;255;255
10014023001;470;470
10014024001;140;140
10014028001;399;399
10014029001;196;196
10014030001;196;196
10014032001;358;358
10014033001;360;360
10014037001;43;43
10014043001;48;48
10014051001;336;336
10014055001;96;96
10014062001;68;68
10014067001;209;209
10014069001;24;24
10014073001;24;24
10014075001;24;24
10014080001;71;71
10014081001;24;24
10014090001;401;401
10014092001;72;72
10014097001;117;117
10014103001;19;19
10014106001;182;182
10014110001;38;38
10014111001;225;225
10014113001;265;265
10014116001;265;265
10014126001;213;213
10014130001;436;436
10014898001;133;133
10015007001;600;600
10015011001;318;318
10016002001;209;209
10016006001;24;24
10016011001;200;200
10016014001;387;387
10016015001;334;334
10016018001;96;96
10016020001;122;122
10020002001;164;164
10020003001;297;297
10020004001;166;166
10020006001;24;24
10020007001;778;778
10020011001;309;309
10020012001;177;177
10020015001;213;213
10020016001;176;176
10020017001;51;51
10020018001;437;437
10020019001;132;132
10020024001;191;191
10020025001;170;170
10020027001;264;264
10020028001;96;96
10020033001;298;298
10020034001;162;162
10020036001;237;237
10020037001;399;399
10020041001;303;303
10020042001;216;216
10020046001;218;218
10020093001;96;96
10020094001;89;89
10021001001;865;865
10021005001;316;316
10021006001;980;980
10021007001;177;177
10021008001;1177;1177
10021009001;281;281
10021010001;187;187
10021015001;237;237
10021016001;420;420
10021017001;270;270
10021018001;120;120
10021021001;258;258
10021022001;187;187
10021023001;96;96
10021025001;1724;1724
10021026001;129;129
10021027001;554;554
10021034001;129;129
10021035001;143;143
10021040001;99;99
10022003001;271;271
10022006001;409;409
10022008001;390;390
10022011001;34;34
10022012001;152;152
10022014001;33;33
10022015001;34;34
10022016001;198;198
10022020001;127;127
10022024001;108;108
10022030001;201;201
10022908001;77;77
10022910001;139;139
10022915001;40;40
10022916001;33;33
10023002001;15;15
10023004001;24;24
10023005001;19;19
10023008001;11;11
10023011001;19;19
10023017001;10;10
10023020001;18;18
10023023001;12;12
10023025001;4;4
10023027001;14;14
10023031001;16;16
10023032001;8;8
10023035001;175;175
10023044001;9;9
10023049001;11;11
10023051001;13;13
10023054001;10;10
10023055001;42;42
10023058001;37;37
10023063001;33;33
10023066001;10;10
10023068001;12;12
10023073001;118;118
10023075001;8;8
10023078001;14;14
10023083001;8;8
