item_code;minimum_inventory;minimum_inventory_ceiling;inventory_basis_source;paired_historical_product;pre_t_order_count;daily_observation_count;lead_time_sample_size;percentile_position;percentile_rank;percentile_weight
10000001001;35,500000000000014;36;full_horizon_lead_time_percentile_n_plus_one;;18;20;20;18,900000000000002;18;0,9000000000000021
10000002001;1252,4000000000003;1253;full_horizon_lead_time_percentile_n_plus_one;;290;21;21;19,8;19;0,8000000000000007
10000003001;178,79999999999998;179;full_horizon_lead_time_percentile_n_plus_one;;96;21;21;19,8;19;0,8000000000000007
10000004001;308,40000000000003;309;full_horizon_lead_time_percentile_n_plus_one;;83;21;21;19,8;19;0,8000000000000007
10000005001;1131,6000000000001;1132;full_horizon_lead_time_percentile_n_plus_one;;258;21;21;19,8;19;0,8000000000000007
10000007001;322,8;323;full_horizon_lead_time_percentile_n_plus_one;;192;21;21;19,8;19;0,8000000000000007
10000008001;20,400000000000013;21;full_horizon_lead_time_percentile_n_plus_one;;2;12;12;11,700000000000001;11;0,7000000000000011
10000010001;168,60000000000002;169;full_horizon_lead_time_percentile_n_plus_one;;121;21;21;19,8;19;0,8000000000000007
10000011001;4224,0;4224;full_horizon_lead_time_percentile_n_plus_one;;603;21;21;19,8;19;0,8000000000000007
10000012001;146,40000000000012;147;full_horizon_lead_time_percentile_n_plus_one;;78;20;20;18,900000000000002;18;0,9000000000000021
10000022001;17,0;17;full_horizon_lead_time_percentile_n_plus_one;;38;21;21;19,8;19;0,8000000000000007
10000023001;8,0;8;full_horizon_lead_time_percentile_n_plus_one;;12;21;21;19,8;19;0,8000000000000007
10000027001;129,60000000000002;130;full_horizon_lead_time_percentile_n_plus_one;;47;21;21;19,8;19;0,8000000000000007
10000998001;73,4;74;full_horizon_lead_time_percentile_n_plus_one;;334;21;21;19,8;19;0,8000000000000007
10001001001;74,0;74;full_horizon_lead_time_percentile_n_plus_one;;102;21;21;19,8;19;0,8000000000000007
10001004001;167,00000000000003;168;full_horizon_lead_time_percentile_n_plus_one;;243;21;21;19,8;19;0,8000000000000007
10001005001;220,8;221;full_horizon_lead_time_percentile_n_plus_one;;53;21;21;19,8;19;0,8000000000000007
10001006001;711,5999999999999;712;full_horizon_lead_time_percentile_n_plus_one;;341;21;21;19,8;19;0,8000000000000007
10001007001;19,60000000000001;20;full_horizon_lead_time_percentile_n_plus_one;;10;20;20;18,900000000000002;18;0,9000000000000021
10001008001;49,20000000000002;50;full_horizon_lead_time_percentile_n_plus_one;;32;21;21;19,8;19;0,8000000000000007
10001009001;2337,6000000000004;2338;full_horizon_lead_time_percentile_n_plus_one;;256;21;21;19,8;19;0,8000000000000007
10001010001;18,0;18;full_horizon_lead_time_percentile_n_plus_one;;2;14;14;13,5;13;0,5
10001012001;1454,4;1455;full_horizon_lead_time_percentile_n_plus_one;;269;21;21;19,8;19;0,8000000000000007
10001015001;16,0;16;full_horizon_lead_time_percentile_n_plus_one;;33;20;20;18,900000000000002;18;0,9000000000000021
10001020001;182,4;183;full_horizon_lead_time_percentile_n_plus_one;;74;21;21;19,8;19;0,8000000000000007
10001022001;42,400000000000006;43;full_horizon_lead_time_percentile_n_plus_one;;62;21;21;19,8;19;0,8000000000000007
10001025001;571,2000000000002;572;full_horizon_lead_time_percentile_n_plus_one;;166;21;21;19,8;19;0,8000000000000007
10001035001;27,200000000000003;28;full_horizon_lead_time_percentile_n_plus_one;;54;21;21;19,8;19;0,8000000000000007
10002001001;566,4000000000001;567;full_horizon_lead_time_percentile_n_plus_one;;184;21;21;19,8;19;0,8000000000000007
10002003001;170,40000000000003;171;full_horizon_lead_time_percentile_n_plus_one;;110;21;21;19,8;19;0,8000000000000007
10002005001;314,40000000000003;315;full_horizon_lead_time_percentile_n_plus_one;;212;21;21;19,8;19;0,8000000000000007
10002007001;186,00000000000006;187;full_horizon_lead_time_percentile_n_plus_one;;109;21;21;19,8;19;0,8000000000000007
10002008001;1656,0000000000002;1657;full_horizon_lead_time_percentile_n_plus_one;;233;21;21;19,8;19;0,8000000000000007
10002009001;252,8;253;full_horizon_lead_time_percentile_n_plus_one;;140;21;21;19,8;19;0,8000000000000007
10002011001;11,200000000000003;12;full_horizon_lead_time_percentile_n_plus_one;;2;21;21;19,8;19;0,8000000000000007
