scenario;result_kind;checkpoint_target_tick;checkpoint_interval_ticks;replication;replications_total;order_mode;bootstrap_seed;bootstrap_arrival_mode;bootstrap_target_orders_per_hour;pod_location_mode;pod_location_seed;ticks_elapsed;steps_elapsed;stopped_cleanly_before_horizon;arrived_orders_by_horizon;fulfilled_orders;fulfilled_over_arrived;throughput_orders_per_hour;on_hold_orders;unfinished_orders;job_queue_length;sku_queue_length;pod_visits;delivered_order_lines;picked_units;delivered_order_lines_per_pod_visit;picked_units_per_pod_visit;replenishment_count;replenishment_trips;health_status_final;health_consistency_violations;health_zombie_orders;health_pending_replenishment_count;health_aged_pending_replenishment_count;health_oldest_pending_replenishment_age;health_last_progress_tick;health_progress_gap;health_stalled_tick_count;stop_and_go;total_energy;total_fixed_load_energy;variable_energy;energy_per_fulfilled_order;fixed_energy_per_fulfilled_order;variable_energy_per_delivered_line;energy_per_pod_visit;variable_energy_per_pod_visit;wall_clock_seconds
Cindy Scenario 1;final;;;1;100;bootstrap_actual;42;empirical_gap_scaled;500.0;shuffle;42;100000.0499991114;666667;0;13959;6400;0.4584855648685436;3.839998080035082;57;7559;0;36;17346;16513;147362;0.9519774011299436;8.495445635881472;1436;1300;healthy;0;0;0;0;0;0;100000;0;339828;168405890.27416623;19723704.808079205;148682185.466087;26313.420355338472;3081.828876262376;9003.947524137771;9708.629671057663;8571.554563939064;9360.747163057327
Cindy Scenario 1;final;;;2;100;bootstrap_actual;43;empirical_gap_scaled;500.0;shuffle;42;100000.0499991114;666667;0;13876;6162;0.4440761026232344;3.6971981514337777;46;7714;0;30;17339;16106;142603;0.9288886325624315;8.224407405271354;1431;1308;healthy;0;0;0;0;0;0;100000;0;337923;169328535.45609856;19723975.5585592;149604559.89753935;27479.476704981913;3200.904829366959;9288.747044426882;9765.761315883186;8628.211540316013;9019.23629450798
Cindy Scenario 1;final;;;3;100;bootstrap_actual;44;empirical_gap_scaled;500.0;shuffle;42;100000.0499991114;666667;0;13958;6648;0.476286000859722;3.9887980056364416;48;7310;0;29;16867;17661;153606;1.0470741684946938;9.10689512064979;1604;1432;healthy;0;0;0;0;0;0;100000;0;353909;163948447.35993966;19353465.833519246;144594981.5264204;24661.31879662149;2911.1711542598146;8187.24769415211;9720.07158119047;8572.65557161442;9607.405532360077
Cindy Scenario 1;final;;;4;100;bootstrap_actual;45;empirical_gap_scaled;500.0;shuffle;42;100000.0499991114;666667;0;13587;6213;0.4572753367189225;3.727798136134057;57;7374;0;20;16457;15661;143913;0.9516315245792064;8.74478945129732;1359;1240;healthy;0;0;0;0;0;0;100000;0;320827;160893566.97271493;18719023.617839318;142174543.35487562;25896.276673541757;3012.8800286237433;9078.254476398419;9776.603692818553;8639.153147893032;8786.38061118126
Cindy Scenario 1;final;;;5;100;bootstrap_actual;46;empirical_gap_scaled;500.0;shuffle;42;100000.0499991114;666667;0;13779;6562;0.4762319471659772;3.9371980314359702;50;7217;0;38;17342;16532;153846;0.9532925844769923;8.871295121669935;1466;1346;healthy;0;0;0;0;0;0;100000;0;335811;167768154.30176917;19765818.814559203;148002335.48720998;25566.61906457927;3012.1637937456876;8952.47613641483;9674.09493148248;8534.329113551492;9048.081166028976
Cindy Scenario 1;final;;;6;100;bootstrap_actual;47;empirical_gap_scaled;500.0;shuffle;42;100000.0499991114;666667;0;14022;6588;0.46983311938382544;3.9527980236361127;69;7434;0;51;17366;17428;153566;1.0035701946331912;8.842911436139584;1526;1388;healthy;0;0;0;0;0;0;100000;0;339520;169092121.99697918;19836804.66767919;149255317.3293;25666.68518472665;3011.051103169276;8564.11047333601;9736.964297879718;8594.686014585972;10231.423615694046
Cindy Scenario 1;final;;;7;100;bootstrap_actual;48;empirical_gap_scaled;500.0;shuffle;42;100000.0499991114;666667;0;13735;6701;0.4878776847469967;4.020597989736732;53;7034;0;32;16872;16939;153451;1.0039710763394973;9.095009483167377;1553;1405;healthy;0;0;0;0;0;0;100000;0;329820;163999829.5472978;19332445.750799246;144667383.79649857;24473.933673675245;2885.0090659303455;8540.491398341022;9720.23645965492;8574.406341660655;8803.22404718399
Cindy Scenario 1;final;;;8;100;bootstrap_actual;49;empirical_gap_scaled;500.0;shuffle;42;100000.0499991114;666667;0;13092;6823;0.5211579590589673;4.0937979531374005;63;6269;0;41;17329;17616;158113;1.0165618327658839;9.12418489237694;1616;1452;healthy;0;0;0;0;0;0;100000;0;340288;168471118.7829726;19864175.079839185;148606943.7031334;24691.64865645209;2911.354987518567;8435.907340096128;9721.918101619978;8575.621426691292;9802.435442209244
Cindy Scenario 1;final;;;9;100;bootstrap_actual;50;empirical_gap_scaled;500.0;shuffle;42;100000.0499991114;666667;0;13685;5773;0.4218487394957983;3.463798268131645;32;7912;0;41;14716;15062;133839;1.0235118238651808;9.09479478119054;1292;1176;healthy;0;0;0;0;0;0;100000;0;289151;142855791.63476375;16808214.41207952;126047577.22268423;24745.503487747053;2911.5216372907535;8368.581677246331;9707.515060802103;8565.342295643126;9132.716716766357
Cindy Scenario 1;final;;;10;100;bootstrap_actual;51;empirical_gap_scaled;500.0;shuffle;42;100000.0499991114;666667;0;14255;6363;0.4463696948439144;3.8177980911348794;50;7892;0;21;17351;16282;146295;0.9383897181718633;8.431502507060111;1439;1305;healthy;0;0;0;0;0;0;100000;0;339389;169841541.00738463;19732294.9823992;150109246.02498543;26692.054220868242;3101.0993214520195;9219.337060863863;9788.573627305897;8651.331106275456;9925.942950963974
