scenario;result_kind;checkpoint_target_tick;checkpoint_interval_ticks;replication;replications_total;order_mode;bootstrap_seed;bootstrap_arrival_mode;bootstrap_target_orders_per_hour;pod_location_mode;pod_location_seed;ticks_elapsed;steps_elapsed;stopped_cleanly_before_horizon;arrived_orders_by_horizon;fulfilled_orders;fulfilled_over_arrived;throughput_orders_per_hour;on_hold_orders;unfinished_orders;job_queue_length;sku_queue_length;pod_visits;delivered_order_lines;picked_units;delivered_order_lines_per_pod_visit;picked_units_per_pod_visit;replenishment_count;replenishment_trips;health_status_final;health_consistency_violations;health_zombie_orders;health_pending_replenishment_count;health_aged_pending_replenishment_count;health_oldest_pending_replenishment_age;health_last_progress_tick;health_progress_gap;health_stalled_tick_count;stop_and_go;total_energy;total_fixed_load_energy;variable_energy;energy_per_fulfilled_order;fixed_energy_per_fulfilled_order;variable_energy_per_delivered_line;energy_per_pod_visit;variable_energy_per_pod_visit;wall_clock_seconds
Cindy Scenario 1;final;;;1;10;bootstrap_actual;42;empirical_gap_scaled;500.0;shuffle;42;50000.100000298065;333334;0;6446;3669;0.569190195470059;4.402791194391365;24;2777;0;18;8844;9491;84402;1.0731569425599277;9.543419267299864;493;458;healthy;0;0;0;0;0;0;50000;0;169983;83289664.14787765;9831516.043440182;73458148.10443747;22700.91691138666;2679.6173462633365;7739.769055361655;9417.646330605794;8305.986895571854;4018.2214913368225
Cindy Scenario 1;final;;;2;10;bootstrap_actual;43;empirical_gap_scaled;500.0;shuffle;43;50000.100000298065;333334;0;6333;3761;0.5938733617558819;4.513190973591148;20;2572;0;21;8908;9834;87041;1.1039515042658286;9.771104625056129;600;553;healthy;0;0;0;0;0;0;50000;0;171876;83336114.50529352;9999873.614640191;73336240.89065333;22157.967164396043;2658.833718330282;7457.4172148315365;9355.199203557871;8232.62695225116;4013.7917211055756
Cindy Scenario 1;final;;;3;10;bootstrap_actual;44;empirical_gap_scaled;500.0;shuffle;44;50000.100000298065;333334;0;6524;3790;0.5809319435928878;4.54799090399108;12;2734;0;33;8802;9963;87712;1.1319018404907975;9.965007952738015;603;562;healthy;0;0;0;0;0;0;50000;0;170923;84093544.5941538;9896766.909120187;74196777.68503362;22188.270341465384;2611.284144886593;7447.232528860144;9553.91326904724;8429.536205979733;3989.31743311882
Cindy Scenario 1;final;;;4;10;bootstrap_actual;45;empirical_gap_scaled;500.0;shuffle;45;50000.100000298065;333334;0;6262;3954;0.6314276588949217;4.744790510390693;15;2308;0;27;8962;9870;92750;1.1013166703860746;10.349252399018077;637;590;healthy;0;0;0;0;0;0;50000;0;173292;83004523.78783692;10096383.853920195;72908139.93391673;20992.545216954204;2553.4607622458766;7386.842951764614;9261.830371327485;8135.253284302246;3668.1321659088135
Cindy Scenario 1;final;;;5;10;bootstrap_actual;46;empirical_gap_scaled;500.0;shuffle;46;50000.100000298065;333334;0;7096;2695;0.3797914317925592;3.233993531993657;21;4401;0;30;6101;6668;62333;1.0929355843304376;10.216849696771021;306;284;healthy;0;0;0;0;0;0;50000;0;117729;56507385.00451705;6746535.84696001;49760849.15755704;20967.48979759445;2503.352818909095;7462.634846664223;9261.987379858556;8156.1791767836485;3642.667355298996
Cindy Scenario 1;final;;;6;10;bootstrap_actual;47;empirical_gap_scaled;500.0;shuffle;47;50000.100000298065;333334;0;8062;3505;0.4347556437608534;4.20599158799175;16;4557;0;30;8908;9148;81115;1.0269420745397395;9.105859901212394;524;489;healthy;0;0;0;0;0;0;50000;0;171679;83879504.92861372;9932333.676720189;73947171.25189354;23931.385143684372;2833.761391360967;8083.424929153207;9416.199475596512;8301.209166130842;3906.3438975811005
Cindy Scenario 1;final;;;7;10;bootstrap_actual;48;empirical_gap_scaled;500.0;shuffle;48;50000.100000298065;333334;0;6478;3662;0.5652979314603273;4.394391211191381;13;2816;0;25;8342;9163;82463;1.0984176456485255;9.8852793095181;538;515;healthy;0;0;0;0;0;0;50000;0;162736;78842417.51197785;9361370.141760154;69481047.3702177;21529.879167661893;2556.3544898307355;7582.783735699847;9451.260790215518;8329.063458429357;3274.11572265625
Cindy Scenario 1;final;;;8;10;bootstrap_actual;49;empirical_gap_scaled;500.0;shuffle;49;50000.100000298065;333334;0;7723;3373;0.4367473779619319;4.047591904792061;26;4350;0;29;7812;8816;78217;1.1285202252944189;10.01241679467486;470;425;healthy;0;0;0;0;0;0;50000;0;234501;73077172.83823448;8704184.88576012;64372987.95247436;21665.33437243833;2580.5469569404445;7301.836201505713;9354.476809809841;8240.26983518617;3608.7020654678345
Cindy Scenario 1;final;;;9;10;bootstrap_actual;50;empirical_gap_scaled;500.0;shuffle;50;50000.100000298065;333334;0;5828;1256;0.21551132463967054;1.5071969855970437;10;4572;0;22;2738;3334;29063;1.2176771365960555;10.614682249817385;104;103;healthy;0;0;0;0;0;0;50000;0;865590;26472419.19720943;2991275.916719991;23481143.280489437;21076.7668767591;2381.5891056687824;7042.934397267378;9668.524177213087;8576.020190098407;2953.908852338791
Cindy Scenario 1;final;;;10;10;bootstrap_actual;51;empirical_gap_scaled;500.0;shuffle;51;50000.100000298065;333334;0;7267;3849;0.5296546029998624;4.618790762390941;18;3418;0;20;8936;9656;88297;1.080572963294539;9.88104297224709;568;517;healthy;0;0;0;0;0;0;50000;0;171082;84035381.8400898;9992809.488480192;74042572.3516096;21833.042826731566;2596.2092721434637;7668.037733182436;9404.138522839055;8285.874255999284;3368.904649734497
