scenario;replication;replications_total;order_mode;bootstrap_seed;pod_location_mode;pod_location_seed;ticks_elapsed;steps_elapsed;stopped_cleanly_before_horizon;arrived_orders_by_horizon;fulfilled_orders;fulfilled_over_arrived;throughput_orders_per_hour;on_hold_orders;unfinished_orders;job_queue_length;sku_queue_length;pod_visits;delivered_order_lines;picked_units;delivered_order_lines_per_pod_visit;picked_units_per_pod_visit;replenishment_count;replenishment_trips;health_status_final;health_consistency_violations;health_zombie_orders;health_pending_replenishment_count;health_aged_pending_replenishment_count;health_oldest_pending_replenishment_age;health_last_progress_tick;health_progress_gap;health_stalled_tick_count;stop_and_go;total_energy;total_fixed_load_energy;variable_energy;energy_per_fulfilled_order;fixed_energy_per_fulfilled_order;variable_energy_per_delivered_line;energy_per_pod_visit;variable_energy_per_pod_visit;wall_clock_seconds
Cindy Scenario 3;1;10;bootstrap_actual;42;identity;;1000.0499999998941;6667;0;57;16;0.2807017543859649;0.9599520023999817;0;41;0;26;48;42;551;0.875;11.479166666666666;1;1;healthy;0;0;0;0;0;0;1000;0;800;331290.7100123616;40711.02672000001;290579.68329236156;20705.6693757726;2544.4391700000006;6918.56388791337;6901.8897919242;6053.743401924199;11.42444133758545
Cindy Scenario 3;2;10;bootstrap_actual;43;identity;;1000.0499999998941;6667;0;70;61;0.8714285714285714;3.65981700914993;0;9;0;15;173;185;1581;1.069364161849711;9.138728323699421;2;2;healthy;0;0;0;0;0;0;1000;0;3134;1413621.6817166666;173280.30719999995;1240341.3745166666;23174.125929781418;2840.6607737704912;6704.5479703603605;8171.223593737957;7169.603320905588;31.704039812088013
Cindy Scenario 3;3;10;bootstrap_actual;44;identity;;1000.0499999998941;6667;0;173;71;0.41040462427745666;4.2597870106499185;0;102;0;51;198;234;1829;1.1818181818181819;9.237373737373737;1;1;healthy;0;0;0;0;0;0;1000;0;3517;1617978.292358183;198410.87447999997;1419567.417878183;22788.426652932158;2794.519358873239;6066.527426829843;8171.607537162541;7169.532413526177;43.18057680130005
Cindy Scenario 3;4;10;bootstrap_actual;45;identity;;1000.0499999998941;6667;0;64;64;1.0;3.8398080095999267;0;0;0;0;158;176;1318;1.1139240506329113;8.341772151898734;7;7;healthy;0;0;0;0;0;0;1000;0;3005;1418012.112409465;174634.0596;1243378.052809465;22156.43925639789;2728.65718125;7064.648027326505;8974.760205123197;7869.481346895348;34.28224325180054
Cindy Scenario 3;5;10;bootstrap_actual;46;identity;;1000.0499999998941;6667;0;85;71;0.8352941176470589;4.2597870106499185;0;14;0;36;180;216;1986;1.2;11.033333333333333;1;1;healthy;0;0;0;0;0;0;1000;0;3149;1491471.4517945203;178941.45359999995;1312529.9981945204;21006.640166120003;2520.302163380281;6076.527769419075;8285.952509969557;7291.833323302891;40.959120988845825
Cindy Scenario 3;6;10;bootstrap_actual;47;identity;;1000.0499999998941;6667;0;52;51;0.9807692307692307;3.0598470076499416;0;1;0;0;132;134;1148;1.0151515151515151;8.696969696969697;3;3;healthy;0;0;0;0;0;0;1000;0;2664;1211170.0916737278;141824.02416;1069346.0675137278;23748.433170073095;2780.863218823529;7980.194533684536;9175.530997528242;8101.106572073695;33.12349724769592
Cindy Scenario 3;7;10;bootstrap_actual;48;identity;;1000.0499999998941;6667;0;92;92;1.0;5.519724013799895;0;0;0;0;156;170;1862;1.0897435897435896;11.935897435897436;4;4;healthy;0;0;0;0;0;0;1000;0;3159;1450781.8911473388;169342.1184;1281439.7727473387;15769.368382036291;1840.6752000000001;7537.881016160816;9299.883917611147;8214.357517611146;34.371500968933105
Cindy Scenario 3;8;10;bootstrap_actual;49;identity;;1000.0499999998941;6667;0;72;66;0.9166666666666666;3.9598020098999243;0;6;0;1;199;243;2214;1.221105527638191;11.125628140703517;3;3;healthy;0;0;0;0;0;0;1000;0;3486;1637169.6513169783;203062.85999999993;1434106.7913169784;24805.600777529973;3076.709999999999;5901.674038341475;8226.983172447128;7206.56679053758;41.09907364845276
Cindy Scenario 3;9;10;bootstrap_actual;50;identity;;1000.0499999998941;6667;0;71;66;0.9295774647887324;3.9598020098999243;0;5;0;13;169;186;1446;1.1005917159763314;8.55621301775148;1;1;healthy;0;0;0;0;0;0;1000;0;2931;1360418.6652736894;167496.09239999996;1192922.5728736895;20612.404019298323;2537.819581818181;6413.562219751018;8049.814587418281;7058.7134489567425;33.72500419616699
Cindy Scenario 3;10;10;bootstrap_actual;51;identity;;1000.0499999998941;6667;0;159;82;0.5157232704402516;4.919754012299906;0;77;0;26;192;214;1886;1.1145833333333333;9.822916666666666;6;6;healthy;0;0;0;0;0;0;1000;0;3483;1663445.8888091804;197278.64519999994;1466167.2436091804;20285.92547328269;2405.837136585365;6851.248801912058;8663.780670881148;7636.287727131148;39.515090227127075
