scenario,replication,replications_total,order_mode,bootstrap_seed,pod_location_mode,pod_location_seed,ticks_elapsed,steps_elapsed,stopped_cleanly_before_horizon,arrived_orders_by_horizon,fulfilled_orders,fulfilled_over_arrived,throughput_orders_per_hour,on_hold_orders,unfinished_orders,job_queue_length,sku_queue_length,pod_visits,delivered_order_lines,picked_units,delivered_order_lines_per_pod_visit,picked_units_per_pod_visit,replenishment_count,replenishment_trips,health_status_final,health_consistency_violations,health_zombie_orders,health_pending_replenishment_count,health_aged_pending_replenishment_count,health_oldest_pending_replenishment_age,health_last_progress_tick,health_progress_gap,health_stalled_tick_count,stop_and_go,total_energy,total_fixed_load_energy,variable_energy,energy_per_fulfilled_order,fixed_energy_per_fulfilled_order,variable_energy_per_delivered_line,energy_per_pod_visit,variable_energy_per_pod_visit,wall_clock_seconds
Cindy Scenario 3,1,10,bootstrap_actual,42,shuffle,42,100000.05,666667,0,4421,4407,0.996833296,2.644198678,14,14,0,0,10034,11364,101760,1.132549332,10.14151884,728,679,healthy,0,0,0,0,0,0,100000,0,197896,92760005.91,11338513.22,81421492.69,21048.33354,2572.841664,7164.862082,9244.569056,8114.559766,3174.932446
Cindy Scenario 3,2,10,bootstrap_actual,43,shuffle,43,100000.05,666667,0,3842,3765,0.979958355,2.258998871,7,77,0,53,8693,9830,87056,1.130794892,10.01449442,587,539,healthy,0,0,0,0,0,0,100000,0,171304,79255636.57,9758561.096,69497075.47,21050.63388,2591.915298,7069.895775,9117.178945,7994.602033,2697.122937
Cindy Scenario 3,3,10,bootstrap_actual,44,shuffle,44,100000.05,666667,0,4442,4437,0.998874381,2.662198669,5,5,0,0,10250,11616,101856,1.133268293,9.937170732,757,693,healthy,0,0,0,0,0,0,100000,0,199333,94270317.21,11581942.51,82688374.7,21246.40911,2610.309333,7118.489558,9197.104118,8067.158508,3115.097278
Cindy Scenario 3,4,10,bootstrap_actual,45,shuffle,45,100000.05,666667,0,3790,3757,0.991292876,2.254198873,6,33,0,42,8358,9367,87730,1.120722661,10.49653027,562,519,healthy,0,0,0,0,0,0,100000,0,163154,76181092.57,9383743.977,66797348.59,20277.10742,2497.669411,7131.135753,9114.751444,7992.025436,2647.99869
Cindy Scenario 3,5,10,bootstrap_actual,46,shuffle,46,100000.05,666667,0,3929,3754,0.955459404,2.252398874,13,175,0,42,8267,9352,88198,1.131244708,10.66868271,565,512,healthy,0,0,0,0,0,0,100000,0,168646,76004974.58,9280514.203,66724460.38,20246.39706,2472.16681,7134.779766,9193.779434,8071.181853,2773.879789
Cindy Scenario 3,6,10,bootstrap_actual,47,shuffle,47,100000.05,666667,0,4863,4857,0.998766194,2.914198543,6,6,0,0,11128,12685,112181,1.139917326,10.08096693,895,811,healthy,0,0,0,0,0,0,100000,0,217294,101772843.3,12636097.2,89136746.07,20953.84873,2601.625941,7026.940959,9145.654499,8010.131746,3207.779792
Cindy Scenario 3,7,10,bootstrap_actual,48,shuffle,48,100000.05,666667,0,4276,1230,0.287652011,0.737999631,4,3046,0,30,2779,3114,28064,1.120546959,10.09859662,97,97,healthy,0,0,0,0,0,0,100000,0,1025879,32700622.12,3027630.322,29672991.8,26585.87164,2461.488067,9528.899099,11767.04646,10677.57891,4496.498803
Cindy Scenario 3,8,10,bootstrap_actual,49,shuffle,49,100000.05,666667,0,4804,4790,0.997085762,2.873998563,14,14,0,0,10948,12410,110846,1.133540373,10.12477165,877,783,healthy,0,0,0,0,0,0,100000,0,214159,99432931.45,12415952.44,87016979.01,20758.4408,2592.056878,7011.843595,9082.291876,7948.207802,3395.968408
Cindy Scenario 3,9,10,bootstrap_actual,50,shuffle,50,100000.05,666667,0,4040,3980,0.985148515,2.387998806,8,60,0,30,9171,10402,92013,1.134227456,10.03303893,669,617,healthy,0,0,0,0,0,0,100000,0,178263,83816727.25,10347591.07,73469136.17,21059.47921,2599.897254,7062.981751,9139.322565,8011.027824,2869.759399
Cindy Scenario 3,10,10,bootstrap_actual,51,shuffle,51,100000.05,666667,0,5074,1622,0.3196689,0.973199513,12,3452,0,41,3609,4051,36776,1.122471599,10.19008035,131,129,healthy,0,0,0,0,0,0,100000,0,1195731,34320405.63,3941363.965,30379041.66,21159.31296,2429.940792,7499.1463,9509.671828,8417.578737,3824.253714
,,,,,,,,,,,,0.987927348,2.531023735,9.125,48,0,20.875,9606.125,10878.25,97705,1.13203313,10.18714681,705,644.125,#DIV/0!,0,0,0,0,0,0,100000,0,188756.125,87936816.1,10842864.46,77093951.64,20830.08122,2567.310324,7090.116155,9154.331492,8026.111871,2985.317342
