scenario,replication,replications_total,order_mode,bootstrap_seed,pod_location_mode,pod_location_seed,ticks_elapsed,steps_elapsed,stopped_cleanly_before_horizon,arrived_orders_by_horizon,fulfilled_orders,fulfilled_over_arrived,throughput_orders_per_hour,on_hold_orders,unfinished_orders,job_queue_length,sku_queue_length,pod_visits,delivered_order_lines,picked_units,delivered_order_lines_per_pod_visit,picked_units_per_pod_visit,replenishment_count,replenishment_trips,health_status_final,health_consistency_violations,health_zombie_orders,health_pending_replenishment_count,health_aged_pending_replenishment_count,health_oldest_pending_replenishment_age,health_last_progress_tick,health_progress_gap,health_stalled_tick_count,stop_and_go,total_energy,total_fixed_load_energy,variable_energy,energy_per_fulfilled_order,fixed_energy_per_fulfilled_order,variable_energy_per_delivered_line,energy_per_pod_visit,variable_energy_per_pod_visit,wall_clock_seconds
Cindy Scenario 3,1,10,bootstrap_actual,42,shuffle,42,100000.05,666667,0,4421,4408,0.997059489,2.644798678,13,13,0,0,9997,11365,101765,1.136841052,10.17955387,731,681,healthy,0,0,0,0,0,0,100000,0,197822,92619307.02,11301469.63,81317837.39,21011.63952,2563.854271,7155.111077,9264.710115,8134.224006,3551.590605
Cindy Scenario 3,2,10,bootstrap_actual,43,shuffle,43,100000.05,666667,0,3842,3757,0.977876106,2.254198873,7,85,0,37,8701,9812,86743,1.127686473,9.969313872,586,536,healthy,0,0,0,0,0,0,100000,0,171196,79394723.01,9764542.22,69630180.79,21132.47884,2599.026409,7096.430981,9124.781405,8002.549223,3155.583238
Cindy Scenario 3,3,10,bootstrap_actual,44,shuffle,44,100000.05,666667,0,4442,4437,0.998874381,2.662198669,5,5,0,0,10292,11616,101856,1.128643607,9.896618733,759,696,healthy,0,0,0,0,0,0,100000,0,200122,94977759.82,11629569.98,83348189.84,21405.85076,2621.043494,7175.291825,9228.309349,8098.347245,3603.372933
Cindy Scenario 3,4,10,bootstrap_actual,45,shuffle,45,100000.05,666667,0,3790,3762,0.992612137,2.257198871,5,28,0,42,8359,9383,87897,1.122502692,10.51525302,565,523,healthy,0,0,0,0,0,0,100000,0,162050,75831734.36,9387829.848,66443904.51,20157.29249,2495.435898,7081.307099,9071.866774,7948.78628,2863.666395
Cindy Scenario 3,5,10,bootstrap_actual,46,shuffle,46,100000.05,666667,0,3929,3758,0.956477475,2.254798873,13,171,0,35,8259,9361,88301,1.133430197,10.69148807,566,514,healthy,0,0,0,0,0,0,100000,0,158396,75347980.43,9272047.097,66075933.33,20050.0214,2467.282357,7058.640458,9123.136025,8000.476248,2974.261812
Cindy Scenario 3,6,10,bootstrap_actual,47,shuffle,47,100000.05,666667,0,4863,4857,0.998766194,2.914198543,6,6,0,0,11126,12685,112181,1.140122236,10.08277908,893,816,healthy,0,0,0,0,0,0,100000,0,218525,101734306.6,12639272.36,89095034.28,20945.91448,2602.279671,7023.652683,9143.834859,8007.822603,3925.960243
Cindy Scenario 3,1,1,bootstrap_actual,48,shuffle,42,100000.05,666667,0,4276,3055,0.71445276,1.832999084,5,1221,0,37,6776,7666,68795,1.131345927,10.15274498,367,346,healthy,0,0,0,0,0,0,100000,0,527919,61073224.3,7525066.545,53548157.76,19991.23545,2463.196905,6985.149721,9013.167695,7902.620685,3010.495898
Cindy Scenario 3,8,10,bootstrap_actual,49,shuffle,49,100000.05,666667,0,4804,4790,0.997085762,2.873998563,14,14,0,0,10844,12410,110846,1.144411656,10.22187385,877,789,healthy,0,0,0,0,0,0,100000,0,212768,98750041.39,12312230.4,86437810.99,20615.87503,2570.403005,6965.174133,9106.422113,7971.026466,3920.272273
Cindy Scenario 3,9,10,bootstrap_actual,50,shuffle,50,100000.05,666667,0,4040,3981,0.98539604,2.388598806,8,59,0,27,9267,10404,92060,1.122693428,9.93417503,672,626,healthy,0,0,0,0,0,0,100000,0,179477,84441618.71,10457934.2,73983684.51,21211.15768,2626.961618,7111.080787,9112.077124,7983.563668,3348.789896
Cindy Scenario 3,1,1,bootstrap_actual,51,shuffle,42,100000.05,666667,0,5074,5067,0.998620418,3.04019848,7,7,0,0,11290,12757,115520,1.129937998,10.23206377,926,836,healthy,0,0,0,0,0,0,100000,0,221062,103739462.8,12834015.8,90905446.97,20473.54702,2532.862798,7125.926705,9188.614948,8051.855356,4252.794237
