scenario;replication;replications_total;order_mode;bootstrap_seed;pod_location_mode;pod_location_seed;ticks_elapsed;steps_elapsed;stopped_cleanly_before_horizon;arrived_orders_by_horizon;fulfilled_orders;fulfilled_over_arrived;throughput_orders_per_hour;on_hold_orders;unfinished_orders;job_queue_length;sku_queue_length;pod_visits;delivered_order_lines;picked_units;delivered_order_lines_per_pod_visit;picked_units_per_pod_visit;replenishment_count;replenishment_trips;health_status_final;health_consistency_violations;health_zombie_orders;health_pending_replenishment_count;health_aged_pending_replenishment_count;health_oldest_pending_replenishment_age;health_last_progress_tick;health_progress_gap;health_stalled_tick_count;stop_and_go;total_energy;total_fixed_load_energy;variable_energy;energy_per_fulfilled_order;fixed_energy_per_fulfilled_order;variable_energy_per_delivered_line;energy_per_pod_visit;variable_energy_per_pod_visit;wall_clock_seconds
My Scenario;1;10;bootstrap_actual;42;shuffle;42;100000.0499991114;666667;0;4421;4408;0.9970594888034381;2.6447986776241628;13;13;0;0;9853;11365;101765;1.153455800263879;10.328326398051354;720;660;healthy;0;0;0;0;0;0;100000;0;192870;88245119.8424527;11126835.567120148;77118284.27533256;20019.310309086366;2524.23674390203;6785.594744859882;8956.16764868088;7826.883616698727;2097.6905534267426
My Scenario;2;10;bootstrap_actual;43;shuffle;43;100000.0499991114;666667;0;3842;3759;0.978396668401874;2.255398872320605;7;83;0;40;8542;9816;86780;1.1491453992039335;10.15921329899321;580;545;healthy;0;0;0;0;0;0;100000;0;169140;76275459.71933378;9604947.11904017;66670512.600293614;20291.423176199463;2555.1867834637324;6792.024511032357;8929.461451572673;7805.023718133179;1777.04430103302
My Scenario;3;10;bootstrap_actual;44;shuffle;44;100000.0499991114;666667;0;4442;4437;0.9988743809095002;2.6621986689243218;5;5;0;0;10005;11616;101856;1.1610194902548725;10.180509745127436;745;693;healthy;0;0;0;0;0;0;100000;0;194558;90689946.01665217;11322637.391520128;79367308.62513204;20439.47397265093;2551.8677916430306;6832.585108912882;9064.462370479976;7932.764480273067;1952.090443611145
My Scenario;4;10;bootstrap_actual;45;shuffle;45;100000.0499991114;666667;0;3790;2893;0.7633245382585752;1.7357991321158581;6;897;0;29;6341;7167;67421;1.1302633653997791;10.632550070966724;345;322;healthy;0;0;0;0;0;0;100000;0;125798;56924538.18756487;7040275.504080029;49884262.683484845;19676.646452666737;2433.55530732113;6960.271059506746;8977.217818571971;7866.939391812781;1833.8331637382507
My Scenario;5;10;bootstrap_actual;46;shuffle;46;100000.0499991114;666667;0;3929;3771;0.9597862051412573;2.262598868720671;13;158;0;28;8180;9398;88535;1.1488997555012226;10.823349633251834;569;522;healthy;0;0;0;0;0;0;100000;0;159170;74100980.25173567;9199313.672640147;64901666.57909553;19650.22016752471;2439.489173333372;6905.901955639022;9058.799541776976;7934.1890683490865;1667.765276670456
My Scenario;6;10;bootstrap_actual;47;shuffle;47;100000.0499991114;666667;0;4863;4857;0.9987661937075879;2.914198542926624;6;6;0;0;10974;12685;112181;1.1559139784946237;10.222434845999636;879;802;healthy;0;0;0;0;0;0;100000;0;217729;100819612.57730918;12463579.91424;88356032.66306917;20757.589577374754;2566.106632538604;6965.3947704429775;9187.13437008467;8051.397180888388;2183.732188463211
My Scenario;7;10;bootstrap_actual;48;shuffle;48;100000.0499991114;666667;0;4276;4217;0.9862020579981291;2.5301987349231156;6;59;0;32;9175;10435;95093;1.1373297002724796;10.364359673024524;670;618;healthy;0;0;0;0;0;0;100000;0;183226;83663364.77755545;10352169.21648021;73311195.56107524;19839.54583295126;2454.8658326962795;7025.509876480617;9118.622864038742;7990.321042079046;1888.136521577835
My Scenario;8;10;bootstrap_actual;49;shuffle;49;100000.0499991114;666667;0;4804;1221;0.2541631973355537;0.732599633706693;9;3583;0;63;2616;2963;27917;1.132645259938838;10.671636085626911;99;93;healthy;0;0;0;0;0;0;100000;0;49098;23030733.83968946;2856294.495599994;20174439.344089467;18862.189876895543;2339.3075312039264;6808.7881687780855;8803.797339330833;7711.941645294139;4599.371141195297
My Scenario;9;10;bootstrap_actual;50;shuffle;50;100000.0499991114;666667;0;4040;3991;0.9878712871287129;2.394598802721877;10;49;0;36;9039;10428;92322;1.153667441088616;10.213740458015268;674;622;healthy;0;0;0;0;0;0;100000;0;179430;82898064.41462386;10212880.401360203;72685184.01326366;20771.2514193495;2558.97780039093;6970.194094098932;9171.154377101875;8041.285984430098;1881.0653643608093
My Scenario;10;10;bootstrap_actual;51;shuffle;51;100000.0499991114;666667;0;5074;5067;0.9986204178163185;3.040198479927775;7;7;0;0;11130;12757;115520;1.1461814914645103;10.379155435759209;915;805;healthy;0;0;0;0;0;0;100000;0;215218;101100811.21373731;12631863.644399982;88468947.56933732;19952.79479252759;2492.9669714624;6934.933571320634;9083.630836813774;7948.692503983587;2189.9627051353455
