scenario;replication;replications_total;order_mode;bootstrap_seed;pod_location_mode;pod_location_seed;ticks_elapsed;steps_elapsed;stopped_cleanly_before_horizon;arrived_orders_by_horizon;fulfilled_orders;fulfilled_over_arrived;throughput_orders_per_hour;on_hold_orders;unfinished_orders;job_queue_length;sku_queue_length;pod_visits;delivered_order_lines;picked_units;delivered_order_lines_per_pod_visit;picked_units_per_pod_visit;replenishment_count;replenishment_trips;health_status_final;health_consistency_violations;health_zombie_orders;health_pending_replenishment_count;health_aged_pending_replenishment_count;health_oldest_pending_replenishment_age;health_last_progress_tick;health_progress_gap;health_stalled_tick_count;stop_and_go;total_energy;total_fixed_load_energy;variable_energy;energy_per_fulfilled_order;fixed_energy_per_fulfilled_order;variable_energy_per_delivered_line;energy_per_pod_visit;variable_energy_per_pod_visit;wall_clock_seconds
My Scenario;1;10;bootstrap_actual;42;shuffle;42;100000.0499991114;666667;0;4421;4408;0.9970594888034381;2.6447986776241628;13;13;0;0;9855;11365;101765;1.1532217148655506;10.32623033992897;721;660;healthy;0;0;0;0;0;0;100000;0;193149;88194286.42498331;11128952.343600146;77065334.08138317;20007.778227083327;2524.71695635212;6780.935686879293;8949.191925416875;7819.922281215948;3559.7939743995667
My Scenario;2;10;bootstrap_actual;43;shuffle;43;100000.0499991114;666667;0;3842;3776;0.982821447162936;2.2655988672206986;7;66;0;44;8558;9847;87324;1.1506193035756018;10.203785931292359;581;546;healthy;0;0;0;0;0;0;100000;0;169030;76400037.00234942;9622865.87808017;66777171.12426925;20233.06064680864;2548.4284634746214;6781.4736594159895;8927.323790879811;7802.894499213513;3009.43204331398
My Scenario;3;10;bootstrap_actual;44;shuffle;44;100000.0499991114;666667;0;4442;4437;0.9988743809095002;2.6621986689243218;5;5;0;0;10010;11616;101856;1.1604395604395605;10.175424575424575;746;693;healthy;0;0;0;0;0;0;100000;0;193907;90642877.24507724;11327929.332720123;79314947.91235712;20428.86573024053;2553.060476159595;6828.077471793829;9055.232492015708;7923.571220015697;3498.172331571579
My Scenario;4;10;bootstrap_actual;45;shuffle;45;100000.0499991114;666667;0;3790;3762;0.9926121372031662;2.2571988714206217;5;28;0;50;8284;9374;87784;1.131578947368421;10.59681313375181;560;515;healthy;0;0;0;0;0;0;100000;0;167327;74974410.71975979;9300057.464880152;65674353.25487964;19929.402105199308;2472.1045892823367;7006.011655097039;9050.508295480418;7927.855293925596;3064.1832048892975
My Scenario;5;10;bootstrap_actual;46;shuffle;46;100000.0499991114;666667;0;3929;3762;0.9574955459404428;2.2571988714206217;13;167;0;24;8167;9379;88362;1.1484021060364884;10.819395126729521;569;525;healthy;0;0;0;0;0;0;100000;0;159268;73984368.68306586;9187794.470400147;64796574.212665714;19666.233036434307;2442.2632829346485;6908.686876283795;9058.940698306093;7933.950558670958;2998.0359263420105
My Scenario;6;10;bootstrap_actual;47;shuffle;47;100000.0499991114;666667;0;4863;4857;0.9987661937075879;2.914198542926624;6;6;0;0;10974;12685;112181;1.1559139784946237;10.222434845999636;880;803;healthy;0;0;0;0;0;0;100000;0;215213;100483336.06538789;12464638.302480001;88018697.76290789;20688.3541415252;2566.3245424088946;6938.801557974607;9156.491349133214;8020.657714863121;3932.328402519226
My Scenario;7;10;bootstrap_actual;48;shuffle;48;100000.0499991114;666667;0;4276;4214;0.9855004677268475;2.5283987358230995;6;62;0;34;9163;10428;94962;1.1380552220888356;10.363636363636363;671;615;healthy;0;0;0;0;0;0;100000;0;181766;83671213.84150942;10336859.50752021;73334354.3339892;19855.532473068204;2452.9804241860966;7032.44671403809;9131.421351250618;8003.312706972521;3467.8792641162872
My Scenario;8;10;bootstrap_actual;49;shuffle;49;100000.0499991114;666667;0;4804;1221;0.2541631973355537;0.732599633706693;9;3583;0;63;2616;2963;27917;1.132645259938838;10.671636085626911;99;93;healthy;0;0;0;0;0;0;100000;0;49098;23030733.83968946;2856294.495599994;20174439.344089467;18862.189876895543;2339.3075312039264;6808.7881687780855;8803.797339330833;7711.941645294139;8777.666013479233
My Scenario;9;10;bootstrap_actual;50;shuffle;50;100000.0499991114;666667;0;4040;3988;0.9871287128712871;2.3927988036218606;8;52;0;31;9073;10420;92169;1.148462471068004;10.158602446820236;677;629;healthy;0;0;0;0;0;0;100000;0;177178;82623197.12683518;10256126.637120204;72367070.48971498;20717.95314113219;2571.7468999799908;6945.016361776869;9106.491472152009;7976.090652453982;3127.1822714805603
My Scenario;10;10;bootstrap_actual;51;shuffle;51;100000.0499991114;666667;0;5074;5067;0.9986204178163185;3.040198479927775;7;7;0;0;11143;12757;115520;1.1448442968679888;10.367046576325945;915;813;healthy;0;0;0;0;0;0;100000;0;217085;101546688.73178469;12654089.79743998;88892598.93434471;20040.791145013754;2497.3534236116006;6968.142896789583;9113.04753942248;7977.438655150741;2474.158363342285
