scenario,replication,replications_total,order_mode,bootstrap_seed,pod_location_mode,pod_location_seed,ticks_elapsed,steps_elapsed,stopped_cleanly_before_horizon,arrived_orders_by_horizon,fulfilled_orders,fulfilled_over_arrived,throughput_orders_per_hour,on_hold_orders,unfinished_orders,job_queue_length,sku_queue_length,pod_visits,delivered_order_lines,picked_units,delivered_order_lines_per_pod_visit,picked_units_per_pod_visit,replenishment_count,replenishment_trips,health_status_final,health_consistency_violations,health_zombie_orders,health_pending_replenishment_count,health_aged_pending_replenishment_count,health_oldest_pending_replenishment_age,health_last_progress_tick,health_progress_gap,health_stalled_tick_count,stop_and_go,total_energy,total_fixed_load_energy,variable_energy,energy_per_fulfilled_order,fixed_energy_per_fulfilled_order,variable_energy_per_delivered_line,energy_per_pod_visit,variable_energy_per_pod_visit,wall_clock_seconds
My Scenario Fallback Random,1,10,bootstrap_actual,42,shuffle,42,100000.05,666667,0,4421,4408,0.997059489,2.644798678,13,13,0,0,9959,11365,101765,1.141178833,10.21839542,722,665,healthy,0,0,0,0,0,0,100000,0,197070,90868578.62,11242273.73,79626304.9,20614.46883,2550.425074,7006.274078,9124.267359,7995.411678,2771.984252
My Scenario Fallback Random,2,10,bootstrap_actual,43,shuffle,43,100000.05,666667,0,3842,3769,0.980999479,2.261398869,7,73,0,38,8541,9841,87078,1.152207002,10.19529329,585,535,healthy,0,0,0,0,0,0,100000,0,163952,78150358.88,9594289.396,68556069.48,20735.03817,2545.579569,6966.372268,9150.024456,8026.702902,2430.611918
My Scenario Fallback Random,3,10,bootstrap_actual,44,shuffle,44,100000.05,666667,0,4442,4437,0.998874381,2.662198669,5,5,0,0,10081,11616,101856,1.15226664,10.10375955,748,690,healthy,0,0,0,0,0,0,100000,0,194411,91118482.82,11399899.73,79718583.09,20536.05653,2569.280986,6862.825679,9038.635336,7907.805088,2830.320818
My Scenario Fallback Random,4,10,bootstrap_actual,45,shuffle,45,100000.05,666667,0,3790,3762,0.992612137,2.257198871,5,28,0,43,8249,9383,87871,1.137471209,10.65232149,564,520,healthy,0,0,0,0,0,0,100000,0,159342,75676011.42,9268035.067,66407976.35,20115.89884,2463.592522,7077.47803,9173.961864,8050.427488,2290.975013
My Scenario Fallback Random,5,10,bootstrap_actual,46,shuffle,46,100000.05,666667,0,3929,3764,0.958004581,2.258398871,13,165,0,29,8237,9377,88380,1.138399903,10.72963458,568,521,healthy,0,0,0,0,0,0,100000,0,160943,75099603.58,9257795.776,65841807.8,19952.07321,2459.563171,7021.628218,9117.348984,7993.420882,2290.592685
My Scenario Fallback Random,6,10,bootstrap_actual,47,shuffle,47,100000.05,666667,0,4863,2117,0.435327987,1.270199365,6,2746,0,44,4685,5366,49099,1.145357524,10.48004269,217,205,healthy,0,0,0,0,0,0,100000,0,869013,46123728.11,5161119.491,40962608.62,21787.30662,2437.940241,7633.732505,9844.97932,8743.352961,3274.607046
My Scenario Fallback Random,7,10,bootstrap_actual,48,shuffle,48,100000.05,666667,0,4276,2649,0.61950421,1.589399205,5,1627,0,30,5887,6675,59452,1.133854255,10.0988619,287,272,healthy,0,0,0,0,0,0,100000,0,322064,54919415.94,6503648.053,48415767.89,20732.13135,2455.133278,7253.29856,9328.930854,8224.183436,2683.637056
My Scenario Fallback Random,8,10,bootstrap_actual,49,shuffle,49,100000.05,666667,0,4804,4790,0.997085762,2.873998563,14,14,0,0,10800,12410,110846,1.149074074,10.26351852,867,767,healthy,0,0,0,0,0,0,100000,0,216730,98980090.18,12242376.77,86737713.4,20663.90192,2555.819785,6989.340323,9164.823165,8031.26976,3003.191326
My Scenario Fallback Random,9,10,bootstrap_actual,50,shuffle,50,100000.05,666667,0,4040,3978,0.984653465,2.386798807,8,62,0,26,9087,10401,92036,1.144602179,10.12831518,675,623,healthy,0,0,0,0,0,0,100000,0,175032,82825757.68,10264322.99,72561434.69,20820.95467,2580.272245,6976.390221,9114.752689,7985.191448,2456.177157
,,,,,,,,,,,,0.987041328,2.477827333,9.285714286,51.42857143,0,19.42857143,9279.142857,10627.57143,95690.28571,1.145028548,10.32731972,675.5714286,617.2857143,#DIV/0!,0,0,0,0,0,0,100000,0,181068.5714,84674126.17,10466999.07,74207127.1,20491.19888,2532.076193,6985.758402,9126.259122,7998.604178,2581.979024
