scenario;result_kind;checkpoint_target_tick;checkpoint_interval_ticks;replication;replications_total;order_mode;bootstrap_seed;pod_location_mode;pod_location_seed;ticks_elapsed;steps_elapsed;stopped_cleanly_before_horizon;arrived_orders_by_horizon;fulfilled_orders;fulfilled_over_arrived;throughput_orders_per_hour;on_hold_orders;unfinished_orders;job_queue_length;sku_queue_length;pod_visits;delivered_order_lines;picked_units;delivered_order_lines_per_pod_visit;picked_units_per_pod_visit;replenishment_count;replenishment_trips;health_status_final;health_consistency_violations;health_zombie_orders;health_pending_replenishment_count;health_aged_pending_replenishment_count;health_oldest_pending_replenishment_age;health_last_progress_tick;health_progress_gap;health_stalled_tick_count;stop_and_go;total_energy;total_fixed_load_energy;variable_energy;energy_per_fulfilled_order;fixed_energy_per_fulfilled_order;variable_energy_per_delivered_line;energy_per_pod_visit;variable_energy_per_pod_visit;wall_clock_seconds
My Scenario Fallback Random;final;;;1;100;bootstrap_actual;42;shuffle;42;100000.0499991114;666667;0;4421;4408;0.9970594888034381;2.6447986776241628;13;13;0;0;9959;11365;101765;1.1411788332161863;10.218395421227031;722;665;healthy;0;0;0;0;0;0;100000;0;197070;90868578.62435172;11242273.726320136;79626304.89803159;20614.468834925527;2550.425074029069;7006.274078137403;9124.267358605455;7995.411677681654;3211.6338460445404
My Scenario Fallback Random;final;;;2;100;bootstrap_actual;43;shuffle;42;100000.0499991114;666667;0;3842;305;0.07938573659552317;0.1829999085016719;0;3537;0;33;685;768;7373;1.121167883211679;10.763503649635037;12;12;healthy;0;0;0;0;0;0;100000;0;819831;13764964.236915868;723568.3509600001;13041395.885955868;45131.03028497006;2372.3552490491807;16980.984226505036;20094.83830206696;19038.53414008156;6240.0088675022125
My Scenario Fallback Random;final;;;3;100;bootstrap_actual;44;shuffle;42;100000.0499991114;666667;0;4442;4437;0.9988743809095002;2.6621986689243218;5;5;0;0;10068;11616;101856;1.1537544696066746;10.116805721096544;748;687;healthy;0;0;0;0;0;0;100000;0;198536;92765645.87180589;11382965.521200119;81382680.35060577;20907.29003195986;2565.4643951318726;7006.084740926805;9213.909999186124;8083.301584287423;3291.5248363018036
My Scenario Fallback Random;final;;;4;100;bootstrap_actual;45;shuffle;42;100000.0499991114;666667;0;3790;2296;0.6058047493403694;1.3775993112125857;6;1494;0;36;5032;5691;53106;1.1309618441971383;10.553656597774244;237;220;healthy;0;0;0;0;0;0;100000;0;869599;44694179.83156257;5545314.421919946;39148865.40964262;19466.106198415753;2415.2066297560737;6879.083712817189;8881.991222488587;7779.981202234226;2584.8241748809814
My Scenario Fallback Random;final;;;5;100;bootstrap_actual;46;shuffle;42;100000.0499991114;666667;0;3929;3768;0.9590226520743191;2.2607988696206545;13;161;0;33;8248;9381;88460;1.1373666343355966;10.725024248302619;569;524;healthy;0;0;0;0;0;0;100000;0;158293;74430918.48335604;9272883.962160153;65158034.52119589;19753.42847222825;2460.956465541442;6945.7450720814295;9024.117177904467;7899.85869558631;2573.4916610717773
My Scenario Fallback Random;final;;;6;100;bootstrap_actual;47;shuffle;42;100000.0499991114;666667;0;4863;4857;0.9987661937075879;2.914198542926624;6;6;0;0;11042;12685;112181;1.148795508060134;10.159481977902553;882;791;healthy;0;0;0;0;0;0;100000;0;217230;101310934.47081126;12523908.043919995;88787026.42689127;20858.747060080557;2578.52749514515;6999.371417177081;9175.052931607614;8040.846443297524;3501.824934244156
My Scenario Fallback Random;final;;;7;100;bootstrap_actual;48;shuffle;42;100000.0499991114;666667;0;4276;4220;0.9869036482694107;2.5319987340231322;6;56;0;35;9201;10440;95163;1.1346592761656342;10.342680143462667;671;611;healthy;0;0;0;0;0;0;100000;0;178568;83871845.37205864;10374469.210560208;73497376.16149844;19874.844874895414;2458.4050261991015;7039.978559530502;9115.514114993875;7987.976976578463;2870.5226407051086
My Scenario Fallback Random;final;;;8;100;bootstrap_actual;49;shuffle;42;100000.0499991114;666667;0;4804;3903;0.8124479600333055;2.3417988291213945;14;901;0;31;8885;10240;90819;1.152504220596511;10.221609454136184;629;567;healthy;0;0;0;0;0;0;100000;0;450920;81953590.0982447;9988846.68600019;71964743.4122445;20997.589059247937;2559.2740676403255;7027.806973852002;9223.814304810883;8099.577198902026;3389.3404471874237
My Scenario Fallback Random;final;;;9;100;bootstrap_actual;50;shuffle;42;100000.0499991114;666667;0;4040;3980;0.9851485148514851;2.387998806021817;8;60;0;37;9051;10389;92018;1.1478289691746768;10.166611424152027;675;617;healthy;0;0;0;0;0;0;100000;0;178488;82647667.43767811;10219230.730800204;72428436.70687792;20765.74558735631;2567.645912261358;6971.646617275765;9131.329956654305;8002.257950157764;2957.1893813610077
My Scenario Fallback Random;final;;;10;100;bootstrap_actual;51;shuffle;42;100000.0499991114;666667;0;5074;5067;0.9986204178163185;3.040198479927775;7;7;0;0;11218;12757;115520;1.13719022998752;10.297735781779283;915;815;healthy;0;0;0;0;0;0;100000;0;217890;102556550.34754874;12735585.691919971;89820964.65562877;20240.09282564609;2513.4370814920017;7040.915940709318;9142.142124046064;8006.860817938025;3441.4195601940155
My Scenario Fallback Random;final;;;11;100;bootstrap_actual;42;shuffle;43;100000.0499991114;666667;0;4421;4408;0.9970594888034381;2.6447986776241628;13;13;0;0;9936;11365;101765;1.1438204508856682;10.242049114331722;722;664;healthy;0;0;0;0;0;0;100000;0;192355;91153594.18451364;11217930.796800137;79935663.3877135;20679.12753732161;2544.9026308530256;7033.494358795733;9174.073488779553;8045.05468877954;3092.1564424037933
My Scenario Fallback Random;final;;;12;100;bootstrap_actual;43;shuffle;43;100000.0499991114;666667;0;3842;3769;0.9809994794377929;2.26139886932066;7;73;0;38;8541;9841;87078;1.15220700152207;10.195293291183702;585;535;healthy;0;0;0;0;0;0;100000;0;163952;78150358.88031717;9594289.395600168;68556069.484717;20735.038174666268;2545.5795690103923;6966.372267525353;9150.02445618981;8026.702901851891;2767.879710674286
My Scenario Fallback Random;final;;;13;100;bootstrap_actual;44;shuffle;43;100000.0499991114;666667;0;4442;4437;0.9988743809095002;2.6621986689243218;5;5;0;0;10020;11616;101856;1.1592814371257485;10.165269461077845;748;686;healthy;0;0;0;0;0;0;100000;0;192646;92499410.90618162;11331104.497440126;81168306.40874149;20847.286659044763;2553.776086869535;6987.629683948131;9231.478134349463;8100.629382109929;3118.875230550766
My Scenario Fallback Random;final;;;14;100;bootstrap_actual;45;shuffle;43;100000.0499991114;666667;0;3790;3762;0.9926121372031662;2.2571988714206217;5;28;0;50;8240;9374;87847;1.1376213592233009;10.661043689320389;563;521;healthy;0;0;0;0;0;0;100000;0;159790;75765313.38457306;9260478.667440152;66504834.7171329;20139.63673167811;2461.5839094737244;7094.605794445584;9194.819585506439;8070.9750870306925;2616.9515068531036
My Scenario Fallback Random;final;;;15;100;bootstrap_actual;46;shuffle;43;100000.0499991114;666667;0;3929;3771;0.9597862051412573;2.262598868720671;13;158;0;34;8207;9386;88528;1.1436578530522725;10.786889240891922;569;524;healthy;0;0;0;0;0;0;100000;0;161810;75291653.68380491;9227939.382480148;66063714.30132477;19965.96491217314;2447.0801862848443;7038.53764130884;9174.077456294006;8049.678847486874;2666.601189136505
