scenario;result_kind;checkpoint_target_tick;checkpoint_interval_ticks;replication;replications_total;order_mode;bootstrap_seed;pod_location_mode;pod_location_seed;ticks_elapsed;steps_elapsed;stopped_cleanly_before_horizon;arrived_orders_by_horizon;fulfilled_orders;fulfilled_over_arrived;throughput_orders_per_hour;on_hold_orders;unfinished_orders;job_queue_length;sku_queue_length;pod_visits;delivered_order_lines;picked_units;delivered_order_lines_per_pod_visit;picked_units_per_pod_visit;replenishment_count;replenishment_trips;health_status_final;health_consistency_violations;health_zombie_orders;health_pending_replenishment_count;health_aged_pending_replenishment_count;health_oldest_pending_replenishment_age;health_last_progress_tick;health_progress_gap;health_stalled_tick_count;stop_and_go;total_energy;total_fixed_load_energy;variable_energy;energy_per_fulfilled_order;fixed_energy_per_fulfilled_order;variable_energy_per_delivered_line;energy_per_pod_visit;variable_energy_per_pod_visit;wall_clock_seconds
My Scenario Fallback Random;final;;;1;10;bootstrap_actual;42;shuffle;46;100000.0499991114;666667;0;4421;4408;0.9970594888034381;2.6447986776241628;13;13;0;0;9969;11365;101765;1.140034105727756;10.208145250275855;722;666;healthy;0;0;0;0;0;0;100000;0;194870;90970567.07521102;11255958.93240013;79714608.14281088;20637.605960801047;2553.529703357561;7014.043831307601;9125.345277882538;7996.249186760044;3024.0559709072113
My Scenario Fallback Random;final;;;2;10;bootstrap_actual;43;shuffle;46;100000.0499991114;666667;0;3842;3765;0.9799583550234253;2.2589988705206383;7;77;0;50;8616;9828;86945;1.1406685236768803;10.0911095636026;585;539;healthy;0;0;0;0;0;0;100000;0;167739;77832080.66619277;9676499.086800175;68155581.5793926;20672.531385442966;2570.1192793625964;6934.837360540558;9033.435546215502;7910.35069398707;2670.589560985565
My Scenario Fallback Random;final;;;3;10;bootstrap_actual;44;shuffle;46;100000.0499991114;666667;0;4442;4437;0.9988743809095002;2.6621986689243218;5;5;0;0;10046;11616;101856;1.1562811069082222;10.138960780410114;748;689;healthy;0;0;0;0;0;0;100000;0;194505;91729712.84114252;11361797.756400121;80367915.0847424;20673.814027753553;2560.693657065612;6918.72547217135;9130.968827507717;7999.991547356401;3117.3576896190643
My Scenario Fallback Random;final;;;4;10;bootstrap_actual;45;shuffle;46;100000.0499991114;666667;0;3790;3755;0.9907651715039578;2.2529988735205833;5;35;0;31;8193;9359;87628;1.1423166117417307;10.695471744171854;563;522;healthy;0;0;0;0;0;0;100000;0;161980;74666786.91745469;9212137.399920149;65454649.51753454;19884.630337537867;2453.298908101238;6993.765307995997;9113.48552635844;7989.09428994685;2619.700045824051
My Scenario Fallback Random;final;;;5;10;bootstrap_actual;46;shuffle;46;100000.0499991114;666667;0;3929;3764;0.9580045813184016;2.2583988708206326;13;165;0;29;8237;9377;88380;1.1383999028772611;10.729634575695034;568;521;healthy;0;0;0;0;0;0;100000;0;160943;75099603.57849112;9257795.77632015;65841807.80217097;19952.07321426438;2459.563171179636;7021.628218211685;9117.348983670161;7993.420881652418;2673.0676097869873
My Scenario Fallback Random;final;;;6;10;bootstrap_actual;47;shuffle;46;100000.0499991114;666667;0;4863;3591;0.7384330660086367;2.1545989227196842;6;1272;0;39;8186;9395;82978;1.147691180063523;10.136574639628634;541;497;healthy;0;0;0;0;0;0;100000;0;354319;75423076.97791201;9177358.270080145;66245718.70783186;21003.36312389641;2555.655324444485;7051.1675048251045;9213.666867568045;8092.562754438292;3348.6169526576996
My Scenario Fallback Random;final;;;7;10;bootstrap_actual;48;shuffle;46;100000.0499991114;666667;0;4276;4219;0.9866697848456502;2.531398734323127;6;57;0;33;9164;10436;95132;1.138804015713662;10.381056307289393;671;614;healthy;0;0;0;0;0;0;100000;0;179415;83712643.15120794;10337130.25800021;73375512.89320773;19841.82108348138;2450.1375344868948;7030.999702300473;9134.945782541241;8006.930695461341;3231.5275840759277
My Scenario Fallback Random;final;;;8;10;bootstrap_actual;49;shuffle;46;100000.0499991114;666667;0;4804;4790;0.9970857618651124;2.8739985630262566;14;14;0;0;10776;12410;110846;1.1516332590942835;10.28637713437268;866;774;healthy;0;0;0;0;0;0;100000;0;210506;98357988.38805759;12224384.172000026;86133604.21605757;20534.026803352313;2552.0635014613836;6940.661097184333;9127.504490354268;7993.096159619299;3880.258267402649
My Scenario Fallback Random;final;;;9;10;bootstrap_actual;50;shuffle;46;100000.0499991114;666667;0;4040;3981;0.9853960396039604;2.388598805721822;8;59;0;39;9050;10393;92124;1.1483977900552487;10.179447513812155;675;620;healthy;0;0;0;0;0;0;100000;0;178425;82864690.2111704;10223316.601680204;72641373.6094902;20815.044011848884;2568.027280000051;6989.4519012306555;9156.31936035032;8026.67111707074;3254.6697108745575
My Scenario Fallback Random;final;;;10;10;bootstrap_actual;51;shuffle;46;100000.0499991114;666667;0;5074;1458;0.28734726054394955;0.8747995626079922;11;3616;0;23;3171;3633;33146;1.1456953642384107;10.45285398927783;123;120;healthy;0;0;0;0;0;0;100000;0;1333828;28183392.44062257;3468535.1719199778;24714857.268702593;19330.17314171644;2378.9678819752935;6802.87841142378;8887.856335737171;7794.026259445787;5433.81716299057
