scenario,replication,replications_total,order_mode,bootstrap_seed,pod_location_mode,pod_location_seed,ticks_elapsed,steps_elapsed,stopped_cleanly_before_horizon,arrived_orders_by_horizon,fulfilled_orders,fulfilled_over_arrived,throughput_orders_per_hour,on_hold_orders,unfinished_orders,job_queue_length,sku_queue_length,pod_visits,delivered_order_lines,picked_units,delivered_order_lines_per_pod_visit,picked_units_per_pod_visit,replenishment_count,replenishment_trips,health_status_final,health_consistency_violations,health_zombie_orders,health_pending_replenishment_count,health_aged_pending_replenishment_count,health_oldest_pending_replenishment_age,health_last_progress_tick,health_progress_gap,health_stalled_tick_count,stop_and_go,total_energy,total_fixed_load_energy,variable_energy,energy_per_fulfilled_order,fixed_energy_per_fulfilled_order,variable_energy_per_delivered_line,energy_per_pod_visit,variable_energy_per_pod_visit,wall_clock_seconds
My Scenario Fallback Random,1,10,bootstrap_actual,42,shuffle,42,100000.05,666667,0,4421,4408,0.997059489,2.644798678,13,13,0,0,10002,11365,101765,1.136272745,10.17446511,723,666,healthy,0,0,0,0,0,0,100000,0,197837,91473619.21,11290885.74,80182733.47,20751.7285,2561.453209,7055.233917,9145.532815,8016.670013,3562.957232
My Scenario Fallback Random,2,10,bootstrap_actual,43,shuffle,43,100000.05,666667,0,3842,2277,0.592660073,1.366199317,9,1565,0,54,5221,6010,53341,1.151120475,10.21662517,266,255,healthy,0,0,0,0,0,0,100000,0,837852,47311310.24,5780990.408,41530319.84,20777.91403,2538.862718,6910.202968,9061.733431,7954.476123,3138.666885
My Scenario Fallback Random,3,10,bootstrap_actual,44,shuffle,44,100000.05,666667,0,4442,4437,0.998874381,2.662198669,5,5,0,0,10083,11616,101856,1.152038084,10.10175543,747,691,healthy,0,0,0,0,0,0,100000,0,193917,91091472.18,11403074.9,79688397.28,20529.96894,2569.996596,6860.227039,9034.16366,7903.242813,3427.355471
My Scenario Fallback Random,4,10,bootstrap_actual,45,shuffle,45,100000.05,666667,0,3790,3759,0.99182058,2.255398872,5,31,0,51,8234,9369,87739,1.13784309,10.6556959,563,519,healthy,0,0,0,0,0,0,100000,0,160035,75667077.96,9252996.109,66414081.85,20129.57647,2461.55789,7088.705503,9189.589259,8065.83457,2791.041022
My Scenario Fallback Random,5,10,bootstrap_actual,46,shuffle,46,100000.05,666667,0,3929,3761,0.957241028,2.256598872,13,168,0,32,8217,9366,88321,1.139832055,10.74857004,567,522,healthy,0,0,0,0,0,0,100000,0,162856,75292278.89,9237957.15,66054321.74,20019.218,2456.250239,7052.564781,9162.98879,8038.739411,3049.537859
My Scenario Fallback Random,6,10,bootstrap_actual,47,shuffle,47,100000.05,666667,0,4863,4856,0.998560559,2.913598543,6,7,0,0,11019,12684,112180,1.151102641,10.18059715,881,796,healthy,0,0,0,0,0,0,100000,0,217654,100279523.1,12503798.67,87775724.41,20650.64314,2574.917353,6920.192716,9100.60106,7965.852111,3876.749082
My Scenario Fallback Random,7,10,bootstrap_actual,48,shuffle,48,100000.05,666667,0,4276,4218,0.986435921,2.530798735,6,58,0,32,9197,10435,95112,1.134609112,10.34163314,672,619,healthy,0,0,0,0,0,0,100000,0,179113,83338543.08,10376585.99,72961957.09,19757.83383,2460.072543,6992.041887,9061.492125,7933.234434,3258.876788
My Scenario Fallback Random,8,10,bootstrap_actual,49,shuffle,49,100000.05,666667,0,4804,4790,0.997085762,2.873998563,14,14,0,0,10859,12410,110846,1.142830832,10.20775394,867,778,healthy,0,0,0,0,0,0,100000,0,210425,99017607.85,12316463.95,86701143.9,20671.73442,2571.286837,6986.393546,9118.483088,7984.265945,3864.93607
My Scenario Fallback Random,9,10,bootstrap_actual,50,shuffle,50,100000.05,666667,0,4040,3980,0.985148515,2.387998806,8,60,0,20,9090,10406,92092,1.144774477,10.13113311,676,623,healthy,0,0,0,0,0,0,100000,0,174688,82726451.25,10267621.23,72458830.03,20785.54052,2579.804328,6963.177977,9100.81972,7971.26843,3262.765679
My Scenario Fallback Random,10,10,bootstrap_actual,51,shuffle,51,100000.05,666667,0,5074,5067,0.998620418,3.04019848,7,7,0,0,11191,12757,115520,1.139933875,10.32258065,917,815,healthy,0,0,0,0,0,0,100000,0,218442,102687215.6,12707009.21,89980206.37,20265.88032,2507.797357,7053.398634,9175.874862,8040.40804,3910.310236
,,,,,,,,,,,,0.950350673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
