scenario;result_kind;checkpoint_target_tick;checkpoint_interval_ticks;replication;replications_total;order_mode;bootstrap_seed;bootstrap_arrival_mode;bootstrap_target_orders_per_hour;pod_location_mode;pod_location_seed;ticks_elapsed;steps_elapsed;stopped_cleanly_before_horizon;arrived_orders_by_horizon;fulfilled_orders;fulfilled_over_arrived;throughput_orders_per_hour;on_hold_orders;unfinished_orders;job_queue_length;sku_queue_length;pod_visits;delivered_order_lines;picked_units;delivered_order_lines_per_pod_visit;picked_units_per_pod_visit;replenishment_count;replenishment_trips;health_status_final;health_consistency_violations;health_zombie_orders;health_pending_replenishment_count;health_aged_pending_replenishment_count;health_oldest_pending_replenishment_age;health_last_progress_tick;health_progress_gap;health_stalled_tick_count;stop_and_go;total_energy;total_fixed_load_energy;variable_energy;energy_per_fulfilled_order;fixed_energy_per_fulfilled_order;variable_energy_per_delivered_line;energy_per_pod_visit;variable_energy_per_pod_visit;wall_clock_seconds
My Scenario Fallback Random;final;;;1;10;bootstrap_actual;42;empirical_gap_scaled;500.0;shuffle;42;50000.100000298065;333334;0;6446;4050;0.6282966180577102;4.859990279990468;18;2396;0;25;9100;10474;93118;1.150989010989011;10.232747252747252;599;551;healthy;0;0;0;0;0;0;50000;0;172899;82301734.1403997;10202296.5189602;72099437.62143949;20321.415837135726;2519.0855602370866;6883.658356066401;9044.146608835132;7923.015123235108;3749.0488109588623
My Scenario Fallback Random;final;;;2;10;bootstrap_actual;43;empirical_gap_scaled;500.0;shuffle;43;50000.100000298065;333334;0;6333;4073;0.6431391125848729;4.887590224790413;20;2260;0;50;9078;10502;93945;1.1568627450980393;10.348645076007932;662;602;healthy;0;0;0;0;0;0;50000;0;171696;83394487.0607696;10232423.663280202;73162063.3974894;20474.953857296736;2512.2572215271794;6966.488611453951;9186.438319097775;8059.271138740846;3757.7218680381775
My Scenario Fallback Random;final;;;3;10;bootstrap_actual;44;empirical_gap_scaled;500.0;shuffle;44;50000.100000298065;333334;0;6524;2046;0.3136112814224402;2.4551950895951844;10;4478;0;53;4784;5449;46921;1.139005016722408;9.807901337792643;208;198;healthy;0;0;0;0;0;0;50000;0;304190;44424618.93004844;5257998.935279934;39166619.99476851;21712.912478029542;2569.8919527272406;7187.854651269684;9286.082552267651;8187.002507267664;4200.506981611252
My Scenario Fallback Random;final;;;4;10;bootstrap_actual;45;empirical_gap_scaled;500.0;shuffle;45;50000.100000298065;333334;0;6262;4149;0.6625678696901949;4.9787900423902345;16;2113;0;27;9070;10430;97239;1.1499448732083792;10.720948180815876;669;615;healthy;0;0;0;0;0;0;50000;0;172814;83496573.72169396;10237592.536080206;73258981.18561375;20124.505596937568;2467.484342270476;7023.871638122124;9205.796441201099;8077.065180332277;3439.436276912689
My Scenario Fallback Random;final;;;5;10;bootstrap_actual;46;empirical_gap_scaled;500.0;shuffle;46;50000.100000298065;333334;0;7096;4058;0.5718714768883878;4.869590260790449;25;3038;0;30;8878;10248;95165;1.1543140346924983;10.719193512052264;649;591;healthy;0;0;0;0;0;0;50000;0;170984;81201809.48532246;10010506.72440019;71191302.76092227;20010.302978147476;2466.8572509611117;6946.848434906545;9146.407916796852;8018.844645294241;3217.3557362556458
My Scenario Fallback Random;final;;;6;10;bootstrap_actual;47;empirical_gap_scaled;500.0;shuffle;47;50000.100000298065;333334;0;8062;3421;0.42433639295460185;4.105191789591948;16;4641;0;14;7678;8923;79108;1.1621516019796823;10.303203959364417;491;454;healthy;0;0;0;0;0;0;50000;0;191609;69760637.25055537;8591921.891280117;61168715.35927525;20391.884609925568;2511.523499351101;6855.1737486579905;9085.782397832165;7966.7511538519475;3431.2387104034424
My Scenario Fallback Random;final;;;7;10;bootstrap_actual;48;empirical_gap_scaled;500.0;shuffle;48;50000.100000298065;333334;0;6478;3947;0.6092929916640939;4.73639052719071;12;2531;0;30;8602;9862;88874;1.1464775633573587;10.331783306207859;602;553;healthy;0;0;0;0;0;0;50000;0;164101;77517619.98735158;9676843.678320173;67840776.30903141;19639.630095604658;2451.6958901241887;6879.00794048179;9011.58102619758;7886.628261919485;3063.221843481064
My Scenario Fallback Random;final;;;8;10;bootstrap_actual;49;empirical_gap_scaled;500.0;shuffle;49;50000.100000298065;333334;0;7723;4039;0.522983296646381;4.846790306390494;26;3684;0;41;9069;10559;93950;1.164295953247326;10.359466313816297;654;584;healthy;0;0;0;0;0;0;50000;0;174022;82424167.57290173;10203354.907200202;72220812.66570152;20407.072932137096;2526.208196880466;6839.739811128092;9088.561867118946;7963.481383361068;3568.0810017585754
My Scenario Fallback Random;final;;;9;10;bootstrap_actual;50;empirical_gap_scaled;500.0;shuffle;50;50000.100000298065;333334;0;5828;4030;0.6914893617021277;4.8359903279905145;15;1798;0;23;9086;10505;92992;1.1561743341404358;10.23464670922298;679;624;healthy;0;0;0;0;0;0;50000;0;172319;83045652.14716308;10263683.036880204;72781969.11028287;20606.861574978433;2546.819612129083;6928.316907213981;9139.957313137033;8010.342186912048;3107.8663823604584
My Scenario Fallback Random;final;;;10;10;bootstrap_actual;51;empirical_gap_scaled;500.0;shuffle;51;50000.100000298065;333334;0;7267;2402;0.33053529654603;2.882394235194347;16;4865;0;20;5246;5974;54470;1.1387723980175373;10.383149065955013;243;231;healthy;0;0;0;0;0;0;50000;0;364012;49629201.55733192;5780695.043759958;43848506.51357196;20661.615968914204;2406.6174203829964;7339.890611578835;9460.389164569562;8358.464832934038;3310.5958857536316
