scenario;result_kind;checkpoint_target_tick;checkpoint_interval_ticks;replication;replications_total;order_mode;bootstrap_seed;bootstrap_arrival_mode;bootstrap_target_orders_per_hour;pod_location_mode;pod_location_seed;ticks_elapsed;steps_elapsed;stopped_cleanly_before_horizon;arrived_orders_by_horizon;fulfilled_orders;fulfilled_over_arrived;throughput_orders_per_hour;on_hold_orders;unfinished_orders;job_queue_length;sku_queue_length;pod_visits;delivered_order_lines;picked_units;delivered_order_lines_per_pod_visit;picked_units_per_pod_visit;replenishment_count;replenishment_trips;health_status_final;health_consistency_violations;health_zombie_orders;health_pending_replenishment_count;health_aged_pending_replenishment_count;health_oldest_pending_replenishment_age;health_last_progress_tick;health_progress_gap;health_stalled_tick_count;stop_and_go;total_energy;total_fixed_load_energy;variable_energy;energy_per_fulfilled_order;fixed_energy_per_fulfilled_order;variable_energy_per_delivered_line;energy_per_pod_visit;variable_energy_per_pod_visit;wall_clock_seconds
My Scenario Fallback Random;final;;;1;100;bootstrap_actual;42;empirical_gap_scaled;500.0;shuffle;42;100000.0499991114;666667;0;13959;6313;0.45225302672111184;3.787798106134605;57;7646;0;39;14152;16334;145306;1.1541831543244772;10.26752402487281;1266;1136;healthy;0;0;0;0;0;0;100000;0;637671;131351689.88332732;16165748.136719594;115185941.74660772;20806.540453560483;2560.707767577949;7051.912681927741;9281.493066939465;8139.1988232481435;7503.824341058731
My Scenario Fallback Random;final;;;2;100;bootstrap_actual;43;empirical_gap_scaled;500.0;shuffle;42;100000.0499991114;666667;0;13876;7894;0.5688959354280773;4.736397631843271;59;5982;0;22;17846;20711;184214;1.160540177070492;10.322425193320631;1833;1630;healthy;0;0;0;0;0;0;100000;0;346814;165451996.76965666;20599262.63303911;144852734.13661754;20959.20911700743;2609.4834853102493;6994.000006596376;9271.09698361855;8116.818006086381;7670.00460600853
My Scenario Fallback Random;final;;;3;100;bootstrap_actual;44;empirical_gap_scaled;500.0;shuffle;42;100000.0499991114;666667;0;13958;7916;0.5671299613125089;4.749597625243392;57;6042;0;44;17897;20826;182779;1.163658713750908;10.21282896574845;1787;1571;healthy;0;0;0;0;0;0;100000;0;346937;165558164.94713593;20593207.667759106;144964957.2793768;20914.371519345113;2601.4663551994827;6960.768139795295;9250.609875796834;8099.9585002724925;7706.877001285553
My Scenario Fallback Random;final;;;4;100;bootstrap_actual;45;empirical_gap_scaled;500.0;shuffle;42;100000.0499991114;666667;0;13587;8255;0.6075660557886214;4.952997523545251;42;5332;0;34;17883;20607;191768;1.1523234356651568;10.72348040038025;1838;1640;healthy;0;0;0;0;0;0;100000;0;348029;165772957.65229592;20650286.791679103;145122670.8606168;20081.521217722096;2501.54897536997;7042.396800146397;9269.862867097016;8115.118876062003;7291.858459472656
My Scenario Fallback Random;final;;;5;100;bootstrap_actual;46;empirical_gap_scaled;500.0;shuffle;42;100000.0499991114;666667;0;13779;8115;0.5889396908338776;4.868997565544483;54;5664;0;42;17726;20434;189692;1.1527699424574072;10.701342660498703;1774;1589;healthy;0;0;0;0;0;0;100000;0;343577;164376240.81383422;20429502.082079127;143946738.73175508;20255.852225980805;2517.49871621431;7044.471896435112;9273.171658232777;8120.655462696326;7493.443101167679
My Scenario Fallback Random;final;;;6;100;bootstrap_actual;47;empirical_gap_scaled;500.0;shuffle;42;100000.0499991114;666667;0;14022;7851;0.559905862216517;4.710597644743036;65;6171;0;63;17857;20765;183429;1.1628493027944224;10.272106176849414;1798;1595;healthy;0;0;0;0;0;0;100000;0;348202;165711784.6888862;20574919.703519113;145136864.9853671;21107.092687413857;2620.6750354756227;6989.495063104603;9279.934182051084;8127.729461016245;8406.252697706223
My Scenario Fallback Random;final;;;7;100;bootstrap_actual;48;empirical_gap_scaled;500.0;shuffle;42;100000.0499991114;666667;0;13735;7862;0.5724062613760466;4.7171976414430965;54;5873;0;46;17318;19885;179585;1.1482272779766716;10.369846402586903;1705;1520;healthy;0;0;0;0;0;0;100000;0;336887;160713627.50376907;19924724.732639186;140788902.77112988;20441.82491780324;2534.307394128617;7080.156035762126;9280.149411235077;8129.628292593248;7358.920286893845
My Scenario Fallback Random;final;;;8;100;bootstrap_actual;49;empirical_gap_scaled;500.0;shuffle;42;100000.0499991114;666667;0;13092;3402;0.2598533455545371;2.0411989794186485;46;9690;0;33;7672;8910;78925;1.1613660062565172;10.287408759124087;468;424;healthy;0;0;0;0;0;0;100000;0;481962;73911195.65947798;8553524.55048011;65357671.10899787;21725.80707215696;2514.2635362963288;7335.31662278315;9633.888902434564;8518.98737082871;7501.574910879135
My Scenario Fallback Random;final;;;9;100;bootstrap_actual;50;empirical_gap_scaled;500.0;shuffle;42;100000.0499991114;666667;0;13685;8014;0.58560467665327;4.808397595843929;33;5671;0;46;17840;20788;187775;1.1652466367713004;10.525504484304932;1836;1638;healthy;0;0;0;0;0;0;100000;0;346984;165449602.44471747;20603570.027039107;144846032.41767836;20645.07143058616;2570.947095961955;6967.771426673002;9274.080854524522;8119.172220721881;7446.469528198242
My Scenario Fallback Random;final;;;10;100;bootstrap_actual;51;empirical_gap_scaled;500.0;shuffle;42;100000.0499991114;666667;0;14255;2325;0.16310066643283058;1.3949993025127447;33;11930;0;44;5055;5793;52759;1.1459940652818992;10.436993076162215;228;215;healthy;0;0;0;0;0;0;100000;0;614158;53220823.879233904;5564291.569199945;47656532.31003396;22890.676937304906;2393.2436856773957;8226.572123258064;10528.352894012642;9427.602830867252;8849.772181510925
My Scenario Fallback Random;final;;;11;100;bootstrap_actual;52;empirical_gap_scaled;500.0;shuffle;43;100000.0499991114;666667;0;14534;8013;0.5513279207375809;4.807797596143924;49;6521;0;42;17576;20401;182148;1.1607305416477014;10.363450159308147;1809;1609;healthy;0;0;0;0;0;0;100000;0;349431;165082529.99382195;20292477.72551914;144790052.2683028;20601.838262051908;2532.444493388137;7097.20367963839;9392.497154860148;8237.941071250729;8424.75703072548
My Scenario Fallback Random;final;;;12;100;bootstrap_actual;53;empirical_gap_scaled;500.0;shuffle;43;100000.0499991114;666667;0;13452;7983;0.593443354148082;4.789797605143759;49;5469;0;42;17827;20691;187233;1.16065518595389;10.502776687047737;1788;1589;healthy;0;0;0;0;0;0;100000;0;344688;166699965.1193029;20538097.63823912;146161867.48106378;20881.869612840146;2572.729254445587;7064.031099563278;9350.982505149655;8198.90432944768;7380.281586885452
My Scenario Fallback Random;final;;;13;100;bootstrap_actual;54;empirical_gap_scaled;500.0;shuffle;43;100000.0499991114;666667;0;13747;7950;0.578307994471521;4.769997615043579;52;5797;0;48;17682;20395;187734;1.1534328695848886;10.617237869019341;1770;1574;healthy;0;0;0;0;0;0;100000;0;340151;165459025.73925215;20367401.76743913;145091623.97181302;20812.45606783046;2561.9373292376267;7114.078155028832;9357.483640948543;8205.611580806075;7046.498803138733
My Scenario Fallback Random;final;;;14;100;bootstrap_actual;55;empirical_gap_scaled;500.0;shuffle;43;100000.0499991114;666667;0;14049;221;0.015730656986262366;0.13259993370121143;4;13828;0;28;529;597;5127;1.1285444234404536;9.69187145557656;10;10;healthy;0;0;0;0;0;0;100000;0;658239;6827234.933695929;555432.3028800001;6271802.630815929;30892.465763329998;2513.26833882353;10505.532044917803;12905.92615065393;11855.959604566973;8076.666923522949
My Scenario Fallback Random;final;;;15;100;bootstrap_actual;56;empirical_gap_scaled;500.0;shuffle;43;100000.0499991114;666667;0;13999;8370;0.5978998499892849;5.021997489045881;49;5629;0;29;17725;20293;193920;1.1448801128349788;10.940479548660084;1803;1624;healthy;0;0;0;0;0;0;100000;0;342115;165822735.32780373;20464921.167599123;145357814.16020462;19811.557386834378;2445.0323975626193;7162.953440112582;9355.302416237164;8200.722942747792;7633.42576789856
My Scenario Fallback Random;final;;;16;100;bootstrap_actual;57;empirical_gap_scaled;500.0;shuffle;43;100000.0499991114;666667;0;13373;8042;0.6013609511702684;4.825197587444083;49;5331;0;47;17829;20738;190569;1.1631611419597285;10.688709406023893;1823;1608;healthy;0;0;0;0;0;0;100000;0;344293;167162936.41141078;20560102.268159114;146602834.14325166;20786.239295126932;2556.5906824370945;7069.2850874361875;9375.90085879246;8222.717715141156;7791.038463354111
My Scenario Fallback Random;final;;;17;100;bootstrap_actual;58;empirical_gap_scaled;500.0;shuffle;43;100000.0499991114;666667;0;14379;8019;0.5576882954308366;4.811397594343957;58;6360;0;38;17747;20522;188224;1.1563644559643884;10.605961570969741;1750;1568;healthy;0;0;0;0;0;0;100000;0;342448;165823947.22246903;20429502.082079127;145394445.14038992;20678.881060290438;2547.6371220949154;7084.808748678975;9343.773439030205;8192.621014277902;8264.547774791718
My Scenario Fallback Random;final;;;18;100;bootstrap_actual;59;empirical_gap_scaled;500.0;shuffle;43;100000.0499991114;666667;0;14092;7974;0.5658529662219699;4.78439760784371;48;6118;0;29;17829;20719;182867;1.1620954624488193;10.256716585338493;1795;1590;healthy;0;0;0;0;0;0;100000;0;344775;166631791.3766942;20541051.279839117;146090740.09685507;20896.88881072162;2576.0034210984595;7051.05169635866;9346.109786117797;8193.995181830449;8340.45207118988
My Scenario Fallback Random;final;;;19;100;bootstrap_actual;60;empirical_gap_scaled;500.0;shuffle;43;100000.0499991114;666667;0;13573;8140;0.5997200324172991;4.88399755804462;43;5433;0;36;17834;20661;188777;1.1585174386004262;10.585230458674442;1819;1627;healthy;0;0;0;0;0;0;100000;0;343592;166988667.3121104;20585429.744879115;146403237.56723127;20514.578293871054;2528.9225730809726;7085.970551630186;9363.500466082225;8209.220453472652;7581.561207532883
My Scenario Fallback Random;final;;;20;100;bootstrap_actual;61;empirical_gap_scaled;500.0;shuffle;43;100000.0499991114;666667;0;14019;7771;0.5543191383122905;4.662597668742597;48;6248;0;52;17656;20596;179473;1.1665156320797463;10.164986406887177;1851;1638;healthy;0;0;0;0;0;0;100000;0;342136;165702117.5656044;20407128.24695913;145294989.31864527;21323.139565770736;2626.0620572589282;7054.524631901596;9385.031579384027;8229.21326000483;7800.183520555496
