scenario,replication,replications_total,order_mode,bootstrap_seed,pod_location_mode,pod_location_seed,ticks_elapsed,steps_elapsed,stopped_cleanly_before_horizon,arrived_orders_by_horizon,fulfilled_orders,fulfilled_over_arrived,throughput_orders_per_hour,on_hold_orders,unfinished_orders,job_queue_length,sku_queue_length,pod_visits,delivered_order_lines,picked_units,delivered_order_lines_per_pod_visit,picked_units_per_pod_visit,replenishment_count,replenishment_trips,health_status_final,health_consistency_violations,health_zombie_orders,health_pending_replenishment_count,health_aged_pending_replenishment_count,health_oldest_pending_replenishment_age,health_last_progress_tick,health_progress_gap,health_stalled_tick_count,stop_and_go,total_energy,total_fixed_load_energy,variable_energy,energy_per_fulfilled_order,fixed_energy_per_fulfilled_order,variable_energy_per_delivered_line,energy_per_pod_visit,variable_energy_per_pod_visit,wall_clock_seconds
Scenario 4 (Sij),1,10,bootstrap_actual,42,identity,,1000.05,6667,0,57,17,0.298245614,1.019949003,0,40,0,25,52,44,538,0.846153846,10.34615385,1,1,healthy,0,0,0,0,0,0,1000,0,809,337769.6639,44944.57968,292825.0842,19868.80376,2643.798805,6655.115551,6495.57046,5631.25162,17.27480412
Scenario 4 (Sij),2,10,bootstrap_actual,43,identity,,1000.05,6667,0,70,68,0.971428571,4.07979601,0,2,0,4,172,197,1730,1.145348837,10.05813953,2,2,healthy,0,0,0,0,0,0,1000,0,3093,1412872.274,172295.76,1240576.514,20777.53345,2533.761176,6297.342713,8214.373689,7212.654154,25.58895183
Scenario 4 (Sij),3,10,bootstrap_actual,44,identity,,1000.05,6667,0,173,70,0.404624277,4.19979001,0,103,0,47,196,237,1937,1.209183673,9.882653061,3,3,healthy,0,0,0,0,0,0,1000,0,3482,1643711.328,198903.1481,1444808.18,23481.5904,2841.473544,6096.237045,8386.282284,7371.470304,42.82911062
Scenario 4 (Sij),4,10,bootstrap_actual,45,identity,,1000.05,6667,0,64,63,0.984375,3.779811009,0,1,0,0,143,175,1315,1.223776224,9.195804196,7,6,healthy,0,0,0,0,0,0,1000,0,2861,1305335.302,156641.4595,1148693.843,20719.60797,2486.372373,6563.964815,9128.218896,8032.824074,36.16278124
Scenario 4 (Sij),5,10,bootstrap_actual,46,identity,,1000.05,6667,0,85,60,0.705882353,3.599820009,0,25,0,46,176,205,1810,1.164772727,10.28409091,1,1,healthy,0,0,0,0,0,0,1000,0,3242,1439150.348,176184.7214,1262965.626,23985.83913,2936.412024,6160.807934,8176.990613,7175.941059,41.22736359
Scenario 4 (Sij),6,10,bootstrap_actual,47,identity,,1000.05,6667,0,52,52,1,3.119844008,0,0,0,0,121,135,1153,1.115702479,9.52892562,3,3,healthy,0,0,0,0,0,0,1000,0,2191,1052768.36,131240.1418,921528.2183,20245.54539,2523.84888,6826.13495,8700.564959,7615.935689,26.78817892
Scenario 4 (Sij),7,10,bootstrap_actual,48,identity,,1000.05,6667,0,92,92,1,5.519724014,0,0,0,0,157,170,1862,1.082802548,11.85987261,4,4,healthy,0,0,0,0,0,0,1000,0,3182,1447926.516,170400.5066,1277526.01,15738.3317,1852.17942,7514.85888,9222.461886,8137.108341,33.63497424
Scenario 4 (Sij),8,10,bootstrap_actual,49,identity,,1000.05,6667,0,72,67,0.930555556,4.01979901,0,5,0,1,197,244,2235,1.23857868,11.34517766,3,3,healthy,0,0,0,0,0,0,1000,0,3529,1628918.309,202004.4718,1426913.838,24312.21357,3014.992116,5848.007531,8268.62086,7243.21745,40.27665567
Scenario 4 (Sij),9,10,bootstrap_actual,50,identity,,1000.05,6667,0,71,67,0.943661972,4.01979901,0,4,0,15,167,188,1472,1.125748503,8.814371257,1,1,healthy,0,0,0,0,0,0,1000,0,3030,1379385.418,166166.9537,1213218.464,20587.84205,2480.103786,6453.289702,8259.79292,7264.781221,33.75057149
Scenario 4 (Sij),10,10,bootstrap_actual,51,identity,,1000.05,6667,0,159,87,0.547169811,5.219739013,0,72,0,36,190,212,1873,1.115789474,9.857894737,6,5,healthy,0,0,0,0,0,0,1000,0,3484,1598828.123,193758.889,1405069.234,18377.33475,2227.113666,6627.685067,8414.884859,7395.101233,41.58976531
