scenario;replication;replications_total;order_mode;bootstrap_seed;pod_location_mode;pod_location_seed;ticks_elapsed;steps_elapsed;stopped_cleanly_before_horizon;arrived_orders_by_horizon;fulfilled_orders;fulfilled_over_arrived;throughput_orders_per_hour;on_hold_orders;unfinished_orders;job_queue_length;sku_queue_length;pod_visits;delivered_order_lines;picked_units;delivered_order_lines_per_pod_visit;picked_units_per_pod_visit;replenishment_count;replenishment_trips;health_status_final;health_consistency_violations;health_zombie_orders;health_pending_replenishment_count;health_aged_pending_replenishment_count;health_oldest_pending_replenishment_age;health_last_progress_tick;health_progress_gap;health_stalled_tick_count;stop_and_go;total_energy;total_fixed_load_energy;variable_energy;energy_per_fulfilled_order;fixed_energy_per_fulfilled_order;variable_energy_per_delivered_line;energy_per_pod_visit;variable_energy_per_pod_visit;wall_clock_seconds
Scenario 4 (Sij);1;10;bootstrap_actual;42;shuffle;42;100000.0499991114;666667;0;4421;4404;0.9961547161275729;2.642398678824141;14;17;0;1;9849;11361;101734;1.1535181236673775;10.32937354046096;720;655;healthy;0;0;0;0;0;0;100000;0;191788;88297978.55895238;11115193.296480149;77182785.26247223;20049.495585593184;2523.885852970061;6793.661232503497;8965.171952376117;7836.611357749236;3062.095404148102
Scenario 4 (Sij);2;10;bootstrap_actual;43;shuffle;43;100000.0499991114;666667;0;3842;3774;0.9823008849557522;2.2643988678206877;7;68;0;43;8588;9844;87302;1.1462505822077318;10.165579878900791;582;538;healthy;0;0;0;0;0;0;100000;0;167698;76428435.26964454;9645658.145760171;66782777.12388437;20251.307702608516;2555.8182686168975;6784.109825668872;8899.4451874295;7776.289837434138;2579.5303242206573
Scenario 4 (Sij);3;10;bootstrap_actual;44;shuffle;44;100000.0499991114;666667;0;4442;4437;0.9988743809095002;2.6621986689243218;5;5;0;0;9969;11616;101856;1.1652121576888355;10.217273547998797;745;681;healthy;0;0;0;0;0;0;100000;0;194288;91698646.64806591;11271834.75600013;80426811.89206578;20666.812406595876;2540.418020284005;6923.7957896062135;9198.379641695848;8067.69103140393;2999.667718887329
Scenario 4 (Sij);4;10;bootstrap_actual;45;shuffle;45;100000.0499991114;666667;0;3790;3645;0.9617414248021108;2.1869989065199804;6;145;0;36;7981;9082;85376;1.137952637514096;10.697406340057636;532;495;healthy;0;0;0;0;0;0;100000;0;183425;72797134.38897572;8956155.127920132;63840979.26105559;19971.778981886346;2457.10703097946;7029.3965273128815;9121.304897754131;7999.120318388121;2682.457440853119
Scenario 4 (Sij);5;10;bootstrap_actual;46;shuffle;46;100000.0499991114;666667;0;3929;3765;0.958259099007381;2.2589988705206383;13;164;0;24;8161;9382;88373;1.1496140178899645;10.828697463546135;567;522;healthy;0;0;0;0;0;0;100000;0;158835;74934527.35442802;9179475.046560146;65755052.30786788;19902.928912198677;2438.107582087688;7008.639128956286;9182.027613580201;8057.229788980257;2610.814404964447
Scenario 4 (Sij);6;10;bootstrap_actual;47;shuffle;47;100000.0499991114;666667;0;4863;4104;0.8439235040098705;2.462398768822496;6;759;0;17;9304;10765;94644;1.157029234737747;10.172398968185727;683;638;healthy;0;0;0;0;0;0;100000;0;345872;87982903.39597361;10506890.808960207;77476012.5870134;21438.329287517936;2560.158579181337;7197.028572876302;9456.459952275753;8327.17246206077;3394.990948200226
Scenario 4 (Sij);7;10;bootstrap_actual;48;shuffle;48;100000.0499991114;666667;0;4276;4219;0.9866697848456502;2.531398734323127;5;57;0;31;9160;10437;95162;1.139410480349345;10.388864628820961;670;615;healthy;0;0;0;0;0;0;100000;0;176584;82298040.45192315;10333192.06920021;71964848.38272294;19506.527720294653;2449.20409319749;6895.166080552165;8984.502232742701;7856.424495930452;2705.6374051570892
Scenario 4 (Sij);8;10;bootstrap_actual;49;shuffle;49;100000.0499991114;666667;0;4804;4790;0.9970857618651124;2.8739985630262566;14;14;0;0;10761;12410;110846;1.1532385466034756;10.30071554688226;872;772;healthy;0;0;0;0;0;0;100000;0;208666;97158134.7699889;12206391.571920026;84951743.19806887;20283.53544258641;2548.3072175198386;6845.426526838749;9028.727327384899;7894.409738692396;3344.851699590683
Scenario 4 (Sij);9;10;bootstrap_actual;50;shuffle;50;100000.0499991114;666667;0;4040;2674;0.6618811881188119;1.6043991978146577;8;1366;0;43;6044;6926;61711;1.1459298477829252;10.210291197882198;315;297;healthy;0;0;0;0;0;0;100000;0;349989;58625825.7778492;6696274.712400008;51929551.06544919;21924.392587078983;2504.2164219895317;7497.7694290281825;9699.838811689146;8591.917780517735;3449.6840732097626
Scenario 4 (Sij);10;10;bootstrap_actual;51;shuffle;51;100000.0499991114;666667;0;5074;5067;0.9986204178163185;3.040198479927775;7;7;0;0;11201;12757;115520;1.1389161681992679;10.31336487813588;915;825;healthy;0;0;0;0;0;0;100000;0;219483;102126905.86428307;12728176.974239968;89398728.89004311;20155.30015083542;2511.9749307756006;7007.8175817232195;9117.65966112696;7981.31674761567;3396.824743747711
