scenario,replication,replications_total,order_mode,bootstrap_seed,pod_location_mode,pod_location_seed,ticks_elapsed,steps_elapsed,stopped_cleanly_before_horizon,arrived_orders_by_horizon,fulfilled_orders,fulfilled_over_arrived,throughput_orders_per_hour,on_hold_orders,unfinished_orders,job_queue_length,sku_queue_length,pod_visits,delivered_order_lines,picked_units,delivered_order_lines_per_pod_visit,picked_units_per_pod_visit,replenishment_count,replenishment_trips,health_status_final,health_consistency_violations,health_zombie_orders,health_pending_replenishment_count,health_aged_pending_replenishment_count,health_oldest_pending_replenishment_age,health_last_progress_tick,health_progress_gap,health_stalled_tick_count,stop_and_go,total_energy,total_fixed_load_energy,variable_energy,energy_per_fulfilled_order,fixed_energy_per_fulfilled_order,variable_energy_per_delivered_line,energy_per_pod_visit,variable_energy_per_pod_visit,wall_clock_seconds
Scenario 4 (Sij),1,10,bootstrap_actual,42,shuffle,42,100000.05,666667,0,4421,4408,0.997059489,2.644798678,13,13,0,0,9889,11365,101765,1.14925675,10.29072707,724,660,healthy,0,0,0,0,0,0,100000,0,193301,89093190.85,11164937.54,77928253.31,20211.70391,2532.880568,6856.863468,9009.322566,7880.296623,3555.06592
Scenario 4 (Sij),2,10,bootstrap_actual,43,shuffle,43,100000.05,666667,0,3842,3124,0.813118168,1.874399063,8,718,0,36,7232,8336,72288,1.152654867,9.995575221,446,420,healthy,0,0,0,0,0,0,100000,0,357054,64630404.46,8085372.357,56545032.1,20688.3497,2588.147361,6783.233217,8936.72628,7818.726784,3001.417952
Scenario 4 (Sij),3,10,bootstrap_actual,44,shuffle,44,100000.05,666667,0,4442,4437,0.998874381,2.662198669,5,5,0,0,9993,11616,101856,1.16241369,10.19273491,745,683,healthy,0,0,0,0,0,0,100000,0,192944,91627683.54,11299352.85,80328330.69,20650.81892,2546.61998,6915.317725,9169.186785,8038.459991,3553.803118
Scenario 4 (Sij),4,10,bootstrap_actual,45,shuffle,45,100000.05,666667,0,3790,3763,0.992875989,2.257798871,5,27,0,47,8205,9376,87825,1.142717855,10.70383912,564,523,healthy,0,0,0,0,0,0,100000,0,160218,74475757.94,9224838.059,65250919.88,19791.59127,2451.458426,6959.355789,9076.874825,7952.580119,2955.451239
Scenario 4 (Sij),5,10,bootstrap_actual,46,shuffle,46,100000.05,666667,0,3929,3770,0.959531687,2.261998869,13,159,0,23,8160,9393,88514,1.151102941,10.84730392,567,523,healthy,0,0,0,0,0,0,100000,0,158656,74878824.4,9177702.862,65701121.54,19861.75714,2434.403942,6994.689827,9176.32652,8051.608032,2913.399169
Scenario 4 (Sij),6,10,bootstrap_actual,47,shuffle,47,100000.05,666667,0,4863,4857,0.998766194,2.914198543,6,6,0,0,10956,12685,112181,1.15781307,10.23922965,881,811,healthy,0,0,0,0,0,0,100000,0,212656,100515506.9,12454054.42,88061452.5,20694.97775,2564.145444,6942.172054,9174.471241,8037.737541,3896.386256
Scenario 4 (Sij),7,10,bootstrap_actual,48,shuffle,48,100000.05,666667,0,4276,4222,0.987371375,2.533198733,6,54,0,34,9112,10449,95221,1.146729587,10.45006585,670,615,healthy,0,0,0,0,0,0,100000,0,176243,81983297.88,10283595.5,71699702.37,19418.11887,2435.716604,6861.872177,8997.289056,7868.71185,3262.102666
Scenario 4 (Sij),8,10,bootstrap_actual,49,shuffle,49,100000.05,666667,0,4804,4790,0.997085762,2.873998563,14,14,0,0,10740,12410,110846,1.155493482,10.32085661,873,773,healthy,0,0,0,0,0,0,100000,0,208270,96898667.91,12185223.81,84713444.1,20229.367,2543.88806,6826.224344,9022.222338,7887.657738,3894.997441
Scenario 4 (Sij),9,10,bootstrap_actual,50,shuffle,50,100000.05,666667,0,4040,3987,0.986881188,2.392198804,8,53,0,31,9075,10416,92191,1.147768595,10.15878788,674,622,healthy,0,0,0,0,0,0,100000,0,176279,82734726.64,10250416.26,72484310.37,20751.12281,2570.959685,6958.939168,9116.774285,7987.251832,3470.053756
Scenario 4 (Sij),10,10,bootstrap_actual,51,shuffle,51,100000.05,666667,0,5074,5067,0.998620418,3.04019848,7,7,0,0,11170,12757,115520,1.142076992,10.34198747,914,823,healthy,0,0,0,0,0,0,100000,0,216518,101965928.2,12693250.16,89272677.99,20123.53032,2505.081935,6997.936662,9128.552207,7992.182452,4005.122921
,,,,,,,,,,,,0.990785165,2.620065357,8.555555556,37.55555556,0,15,9700,11163,100657.6667,1.150596996,10.39394805,734.6666667,670.3333333,#DIV/0!,0,0,0,0,0,0,100000,0,188342.7778,88241509.36,10970374.61,77271134.75,20192.55422,2509.461627,6923.707912,9096.77998,7966.276242,3500.709165
