scenario,replication,replications_total,order_mode,bootstrap_seed,pod_location_mode,pod_location_seed,ticks_elapsed,steps_elapsed,stopped_cleanly_before_horizon,arrived_orders_by_horizon,fulfilled_orders,fulfilled_over_arrived,throughput_orders_per_hour,on_hold_orders,unfinished_orders,job_queue_length,sku_queue_length,pod_visits,delivered_order_lines,picked_units,delivered_order_lines_per_pod_visit,picked_units_per_pod_visit,replenishment_count,replenishment_trips,health_status_final,health_consistency_violations,health_zombie_orders,health_pending_replenishment_count,health_aged_pending_replenishment_count,health_oldest_pending_replenishment_age,health_last_progress_tick,health_progress_gap,health_stalled_tick_count,stop_and_go,total_energy,total_fixed_load_energy,variable_energy,energy_per_fulfilled_order,fixed_energy_per_fulfilled_order,variable_energy_per_delivered_line,energy_per_pod_visit,variable_energy_per_pod_visit,wall_clock_seconds
Scenario 4 (Sij) Fallback Random,1,10,bootstrap_actual,42,shuffle,42,100000.05,666667,0,4421,4408,0.997059489,2.644798678,13,13,0,0,9891,11365,101765,1.149024366,10.28864624,722,652,healthy,0,0,0,0,0,0,100000,0,192683,89392235.32,11158587.21,78233648.1,20279.54522,2531.439931,6883.734985,9037.734841,7909.579224,2801.607952
Scenario 4 (Sij) Fallback Random,2,10,bootstrap_actual,43,shuffle,43,100000.05,666667,0,3842,3757,0.977876106,2.254198873,8,85,0,30,8601,9815,86766,1.141146378,10.08789676,576,525,healthy,0,0,0,0,0,0,100000,0,166008,77532396.4,9645362.782,67887033.62,20636.78371,2567.30444,6916.661601,9014.34675,7892.923337,2351.584797
Scenario 4 (Sij) Fallback Random,3,10,bootstrap_actual,44,shuffle,44,100000.05,666667,0,4442,4437,0.998874381,2.662198669,5,5,0,0,10030,11616,101856,1.158125623,10.1551346,749,684,healthy,0,0,0,0,0,0,100000,0,194277,91696140.52,11339571.6,80356568.92,20666.24758,2555.684382,6917.748702,9142.18749,8011.622026,2731.147114
Scenario 4 (Sij) Fallback Random,4,10,bootstrap_actual,45,shuffle,45,100000.05,666667,0,3790,1359,0.358575198,0.815399592,5,2431,0,20,3010,3376,31862,1.121594684,10.58538206,107,105,healthy,0,0,0,0,0,0,100000,0,1076596,29229053.89,3281495.818,25947558.07,21507.76592,2414.640042,7685.888054,9710.649132,8620.451186,2467.932335
Scenario 4 (Sij) Fallback Random,5,10,bootstrap_actual,46,shuffle,46,100000.05,666667,0,3929,3761,0.957241028,2.256598872,13,168,0,32,8271,9366,88402,1.132390279,10.68818764,568,516,healthy,0,0,0,0,0,0,100000,0,163725,76131327.86,9287356.806,66843971.06,20242.30999,2469.384952,7136.87498,9204.609825,8081.727851,2346.340921
Scenario 4 (Sij) Fallback Random,6,10,bootstrap_actual,47,shuffle,47,100000.05,666667,0,4863,4857,0.998766194,2.914198543,6,6,0,0,10995,12685,112181,1.15370623,10.20291041,882,802,healthy,0,0,0,0,0,0,100000,0,214228,101268061.4,12485806.07,88782255.36,20849.92,2570.68274,6998.995298,9210.373936,8074.78448,3008.97123
Scenario 4 (Sij) Fallback Random,7,10,bootstrap_actual,48,shuffle,48,100000.05,666667,0,4276,4217,0.986202058,2.530198735,5,59,0,31,9164,10433,95089,1.138476648,10.37636403,670,607,healthy,0,0,0,0,0,0,100000,0,177523,82391065,10328884.68,72062180.33,19537.83851,2449.344244,6907.138918,8990.731668,7863.61636,2508.172967
Scenario 4 (Sij) Fallback Random,8,10,bootstrap_actual,49,shuffle,49,100000.05,666667,0,4804,1566,0.325978351,0.93959953,10,3238,0,31,3400,3903,35885,1.147941176,10.55441176,141,136,healthy,0,0,0,0,0,0,100000,0,674979,37270112.79,3727766.45,33542346.34,23799.56117,2380.438346,8593.990863,10961.79788,9865.395982,3208.38333
Scenario 4 (Sij) Fallback Random,9,10,bootstrap_actual,50,shuffle,50,100000.05,666667,0,4040,2675,0.662128713,1.604999198,6,1365,0,41,6056,6929,61874,1.144154557,10.2169749,322,302,healthy,0,0,0,0,0,0,100000,0,939359,55877555.98,6713775.039,49163780.94,20888.80597,2509.822444,7095.364546,9226.809111,8118.193682,2081.404551
Scenario 4 (Sij) Fallback Random,10,10,bootstrap_actual,51,shuffle,51,100000.05,666667,0,5074,2253,0.44402838,1.351799324,13,2821,0,24,4961,5625,51042,1.133843983,10.28865148,218,207,healthy,0,0,0,0,0,0,100000,0,725788,45323637.94,5455006.83,39868631.11,20117.0164,2421.219188,7087.756642,9135.988297,8036.410222,2074.368344
,,,,,,,,,,,,0.986003209,2.543698728,8.333333333,56,0,15.5,9492,10880,97676.5,1.145478254,10.29985661,694.5,631,#DIV/0!,0,0,0,0,0,0,100000,0,184740.6667,86401871.09,10707594.86,75694276.23,20368.77417,2523.973448,6960.192414,9099.997418,7972.375546,2624.637497
