scenario,replication,replications_total,order_mode,bootstrap_seed,pod_location_mode,pod_location_seed,ticks_elapsed,steps_elapsed,stopped_cleanly_before_horizon,arrived_orders_by_horizon,fulfilled_orders,fulfilled_over_arrived,throughput_orders_per_hour,on_hold_orders,unfinished_orders,job_queue_length,sku_queue_length,pod_visits,delivered_order_lines,picked_units,delivered_order_lines_per_pod_visit,picked_units_per_pod_visit,replenishment_count,replenishment_trips,health_status_final,health_consistency_violations,health_zombie_orders,health_pending_replenishment_count,health_aged_pending_replenishment_count,health_oldest_pending_replenishment_age,health_last_progress_tick,health_progress_gap,health_stalled_tick_count,stop_and_go,total_energy,total_fixed_load_energy,variable_energy,energy_per_fulfilled_order,fixed_energy_per_fulfilled_order,variable_energy_per_delivered_line,energy_per_pod_visit,variable_energy_per_pod_visit,wall_clock_seconds
Scenario 4 (Sij) Fallback Random,1,10,bootstrap_actual,42,shuffle,42,100000.05,666667,0,4421,4408,0.997059489,2.644798678,13,13,0,0,9912,11365,101765,1.146589992,10.26684826,722,658,healthy,0,0,0,0,0,0,100000,0,193330,89625786.73,11187163.7,78438623.03,20332.52875,2537.922799,6901.770615,9042.149589,7913.501113,3614.705866
Scenario 4 (Sij) Fallback Random,2,10,bootstrap_actual,43,shuffle,43,100000.05,666667,0,3842,3774,0.982300885,2.264398868,7,68,0,39,8634,9851,87291,1.140954366,10.11014593,583,536,healthy,0,0,0,0,0,0,100000,0,168530,78202768.4,9694836.278,68507932.12,20721.45427,2568.84904,6954.41398,9057.536298,7934.668997,3020.629828
Scenario 4 (Sij) Fallback Random,3,10,bootstrap_actual,44,shuffle,44,100000.05,666667,0,4442,4437,0.998874381,2.662198669,5,5,0,0,10054,11616,101856,1.15536105,10.13089318,750,690,healthy,0,0,0,0,0,0,100000,0,196982,92580008.31,11371323.25,81208685.05,20865.4515,2562.840489,6991.105807,9208.276139,8077.251348,3690.088435
Scenario 4 (Sij) Fallback Random,1,1,bootstrap_actual,45,shuffle,42,100000.05,666667,0,3790,3756,0.991029024,2.253598873,5,34,0,50,8215,9363,87717,1.13974437,10.67766281,561,521,healthy,0,0,0,0,0,0,100000,0,159538,74206303.92,9234658.917,64971645.01,19756.73693,2458.641884,6939.190965,9033.025432,7908.903835,3392.157134
Scenario 4 (Sij) Fallback Random,1,1,bootstrap_actual,46,shuffle,42,100000.05,666667,0,3929,3762,0.957495546,2.257198871,13,167,0,30,8234,9368,88400,1.137721642,10.7359728,570,523,healthy,0,0,0,0,0,0,100000,0,159183,73868926.97,9256515.865,64612411.11,19635.54678,2460.530533,6897.140383,8971.208036,7847.025881,3219.920668
Scenario 4 (Sij) Fallback Random,6,10,bootstrap_actual,47,shuffle,47,100000.05,666667,0,4863,4857,0.998766194,2.914198543,6,6,0,0,11010,12685,112181,1.152134423,10.18900999,882,803,healthy,0,0,0,0,0,0,100000,0,214955,101534743.2,12502740.28,89032002.87,20904.82667,2574.169298,7018.683711,9222.047516,8086.467109,4036.788128
Scenario 4 (Sij) Fallback Random,7,10,bootstrap_actual,48,shuffle,48,100000.05,666667,0,4276,4211,0.984798877,2.526598737,6,65,0,29,9211,10424,94986,1.13169037,10.31223537,670,608,healthy,0,0,0,0,0,0,100000,0,178426,82840446.84,10379318.11,72461128.73,19672.39298,2464.810759,6951.374591,8993.643127,7866.803684,3325.70826
Scenario 4 (Sij) Fallback Random,8,10,bootstrap_actual,49,shuffle,49,100000.05,666667,0,4804,4790,0.997085762,2.873998563,14,14,0,0,10716,12410,110846,1.158081374,10.34397163,871,784,healthy,0,0,0,0,0,0,100000,0,207319,97188141.54,12171464.76,85016676.78,20289.7999,2541.015608,6850.658887,9069.4421,7933.620454,3989.338966
Scenario 4 (Sij) Fallback Random,9,10,bootstrap_actual,50,shuffle,50,100000.05,666667,0,4040,3986,0.986633663,2.391598804,8,54,0,35,9073,10416,92113,1.148021603,10.15243029,677,619,healthy,0,0,0,0,0,0,100000,0,178017,83105417.54,10246822.67,72858594.87,20849.32703,2570.703127,6994.87278,9159.640421,8030.265058,3462.21922
Scenario 4 (Sij) Fallback Random,1,1,bootstrap_actual,51,shuffle,42,100000.05,666667,0,5074,4870,0.959795034,2.921998539,7,204,0,37,10780,12293,111004,1.140352505,10.29721707,852,768,healthy,0,0,0,0,0,0,100000,0,267514,98354905.04,12208016.07,86146888.96,20196.07906,2506.779481,7007.80029,9123.831636,7991.362612,4033.345055
,,,,,,,,,,,,0.985383885,2.571058714,8.4,63,0,22,9583.9,10979.1,98815.9,1.14506517,10.32163873,713.8,651,#DIV/0!,0,0,0,0,0,0,100000,0,192379.4,87150744.84,10825285.99,76325458.85,20322.41439,2524.626302,6950.701201,9088.08003,7958.987009,3578.490156
