scenario;result_kind;checkpoint_target_tick;checkpoint_interval_ticks;replication;replications_total;order_mode;bootstrap_seed;pod_location_mode;pod_location_seed;ticks_elapsed;steps_elapsed;stopped_cleanly_before_horizon;arrived_orders_by_horizon;fulfilled_orders;fulfilled_over_arrived;throughput_orders_per_hour;on_hold_orders;unfinished_orders;job_queue_length;sku_queue_length;pod_visits;delivered_order_lines;picked_units;delivered_order_lines_per_pod_visit;picked_units_per_pod_visit;replenishment_count;replenishment_trips;health_status_final;health_consistency_violations;health_zombie_orders;health_pending_replenishment_count;health_aged_pending_replenishment_count;health_oldest_pending_replenishment_age;health_last_progress_tick;health_progress_gap;health_stalled_tick_count;stop_and_go;total_energy;total_fixed_load_energy;variable_energy;energy_per_fulfilled_order;fixed_energy_per_fulfilled_order;variable_energy_per_delivered_line;energy_per_pod_visit;variable_energy_per_pod_visit;wall_clock_seconds
Scenario 4 (Sij) Fallback Random;final;;;1;90;bootstrap_actual;42;shuffle;43;100000.0499991114;666667;0;4421;4408;0.9970594888034381;2.6447986776241628;13;13;0;0;9886;11365;101765;1.149605502731135;10.29384988873154;722;654;healthy;0;0;0;0;0;0;100000;0;192305;89596930.36503042;11154845.934960146;78442084.43007028;20325.982387711076;2530.5911830671835;6902.075180824486;9063.011366076313;7934.663608139822;3097.6535058021545
Scenario 4 (Sij) Fallback Random;final;;;2;90;bootstrap_actual;43;shuffle;43;100000.0499991114;666667;0;3842;3757;0.9778761061946902;2.254198872920594;8;85;0;30;8601;9815;86766;1.1411463783281013;10.08789675619114;576;525;healthy;0;0;0;0;0;0;100000;0;166008;77532396.39942974;9645362.781600174;67887033.61782956;20636.783710255455;2567.3044401384545;6916.661601409023;9014.34675031156;7892.923336568952;2706.2024953365326
Scenario 4 (Sij) Fallback Random;final;;;3;90;bootstrap_actual;44;shuffle;43;100000.0499991114;666667;0;4442;4437;0.9988743809095002;2.6621986689243218;5;5;0;0;10010;11616;101856;1.1604395604395605;10.175424575424575;749;688;healthy;0;0;0;0;0;0;100000;0;194181;91083303.07850671;11322637.391520128;79760665.68698658;20528.1278067403;2551.8677916430306;6866.448492336999;9099.231076773896;7968.0984702284295;3103.8070771694183
Scenario 4 (Sij) Fallback Random;final;;;4;90;bootstrap_actual;45;shuffle;43;100000.0499991114;666667;0;3790;3764;0.9931398416886543;2.2583988708206326;5;26;0;47;8237;9383;87912;1.1391283234187204;10.672817773461212;562;523;healthy;0;0;0;0;0;0;100000;0;158434;74373683.93822479;9260970.94104015;65112712.99718464;19759.214648837617;2460.4067324761295;6939.434402343029;9029.219854100376;7904.906276215204;2570.9882357120514
Scenario 4 (Sij) Fallback Random;final;;;5;90;bootstrap_actual;46;shuffle;43;100000.0499991114;666667;0;3929;3766;0.9585136166963604;2.2595988702206435;13;163;0;32;8250;9378;88458;1.1367272727272728;10.722181818181818;571;520;healthy;0;0;0;0;0;0;100000;0;160423;74422803.74796966;9269216.523840152;65153587.224129505;19761.764139131614;2461.289570855059;6947.4927728864905;9020.945908844807;7897.404512015698;2607.4937920570374
Scenario 4 (Sij) Fallback Random;final;;;6;90;bootstrap_actual;47;shuffle;43;100000.0499991114;666667;0;4863;4857;0.9987661937075879;2.914198542926624;6;6;0;0;11014;12685;112181;1.1517159978209552;10.185309605956055;881;798;healthy;0;0;0;0;0;0;100000;0;215631;100458412.99589285;12501681.890879998;87956731.10501285;20683.222770412365;2573.9513878690545;6933.916523848076;9120.974486643621;7985.902588070896;3392.352403640747
Scenario 4 (Sij) Fallback Random;final;;;7;90;bootstrap_actual;48;shuffle;43;100000.0499991114;666667;0;4276;4220;0.9869036482694107;2.5319987340231322;6;56;0;31;9179;10441;95196;1.1374877437629372;10.371064386098704;669;606;healthy;0;0;0;0;0;0;100000;0;177488;83036195.29612246;10343628.269520208;72692567.02660225;19676.82352988684;2451.096746331803;6962.222682367805;9046.322616420357;7919.442970541699;2850.326788663864
Scenario 4 (Sij) Fallback Random;final;;;8;90;bootstrap_actual;49;shuffle;43;100000.0499991114;666667;0;4804;4790;0.9970857618651124;2.8739985630262566;14;14;0;0;10749;12410;110846;1.1545260024188297;10.312215089775792;871;777;healthy;0;0;0;0;0;0;100000;0;208093;97985813.24275215;12198982.854240032;85786830.38851212;20456.32844316329;2546.760512367439;6912.718000685908;9115.8073534982;7980.912679180586;3345.1335740089417
Scenario 4 (Sij) Fallback Random;final;;;9;90;bootstrap_actual;50;shuffle;43;100000.0499991114;666667;0;4040;3986;0.9866336633663366;2.3915988042218497;8;54;0;35;9080;10417;92083;1.1472466960352423;10.141299559471365;674;612;healthy;0;0;0;0;0;0;100000;0;179242;83098263.19076797;10244853.571680203;72853409.61908777;20847.53216025288;2570.2091248570505;6993.703524919629;9151.791100304843;8023.503262014072;2925.7058086395264
Scenario 4 (Sij) Fallback Random;final;;;10;90;bootstrap_actual;51;shuffle;43;100000.0499991114;666667;0;5074;5066;0.9984233346472211;3.03959848022777;8;8;0;0;11193;12751;115507;1.1391941391941391;10.31957473420888;912;822;healthy;0;0;0;0;0;0;100000;0;217596;102019908.03539649;12716534.703599973;89303373.33179651;20138.15792250227;2510.1726615870457;7003.636838820211;9114.616995925711;7978.502039828152;3390.5391607284546
