scenario;result_kind;checkpoint_target_tick;checkpoint_interval_ticks;replication;replications_total;order_mode;bootstrap_seed;bootstrap_arrival_mode;bootstrap_target_orders_per_hour;pod_location_mode;pod_location_seed;ticks_elapsed;steps_elapsed;stopped_cleanly_before_horizon;arrived_orders_by_horizon;fulfilled_orders;fulfilled_over_arrived;throughput_orders_per_hour;on_hold_orders;unfinished_orders;job_queue_length;sku_queue_length;pod_visits;delivered_order_lines;picked_units;delivered_order_lines_per_pod_visit;picked_units_per_pod_visit;replenishment_count;replenishment_trips;health_status_final;health_consistency_violations;health_zombie_orders;health_pending_replenishment_count;health_aged_pending_replenishment_count;health_oldest_pending_replenishment_age;health_last_progress_tick;health_progress_gap;health_stalled_tick_count;stop_and_go;total_energy;total_fixed_load_energy;variable_energy;energy_per_fulfilled_order;fixed_energy_per_fulfilled_order;variable_energy_per_delivered_line;energy_per_pod_visit;variable_energy_per_pod_visit;wall_clock_seconds
Scenario 4 (Sij) Fallback Random;final;;;1;10;bootstrap_actual;42;empirical_gap_scaled;500.0;shuffle;42;50000.100000298065;333334;0;6446;4102;0.6363636363636364;4.922390155190345;18;2344;0;48;9096;10590;94459;1.1642480211081794;10.384674582233949;614;552;healthy;0;0;0;0;0;0;50000;0;173494;81843865.34465513;10199269.036320204;71644596.30833492;19952.185603280137;2486.4137094881044;6765.306544696404;8997.786427512658;7876.494756853003;3644.768384695053
Scenario 4 (Sij) Fallback Random;final;;;2;10;bootstrap_actual;43;empirical_gap_scaled;500.0;shuffle;43;50000.100000298065;333334;0;6333;4074;0.6432970156324017;4.888790222390411;20;2259;0;50;9101;10523;94032;1.1562465663113943;10.332051422920559;662;596;healthy;0;0;0;0;0;0;50000;0;174277;82463384.17413613;10249579.398240205;72213804.77589592;20241.38050420622;2515.8515950515966;6862.473132746928;9060.914643900245;7934.710996142833;3652.4732990264893
Scenario 4 (Sij) Fallback Random;final;;;3;10;bootstrap_actual;44;empirical_gap_scaled;500.0;shuffle;44;50000.100000298065;333334;0;6524;4017;0.6157265481299816;4.8203903591905455;12;2507;0;30;9055;10497;92354;1.159249033683048;10.199226946438431;629;581;healthy;0;0;0;0;0;0;50000;0;173369;82745105.73581718;10186839.127920201;72558266.60789698;20598.731823703554;2535.9320706796616;6912.286044383823;9138.056955915757;8013.060917492765;3659.5054833889008
Scenario 4 (Sij) Fallback Random;final;;;4;10;bootstrap_actual;45;empirical_gap_scaled;500.0;shuffle;45;50000.100000298065;333334;0;6262;4150;0.6627275630788886;4.979990039990232;15;2112;0;25;9065;10432;97189;1.150799779371208;10.72134583563155;670;617;healthy;0;0;0;0;0;0;50000;0;172969;83270907.70251748;10236731.057280205;73034176.64523727;20065.278964462042;2466.6821824771578;7000.975521974431;9185.979889963319;8056.721086071403;3343.46644449234
Scenario 4 (Sij) Fallback Random;final;;;5;10;bootstrap_actual;46;empirical_gap_scaled;500.0;shuffle;46;50000.100000298065;333334;0;7096;4041;0.5694757609921083;4.849190301590489;25;3055;0;36;8854;10202;94927;1.152247571718997;10.721368872825842;639;580;healthy;0;0;0;0;0;0;50000;0;169490;81542607.97250883;9971494.04160019;71571113.93090865;20178.819097379073;2467.5808071269958;7015.400306891654;9209.69143579273;8083.477968252615;3219.1436965465546
Scenario 4 (Sij) Fallback Random;final;;;6;10;bootstrap_actual;47;empirical_gap_scaled;500.0;shuffle;47;50000.100000298065;333334;0;8062;4045;0.5017365418010419;4.853990291990479;23;4017;0;20;9099;10607;93343;1.1657324980767116;10.258599846136939;660;600;healthy;0;0;0;0;0;0;50000;0;173407;83095979.99194477;10252459.198800204;72843520.79314457;20542.887513459773;2534.600543584723;6867.495125213969;9132.429936470466;8005.66224784532;3604.580719232559
Scenario 4 (Sij) Fallback Random;final;;;7;10;bootstrap_actual;48;empirical_gap_scaled;500.0;shuffle;48;50000.100000298065;333334;0;6478;224;0.0345785736338376;0.2687994623994728;4;6254;0;49;390;431;5069;1.1051282051282052;12.997435897435897;10;10;healthy;0;0;0;0;0;0;50000;0;14513;5205682.028603264;410605.40975999995;4795076.618843264;23239.65191340743;1833.0598649999997;11125.467793139824;13347.902637444267;12295.068253444266;4510.4384253025055
Scenario 4 (Sij) Fallback Random;final;;;8;10;bootstrap_actual;49;empirical_gap_scaled;500.0;shuffle;49;50000.100000298065;333334;0;7723;4093;0.5299753981613363;4.911590176790367;25;3630;0;33;9196;10712;95101;1.1648542844715093;10.341561548499348;675;606;healthy;0;0;0;0;0;0;50000;0;174611;82638121.38888146;10362039.302160209;72276082.08672126;20190.11028313742;2531.648986601566;6747.207065601312;8986.311590787458;7859.513058582129;3525.6139707565308
Scenario 4 (Sij) Fallback Random;final;;;9;10;bootstrap_actual;50;empirical_gap_scaled;500.0;shuffle;50;50000.100000298065;333334;0;5828;4081;0.7002402196293754;4.897190205590395;15;1747;0;30;9131;10618;94061;1.1628518234585479;10.301281349249809;690;631;healthy;0;0;0;0;0;0;50000;0;173049;83067788.39505914;10317734.678160207;72750053.71689893;20354.763145076977;2528.2368728645447;6851.577859945275;9097.33746523482;7967.369808005578;3054.067699432373
Scenario 4 (Sij) Fallback Random;final;;;10;10;bootstrap_actual;51;empirical_gap_scaled;500.0;shuffle;51;50000.100000298065;333334;0;7267;4229;0.5819457823035641;5.074789850390046;15;3038;0;36;9237;10621;97038;1.149832196600628;10.505358882754141;660;594;healthy;0;0;0;0;0;0;50000;0;174278;82857899.54927918;10392314.128560212;72465585.42071897;19592.78778654036;2457.3927946465387;6822.858998278784;8970.217554322744;7845.142949087254;3261.1143000125885
