scenario;result_kind;checkpoint_target_tick;checkpoint_interval_ticks;replication;replications_total;order_mode;bootstrap_seed;bootstrap_arrival_mode;bootstrap_target_orders_per_hour;pod_location_mode;pod_location_seed;ticks_elapsed;steps_elapsed;stopped_cleanly_before_horizon;arrived_orders_by_horizon;fulfilled_orders;fulfilled_over_arrived;throughput_orders_per_hour;on_hold_orders;unfinished_orders;job_queue_length;sku_queue_length;pod_visits;delivered_order_lines;picked_units;delivered_order_lines_per_pod_visit;picked_units_per_pod_visit;replenishment_count;replenishment_trips;health_status_final;health_consistency_violations;health_zombie_orders;health_pending_replenishment_count;health_aged_pending_replenishment_count;health_oldest_pending_replenishment_age;health_last_progress_tick;health_progress_gap;health_stalled_tick_count;stop_and_go;total_energy;total_fixed_load_energy;variable_energy;energy_per_fulfilled_order;fixed_energy_per_fulfilled_order;variable_energy_per_delivered_line;energy_per_pod_visit;variable_energy_per_pod_visit;wall_clock_seconds
Scenario 4 (Sij) Fallback Random;final;;;1;100;bootstrap_actual;42;empirical_gap_scaled;500.0;shuffle;42;100000.0499991114;666667;0;13959;8082;0.5789813023855577;4.849197575444302;59;5877;0;32;17854;20713;185380;1.1601321832642546;10.383107426907136;1782;1578;healthy;0;0;0;0;0;0;100000;0;347109;164566410.75152007;20554810.32695911;144011600.42456096;20362.08992223708;2543.282643771234;6952.715706298506;9217.341254145853;8066.06925196376;7920.400780439377
Scenario 4 (Sij) Fallback Random;final;;;2;100;bootstrap_actual;43;empirical_gap_scaled;500.0;shuffle;42;100000.0499991114;666667;0;13876;7952;0.5730758143557221;4.771197614443589;52;5924;0;40;17909;20829;185698;1.1630465129264616;10.368976492266459;1851;1636;healthy;0;0;0;0;0;0;100000;0;348148;165674122.76809242;20674408.198079098;144999714.5700133;20834.27097184261;2599.90042732383;6961.434277690399;9250.886301194507;8096.471861634559;7656.864757299423
Scenario 4 (Sij) Fallback Random;final;;;3;100;bootstrap_actual;44;empirical_gap_scaled;500.0;shuffle;42;100000.0499991114;666667;0;13958;7936;0.5685628313511965;4.761597619243502;55;6022;0;29;17949;20876;183389;1.163073151707616;10.217226586439356;1793;1591;healthy;0;0;0;0;0;0;100000;0;349932;165173915.43250012;20669830.0535991;144504085.37890103;20813.245392200115;2604.565278931338;6922.019801633504;9202.4021077776;8050.815386868407;7700.565560102463
Scenario 4 (Sij) Fallback Random;final;;;4;100;bootstrap_actual;45;empirical_gap_scaled;500.0;shuffle;42;100000.0499991114;666667;0;13587;8292;0.6102892470744093;4.975197512445454;46;5295;0;73;17990;20721;192744;1.1518065591995552;10.713952195664257;1839;1649;healthy;0;0;0;0;0;0;100000;0;347727;165650320.47616684;20774044.37471909;144876276.10144776;19977.124997125764;2505.3116708537254;6991.760827250025;9207.911088169363;8053.155981181088;7314.0823340415955
Scenario 4 (Sij) Fallback Random;final;;;5;100;bootstrap_actual;46;empirical_gap_scaled;500.0;shuffle;42;100000.0499991114;666667;0;13779;8245;0.59837433776036;4.9469975265451955;52;5534;0;22;17860;20666;192506;1.157110862262038;10.778611422172453;1806;1608;healthy;0;0;0;0;0;0;100000;0;347719;164243949.8520817;20592764.62151911;143651185.23056257;19920.430546037802;2497.6063822339734;6951.088030124967;9196.189801348359;8043.179464197232;7466.601613521576
Scenario 4 (Sij) Fallback Random;final;;;6;100;bootstrap_actual;47;empirical_gap_scaled;500.0;shuffle;42;100000.0499991114;666667;0;14022;7961;0.5677506775067751;4.776597611743639;65;6061;0;37;17947;21015;186051;1.1709477907171115;10.366690811834847;1826;1631;healthy;0;0;0;0;0;0;100000;0;348187;165352437.49047524;20708842.7363991;144643594.75407612;20770.309947302503;2601.2866142945736;6882.873887893225;9213.374797485665;8059.485972813068;8402.748817682266
Scenario 4 (Sij) Fallback Random;final;;;7;100;bootstrap_actual;48;empirical_gap_scaled;500.0;shuffle;42;100000.0499991114;666667;0;13735;7960;0.5795413178012377;4.775997612043634;51;5775;0;48;17415;20121;181919;1.1553832902670111;10.44610967556704;1728;1536;healthy;0;0;0;0;0;0;100000;0;338390;160505491.32558453;20044814.877359167;140460676.44822538;20164.006447937754;2518.19282378884;6980.799982517041;9216.508258718606;8065.499652496433;7311.233960151672
Scenario 4 (Sij) Fallback Random;final;;;8;100;bootstrap_actual;49;empirical_gap_scaled;500.0;shuffle;42;100000.0499991114;666667;0;13092;8032;0.6135044301863734;4.819197590444028;62;5060;0;34;17875;20760;185778;1.1613986013986013;10.393174825174825;1804;1613;healthy;0;0;0;0;0;0;100000;0;349862;165297507.3605491;20612184.815039102;144685322.54551;20579.86894429147;2566.258069601482;6969.427868280828;9247.412999191558;8094.28377876979;7906.654700040817
Scenario 4 (Sij) Fallback Random;final;;;9;100;bootstrap_actual;50;empirical_gap_scaled;500.0;shuffle;42;100000.0499991114;666667;0;13685;8012;0.5854585312385824;4.807197596443919;33;5673;0;47;17870;20789;187794;1.1633463905987689;10.508897593732513;1831;1632;healthy;0;0;0;0;0;0;100000;0;347626;165116179.97602522;20629758.982559107;144486420.9934661;20608.609582629208;2574.8575864402283;6950.1381015665065;9239.853384220774;8085.418074620376;7480.472179174423
Scenario 4 (Sij) Fallback Random;final;;;10;100;bootstrap_actual;51;empirical_gap_scaled;500.0;shuffle;42;100000.0499991114;666667;0;14255;4179;0.29316029463346194;2.5073987463229077;37;10076;0;45;9159;10479;95858;1.1441205371765477;10.465989736870837;649;584;healthy;0;0;0;0;0;0;100000;0;852723;84406379.09598802;10296837.663840208;74109541.43214782;20197.745655895673;2463.947753969899;7072.1959568802195;9215.676285182664;8091.4446372036045;7207.032027482986
Scenario 4 (Sij) Fallback Random;final;;;11;100;bootstrap_actual;52;empirical_gap_scaled;500.0;shuffle;43;100000.0499991114;666667;0;14534;8067;0.5550433466354754;4.84019757994422;52;6467;0;103;17712;20530;183413;1.1591011743450768;10.355295844625113;1810;1615;healthy;0;0;0;0;0;0;100000;0;344366;163805514.53352425;20443974.92591912;143361539.60760513;20305.629668219193;2534.2723349348107;6983.0267709500795;9248.278824160132;8094.034530691347;8424.668902635574
Scenario 4 (Sij) Fallback Random;final;;;12;100;bootstrap_actual;53;empirical_gap_scaled;500.0;shuffle;43;100000.0499991114;666667;0;13452;8015;0.5958221825750818;4.808997595543935;47;5437;0;44;17881;20817;188158;1.164196633297914;10.522789553156983;1808;1627;healthy;0;0;0;0;0;0;100000;0;348843;165425643.76298073;20635961.629919104;144789682.13306162;20639.506395880315;2574.667701799015;6955.357742857358;9251.476078685797;8097.404067617114;7372.138516902924
Scenario 4 (Sij) Fallback Random;final;;;13;100;bootstrap_actual;54;empirical_gap_scaled;500.0;shuffle;43;100000.0499991114;666667;0;13747;4546;0.3306903324361679;2.7275986362249194;47;9201;0;45;10170;11809;108286;1.1611602753195673;10.647590953785643;777;704;healthy;0;0;0;0;0;0;100000;0;195248;92689470.0650265;11495794.630320106;81193675.4347064;20389.236705901123;2528.7713661064904;6875.575868803998;9114.008855951475;7983.645568801023;7771.6047694683075
Scenario 4 (Sij) Fallback Random;final;;;14;100;bootstrap_actual;55;empirical_gap_scaled;500.0;shuffle;43;100000.0499991114;666667;0;14049;7927;0.5642394476475194;4.7561976219434525;80;6122;0;26;17625;20523;184282;1.1644255319148935;10.455716312056738;1774;1552;healthy;0;0;0;0;0;0;100000;0;342343;162823869.28430784;20283887.55119914;142539981.7331087;20540.41494692921;2558.835316159851;6945.377465921585;9238.233718258602;8087.374850105458;7636.185156106949
Scenario 4 (Sij) Fallback Random;final;;;15;100;bootstrap_actual;56;empirical_gap_scaled;500.0;shuffle;43;100000.0499991114;666667;0;13999;2714;0.19387099078505607;1.628399185814877;45;11285;0;18;5732;6576;61962;1.1472435450104677;10.809839497557572;273;258;healthy;0;0;0;0;0;0;100000;0;720876;62784203.12315953;6322737.5047199875;56461465.61843954;23133.457304038147;2329.6748359321987;8585.98929720796;10953.28037738303;9850.220798750792;8280.624308347702
