pod,slot,item,quantity_in_that_slot
1,1,11010018001,2
1,2,11040029001,11
1,3,11040029001,11
1,4,11040029001,11
1,5,11040029001,11
1,6,11040029001,9
1,7,11100021001,2
1,8,11103065001,2
1,9,12103072001,2
1,10,14000220001,6
1,11,14000220001,1
1,12,14001009001,4
1,13,14001009001,4
1,14,14001009001,4
1,15,14001009001,4
1,16,14001009001,4
1,17,14001009001,4
1,18,14001009001,4
1,19,14001009001,4
1,20,14001009001,4
1,21,14001009001,1
1,22,14244031001,4
1,23,14302018001,2
1,24,14302018001,2
1,25,14302018001,2
1,26,14302018001,2
1,27,14302018001,2
1,28,14312008001,16
1,29,14312008001,16
1,30,14312008001,16
1,31,14312008001,5
2,1,12201099001,2
2,2,12201099001,2
2,3,12201099001,2
2,4,12201099001,2
2,5,12201099001,2
2,6,12201099001,2
2,7,12201099001,2
2,8,12201099001,2
2,9,12201099001,2
2,10,12201099001,2
2,11,12201099001,2
2,12,12201099001,2
2,13,12201099001,2
2,14,12201099001,2
2,15,12201099001,2
2,16,12201099001,2
2,17,12201099001,2
2,18,12201099001,2
2,19,12201099001,2
2,20,12201099001,2
2,21,12201104001,1
2,22,12201104001,1
2,23,12201104001,1
2,24,12201104001,1
2,25,12201104001,1
2,26,12201104001,1
2,27,12201104001,1
2,28,12201104001,1
2,29,12201104001,1
2,30,12201104001,1
2,31,12201104001,1
2,32,12201104001,1
2,33,12201104001,1
2,34,12201104001,1
2,35,12201104001,1
2,36,12201104001,1
2,37,12201104001,1
2,38,12201104001,1
2,39,12201104001,1
2,40,12201104001,1
3,1,12201099001,2
3,2,12201099001,2
3,3,12201099001,2
3,4,12201099001,2
3,5,12201099001,2
3,6,12201099001,2
3,7,12201099001,2
3,8,12201099001,2
3,9,12201099001,2
3,10,12201099001,2
3,11,12201099001,2
3,12,12201099001,2
3,13,12201099001,2
3,14,12201099001,2
3,15,12201099001,2
3,16,12201099001,2
3,17,12201099001,2
3,18,12201099001,2
3,19,12201099001,2
3,20,12201099001,2
3,21,12201104001,1
3,22,12201104001,1
3,23,12201104001,1
3,24,12201104001,1
3,25,12201104001,1
3,26,12201104001,1
3,27,12201104001,1
3,28,12201104001,1
3,29,12201104001,1
3,30,12201104001,1
3,31,12201104001,1
3,32,12201104001,1
3,33,12201104001,1
3,34,12201104001,1
3,35,12201104001,1
3,36,12201104001,1
3,37,12201104001,1
3,38,12201104001,1
3,39,12201104001,1
3,40,12201104001,1
4,1,12201103001,1
4,2,12201103001,1
4,3,12201103001,1
4,4,12201103001,1
4,5,12201103001,1
4,6,12201103001,1
4,7,12201103001,1
4,8,12201103001,1
4,9,12201103001,1
4,10,12201103001,1
4,11,12201103001,1
4,12,12201103001,1
4,13,12201103001,1
4,14,12201103001,1
4,15,12201103001,1
4,16,12201103001,1
4,17,12201103001,1
4,18,12201103001,1
4,19,12201103001,1
4,20,12201103001,1
4,21,12201103001,1
4,22,12201103001,1
4,23,12201103001,1
4,24,12201103001,1
4,25,12201103001,1
4,26,12201103001,1
4,27,12201103001,1
4,28,12201103001,1
4,29,12201103001,1
4,30,12201103001,1
4,31,12201103001,1
4,32,12201103001,1
4,33,12201103001,1
4,34,12201103001,1
4,35,12201103001,1
4,36,12201103001,1
4,37,12201103001,1
4,38,12201103001,1
4,39,12201103001,1
4,40,12201103001,1
5,1,10041067001,5
5,2,10041067001,5
5,3,10041067001,5
5,4,10041067001,5
5,5,10041067001,5
5,6,10041067001,5
5,7,10041067001,5
5,8,10041067001,5
5,9,10041067001,5
5,10,10041067001,5
5,11,10041067001,5
5,12,10041067001,5
5,13,10041067001,5
5,14,10041067001,5
5,15,10041067001,5
5,16,10041067001,5
5,17,10041067001,5
5,18,10041067001,5
5,19,10041067001,5
5,20,10041067001,5
5,21,10041067001,5
5,22,10041067001,5
5,23,10041067001,5
5,24,10041067001,5
5,25,10041067001,5
5,26,10041067001,5
5,27,10041067001,5
5,28,10041067001,5
5,29,10041067001,5
5,30,10041067001,5
5,31,10041067001,5
5,32,10041067001,5
5,33,10041067001,5
5,34,10041067001,5
5,35,10041067001,5
5,36,10041067001,5
5,37,10041067001,5
5,38,10041067001,5
5,39,10041067001,5
5,40,10041067001,5
6,1,14011052001,3
6,2,14011052001,3
6,3,14011052001,3
6,4,14011052001,3
6,5,14011052001,3
6,6,14011052001,3
6,7,14011052001,3
6,8,14011052001,3
6,9,14011052001,3
6,10,14011052001,3
6,11,14011052001,3
6,12,14011052001,3
6,13,14011052001,3
6,14,14011052001,3
6,15,14011052001,3
6,16,14011052001,3
6,17,14011052001,3
6,18,14011052001,3
6,19,14011052001,3
6,20,14011052001,3
6,21,14011052001,3
6,22,14011052001,3
6,23,14011052001,3
